# THE BAR-LENGTH SYSTEMATIC ON R, MEASURED RATHER THAN ASSUMED.
# Cuomo, Lee, Buttitta, Aguerri, Corsini & Morelli 2021, A&A 649, A30 (arXiv:2103.00343),
# "Bar pattern speeds in CALIFA galaxies III. Solving the puzzle of ultrafast bars".
# Transcribed (2026-09-03) from the arXiv LaTeX source, Table A.1 (R_1..R_6) and Table 2 (R_Qb).
# ONE corotation radius per galaxy (from TW), divided by SEVEN different published bar-radius estimates:
#   R1 = R_eps,peak (ellipticity peak)     R2 = R_PA (position-angle profile)
#   R3 = R_Fourier                          R4 = R_eps (ellipticity)
#   R5 = R_trann (transition)               R6 = R_A2 (m=2 Fourier amplitude)
#   R7 = R_Qb (transverse-to-radial force ratio map, this paper's own new measurement; Table 2 col 5)
# Every row is the SAME galaxy and the SAME pattern speed, so the spread across columns is PURELY the
# bar-length definition.  "nan" where the paper prints a dash.
galaxy	R1	R2	R3	R4	R5	R6	R7
IC1528	1.13	0.74	0.58	nan	nan	nan	nan
IC1683	0.78	0.67	0.72	1.42	0.96	1.15	1.42
IC5309	0.79	0.44	0.85	1.47	0.54	nan	0.65
NGC0036	0.61	0.51	0.83	0.68	0.56	1.08	1.03
NGC2553	0.53	0.41	0.67	0.67	0.55	0.97	0.90
NGC2880	1.04	0.92	0.50	nan	nan	0.89	0.95
NGC5205	0.76	0.61	0.57	0.73	0.61	0.80	0.92
NGC5406	0.55	0.47	0.55	0.49	0.44	1.03	0.79
NGC5947	0.60	0.46	0.54	0.46	0.46	nan	0.70
NGC5971	0.91	0.30	1.03	nan	nan	nan	nan
NGC6497	0.44	0.35	0.34	0.27	0.27	0.52	0.48
UGC3253	0.82	0.66	0.80	0.58	0.53	1.23	1.00
