#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:33	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J%2fMNRAS%2f521%2f1775%2ftable3&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75211775
#Name: J/MNRAS/521/1775
#Title: Galaxy Zoo barred galaxies properties with MaNGA (Geron+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/mnras/521/1775	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/521/1775	    IVOID of underlying data collection
#INFO	creator=Geron T.	    First author or institution
#INFO	cites=bibcode:2023MNRAS.521.1775G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/521/1775	    Dataset landing page
#INFO	publication_date=2026-06-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_521_1775_table3:
#Name: J/MNRAS/521/1775/table3
#Title: The bar pattern speed, corotation radius and dimensionless corotation radius-to-bar ratio of our barred galaxies sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGA	(A11)	The MaNGA plate-ifu number of this target (PLATEIFU)	[ucd=meta.id;meta.main]
#Column	Om*sin(i)	(F19.16)	Projected bar pattern speed of the target {Omega}_b_*sin(i) with i the inclination of the galaxy as defined in section 2.1 (Omega_sini)	[ucd=phys.veloc.rotat]
#Column	e_Om*sin(i)	(F19.16)	The lower limit of the pattern speed Om*sin (i) (Omega_sini_ll)	[ucd=stat.error]
#Column	E_Om*sin(i)	(F19.16)	The upper limit of the pattern speed Om*sin (i) (Omega_sini_ul)	[ucd=stat.error;stat.max]
#Column	Om	(F19.16)	The bar pattern speed of the target as defined in section 2.1 (Omega)	[ucd=phys.veloc.rotat]
#Column	e_Om	(F19.16)	The lower limit of the pattern speed Om (Omega_ll)	[ucd=stat.error]
#Column	E_Om	(F18.15)	The upper limit of the pattern speed Om (Omega_ul)	[ucd=stat.error;stat.max]
#Column	Omph*sin(i)	(F19.16)	Projected physical bar pattern speed of the target {Omega}_phys,b_*sin(i) with i the inclination of the galaxy as in sect. 2.1 (Omega_phys_sini)	[ucd=phys.veloc.rotat]
#Column	e_Omph*sin(i)	(F19.16)	The lower limit of the pattern speed Omph*sin (i) (Omega_phys_sini_ll)	[ucd=stat.error]
#Column	E_Omph*sin(i)	(F19.16)	The upper limit of the pattern speed Omph*sin (i) (Omega_phys_sini_ul)	[ucd=stat.error;stat.max]
#Column	Omph	(F18.15)	The physical bar pattern speed of the target {Omega}_phys,b_ as defined in section 2.1 (Omega_phys)	[ucd=phys.veloc.rotat]
#Column	e_Omph	(F19.16)	The lower limit of the pattern speed Omph (Omega_phys_ll)	[ucd=stat.error]
#Column	E_Omph	(F18.15)	The upper limit of the pattern speed Omph (Omega_phys_ul)	[ucd=stat.error;stat.max]
#Column	Rcr	(F19.16)	? The corotation radius of the target (Rcr) (1)	[ucd=phys.angSize;src]
#Column	e_Rcr	(F19.16)	? The lower limit of the corotation radius Rcr (Rcr_ll)	[ucd=stat.error]
#Column	E_Rcr	(F19.16)	? The upper limit of the corotation radius Rcr (Rcr_ul)	[ucd=stat.error;stat.max]
#Column	Rcrph	(F19.16)	? The physical corotation radius (Rcr_phys) (1)	[ucd=phys.size.radius]
#Column	e_Rcrph	(F19.16)	? The lower limit of the corotation radius Rcrph (Rcr_phys_ll)	[ucd=stat.error]
#Column	E_Rcrph	(F19.16)	? The upper limit of the corotation radius Rcrph (Rcr_phys_ul)	[ucd=stat.error;stat.max]
#Column	R	(F20.17)	? The dimensionless corotation radius-to-bar radius ratio R=Rcr/Rbar of the target as in sect. 2.3 (R)	[ucd=phys.size.radius;arith.ratio]
#Column	e_R	(F20.17)	? The lower limit of R (R_ll)	[ucd=stat.error]
#Column	E_R	(F19.16)	? The upper limit of R (R_ul)	[ucd=stat.error;stat.max]
recno	MANGA	Om*sin(i)	e_Om*sin(i)	E_Om*sin(i)	Om	e_Om	E_Om	Omph*sin(i)	e_Omph*sin(i)	E_Omph*sin(i)	Omph	e_Omph	E_Omph	Rcr	e_Rcr	E_Rcr	Rcrph	e_Rcrph	E_Rcrph	R	e_R	E_R
 	 	km/s/arcsec	km/s/arcsec	km/s/arcsec	km/s/arcsec	km/s/arcsec	km/s/arcsec	km/s/kpc	km/s/kpc	km/s/kpc	km/s/kpc	km/s/kpc	km/s/kpc	arcsec	arcsec	arcsec	kpc	kpc	kpc	 	 	
--------	-----------	-------------------	-------------------	-------------------	-------------------	-------------------	------------------	-------------------	-------------------	-------------------	------------------	-------------------	------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	--------------------	--------------------	-------------------
       1	8440-12704 	17.5131762260304988	15.3387736515750461	19.3254051633563826	20.7061691793362783	18.1353306866738961	22.848802730421362	32.2627637567245387	28.2570805119342623	35.6012509233838088	38.144893645663579	33.4088963671014056	42.092052012810214	 8.9491234053602646	 7.8411304765422551	10.5899038232734437	 4.8578471592937129	 4.2563960385557698	 5.7485109853629899	 1.57712379643345058	 1.33524373517996242	 1.8935743295656486
       2	12495-6102 	11.4352720566053367	 6.7072973060764518	14.0596141584808052	12.6979794853880090	 7.4479315553984531	15.612107108001585	21.2263400078478739	12.4501955395335901	26.0976869662389497	23.570198298328545	13.8249730104801696	28.979449904907266	16.5052895222977192	12.1424115903264216	30.0800681272267276	 8.8918992153489214	 6.5414847735089392	16.2050434690523879	 2.87462349186728261	 1.48955245120859670	 4.8509654064311203
       3	8450-12705 	14.4135897217820830	13.1507993706422255	15.4760956774907008	20.4506649325787180	18.6589598230439577	21.958197317535468	17.0693174711314626	15.5738559088730675	18.3275919067878696	24.218733776110401	22.0969040362865101	26.004031496771287	15.1546845592231776	14.2602209703285538	16.8307564288272644	12.7968447460828489	12.0415461693703225	14.2121451711614259	 1.23114707276444246	 1.04456625060923458	 1.6005107519348600
       4	8450-6103  	14.0991685807708809	10.6878036309313593	16.0025181482386145	15.5488139445461790	11.7866999873910760	17.647861709415881	17.5567590546555898	13.3088126506730173	19.9268739703953166	19.361906232001413	14.6771953638717925	21.975711127014293	                   	                   	                   	                   	                   	                   	                    	                    	
       5	8981-6101  	17.9834472046929292	12.9116965595903963	22.3409616051655462	23.4304716831155844	16.8225333651001421	29.107838019331620	27.0610643949635410	19.4292144364916304	33.6181486097407003	35.257617508154894	25.3141488112801945	43.800783580232995	10.3354790277957171	 7.4499609537795761	16.4651852789848405	 6.8684490276800769	 4.9508761937041053	10.9419491361625738	 1.35746291240157513	 0.91305952929540635	 2.2850006447841404
       6	12483-12704	 7.5012958791958484	 4.7806269530696923	 8.9694857114310000	 9.0171678774548134	 5.7467025017463955	10.782051493091611	16.5512647028693287	10.5482337212394430	19.7907581102391390	19.895966618765659	12.6798350320828135	23.790101227317212	10.6828337121826991	 8.2156761071323299	18.7902185838594598	 4.8416298054515643	 3.7234748180032229	 8.5160253166550444	 0.67871826458725426	 0.46995223767152139	 1.5567356928169145
       7	8322-1901  	23.6166274836153072	20.1566781516421010	27.5620272986048391	33.2266326872865250	28.3587714463089782	38.777482424324312	50.5252455148565787	43.1230544277425238	58.9660059259235325	71.084822560791693	60.6705547105967611	82.960271160490649	 4.7705387450451289	 3.2823524632163998	 6.3344839305726284	 2.2298562884717983	 1.5342448038360388	 2.9608791756448274	 1.53470178263724399	 1.08473532069316114	 1.9454182052197251
       8	8245-12702 	13.3241517702251073	11.8658273417961126	14.0585385685962585	15.3617798343351417	13.6804376233719918	16.208474506113809	19.4994047254047445	17.3652007069225185	20.5741527208781818	22.481398250179286	20.0208159317805361	23.720504676507318	18.9752855310103641	17.4624819714382085	22.1295999842412101	12.9660155199066320	11.9323006701391972	15.1213923171842239	 1.08776899582336029	 0.87642686042276718	 1.8291222493449220
       9	8442-9102  	 7.3407121102696475	 5.5781868220373054	 9.8933440242464457	13.1045398952307703	 9.9581036082551435	17.661463835586670	15.7881966116428138	11.9974069218149619	21.2783253525095368	28.184874881766824	21.4176084396894773	37.985778395472153	 7.9196508687284801	 6.0165814597737031	10.0748938852498622	 3.6822367032287326	 2.7974057753762058	 4.6843155917248120	 1.06456896935818834	 0.78107370085223438	 1.3974274401421267
      10	8323-12705 	13.0708665817895024	10.7658852888314218	14.8325653200984018	14.4660846510391679	11.9150636996472645	16.415831664256434	19.3797453433280360	15.9622251506808777	21.9917583040949118	21.448389431405516	17.6660743037805936	24.339215404084975	23.4576856269201492	18.5070239915385564	32.1848346584916385	15.8212749298376867	12.4822507795572761	21.7073894587025542	 1.41858600591813921	 0.89922785733115107	 2.5957108948350163
      11	11963-9102 	13.1940117293305228	 5.8266871022787807	14.7552170554532012	17.7837189683802031	 7.8535753999113069	19.888009713399335	19.7984009959126297	 8.7432912820732280	22.1410826394963820	26.685530266121287	11.7847579802756908	29.843143950006535	11.1487642751765641	 9.7725758705484385	27.7238729665450805	 7.4297377169291989	 6.5126209277409846	18.4756892831184771	 1.86717034091785727	 1.46961644209420594	 5.5975479501624568
