Name,SubG,D,VMag,R2,sigma*,e_sigma*,M.HI
Sagittarius dSph,MW,26,-13.5,2587,11.4,0.7,
Segue (I),MW,23,-1.5,29,3.9,0.8,
Ursa Major II,MW,32,-4.2,149,6.7,1.4,
Bootes II,MW,42,-2.7,51,10.5,7.4,
Segue II,MW,35,-2.5,35,3.4,1.2,
Willman 1,MW,38,-2.7,25,4.3,1.3,
Coma Berenices,MW,44,-4.1,77,4.6,0.8,
Bootes (I),MW,66,-6.3,242,2.4,0.5,
Draco,MW,76,-8.8,221,9.1,1.2,
Ursa Minor,MW,76,-8.8,181,9.5,1.2,
Sculptor,MW,86,-11.1,283,9.2,1.4,2.2e-01
Sextans (I),MW,86,-9.3,695,7.9,1.3,
Ursa Major (I),MW,97,-5.5,319,7.6,1.0,
Carina,MW,105,-9.1,250,6.6,1.2,
Hercules,MW,132,-6.6,330,3.7,0.9,
Fornax,MW,147,-13.4,710,11.7,0.9,1.7e-01
Leo IV,MW,154,-5.8,206,3.3,1.7,
Canes Venatici II,MW,160,-4.9,74,4.6,1.0,
Leo V,MW,178,-5.2,135,3.7,1.4,
Canes Venatici (I),MW,218,-8.6,564,7.6,0.4,
Leo II,MW,233,-9.8,176,6.6,0.7,
Leo I,MW,254,-12.0,251,9.2,1.4,
M32,M31,805,-16.4,110,92.0,5.0,
Andromeda IX,M31,766,-8.1,557,4.5,3.6,
NGC 205,M31,824,-16.5,590,35.0,5.0,4.0e-01
Andromeda I,M31,745,-11.7,672,10.6,1.1,
Andromeda III,M31,748,-10.0,479,4.7,1.8,
Andromeda XI,M31,759,-6.9,157,4.6,,
Andromeda V,M31,773,-9.1,315,11.5,4.4,
Andromeda X,M31,701,-7.6,265,3.9,1.2,
Andromeda XII,M31,871,-6.4,304,2.6,2.6,
NGC 147,M31,676,-14.6,623,16.0,1.0,
Andromeda XIV,M31,735,-8.4,363,5.4,1.3,
Andromeda XV,M31,631,-9.4,222,11.0,5.0,
Andromeda XIII,M31,912,-6.7,207,9.7,4.5,
Andromeda II,M31,652,-12.4,1176,7.3,0.8,
NGC 185,M31,617,-14.8,458,24.0,1.0,1.1e-01
Andromeda VII,M31,762,-12.6,776,9.7,1.6,
LGS 3 (Local Group Suspect 3),M31,769,-10.1,470,7.9,2.9,3.8e-01
Andromeda VI,M31,783,-11.3,524,9.4,2.4,
Andromeda XVI,M31,525,-9.2,136,10.0,,
Cetus,Rest,755,-11.2,703,17.0,2.0,
Leo T,Rest,417,-8.0,120,7.5,1.6,2.8e-01
WLM (Wolf-Lundmark-Melotte),Rest,933,-14.2,2111,17.5,2.0,6.1e+01
Leo A,Rest,798,-12.1,499,9.3,1.3,1.1e+01
Tucana,Rest,887,-9.5,284,15.8,3.1,
