#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:05:02 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:05:02	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/443/1231/FPsample&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74431231
#Name: J/MNRAS/443/1231
#Title: 6dF Galaxy Survey: Fundamental Plane data (Campbell+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/mnras/443/1231	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/443/1231	    IVOID of underlying data collection
#INFO	creator=Campbell L.A.	    First author or institution
#INFO	cites=bibcode:2014MNRAS.443.1231C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/443/1231	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74431231	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_443_1231_FPsample:
#Name: J/MNRAS/443/1231/FPsample
#Title: 6dFGSv 2MASS photometric parameters (table4) and Fundamental Plane parameters (table8)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	2MASX	(A17)	2MASX designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	Jtot	(F6.3)	J-band total extended magnitude (j_m_ext) (2)	[ucd=phot.mag;em.IR.J]
#Column	Jfwhm	(F5.2)	J-band PSF FWHM	[ucd=phys.angSize]
#Column	Jdr	(F5.2)	[0/1.3] J-band {Delta}r correction applied	[ucd=instr.param]
#Column	Jlogr	(F6.3)	[-0.01/1.63] log(R_e,J_), J-band PSF-corrected circular effective radius (1)	[ucd=phys.angSize;em.IR.J]
#Column	n	(F5.2)	[0.7/6] Sersic index from GALFIT	[ucd=stat.fit.param]
#Column	Htot	(F6.3)	H-band total extended magnitude (h_m_ext) (2)	[ucd=phot.mag;em.IR.H]
#Column	Hfwhm	(F5.2)	H-band PSF FWHM	[ucd=phys.angSize]
#Column	Hdr	(F5.2)	[0/1.3] H-band {Delta}r correction applied	[ucd=instr.param]
#Column	Hlogr	(F6.3)	[-0.01/1.62] log(R_e,H_), H-band PSF-corrected circular effective radius (1)	[ucd=phys.angSize;em.IR.H]
#Column	Ktot	(F6.3)	K-band total extended magnitude (k_m_ext) (2)	[ucd=phot.mag;em.IR.K]
#Column	Kfwhm	(F5.2)	K-band PSF FWHM	[ucd=phys.angSize]
#Column	Kdr	(F5.2)	[0/1.3] K-band {Delta}r correction applied	[ucd=instr.param]
#Column	Klogr	(F6.3)	[-0.12/1.62] log(R_e,K_), K-band PSF-corrected circular effective radius (1)	[ucd=phys.angSize;em.IR.K]
#Column	6dFGS	(A15)	6dFGS designation (gHHMMSSs+DDMMSS)	[ucd=meta.id;meta.main]
#Column	No	(I1)	Number of observations for this galaxy	[ucd=meta.number]
#Column	p	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	[762/16857] CMB frame galaxy redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	JlogRe	(F6.3)	[-0.9/1.4] log(R_e,J_), J-band effective radius (in kpc/h) (3)	[ucd=phys.size.radius]
#Column	e_JlogRe	(F6.3)	Error on JlogRe (in kpc/h) (3)	[ucd=stat.error]
#Column	HlogRe	(F6.3)	[-0.9/1.4] log(R_e,H_), H-band effective radius (in kpc/h) (3)	[ucd=phys.size.radius]
#Column	e_HlogRe	(F6.3)	Error on HlogRe (in kpc/h) (3)	[ucd=stat.error]
#Column	KlogRe	(F6.3)	[-0.9/1.4] log(R_e,K_), K-band effective radius (in kpc/h) (3)	[ucd=phys.size.radius]
#Column	e_KlogRe	(F6.3)	Error on KlogRe (in kpc/h) (3)	[ucd=stat.error]
#Column	JlogIe	(F6.3)	[2.0/4.2] log(I_e,J_), J-band surface brightness at R_e,J_	[ucd=phot.mag.sb]
#Column	e_JlogIe	(F6.3)	Error on JlogIe	[ucd=stat.error]
#Column	HlogIe	(F6.3)	[1.8/4.3] log(I_e,H_), H-band surface brightness at R_e,H_	[ucd=phot.mag.sb]
#Column	e_HlogIe	(F6.3)	Error on HlogIe	[ucd=stat.error]
#Column	KlogIe	(F6.3)	[2.0/4.3] log(I_e,K_), K-band surface brightness at R_e,K_	[ucd=phot.mag.sb]
#Column	e_KlogIe	(F6.3)	Error on KlogIe	[ucd=stat.error]
#Column	logVd	(F6.3)	[2/2.7] log{sigma}_0_, aperture-corrected central velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_logVd	(F6.3)	[0.007/0.253] Error on dlogVd	[ucd=stat.error]
#Column	Mt	(F4.1)	[0/6] Average morphological code (5)	[ucd=meta.code;src.morph]
#Column	Group	(I4)	[11/1672]? Group or cluster ID	[ucd=meta.id]
#Column	Nr	(I3)	[0/213]? Richness of group or cluster	[ucd=src.class.richness]
#Column	Ng	(I3)	Number of galaxies in the group	[ucd=meta.number]
#Column	cz.gr	(I5)	[1523/17556]? CMB frame group or cluster mean redshift	[ucd=pos.frame;pos.cmb]
#Column	d5	(F7.4)	[0.2/45.2]? Projected co-moving distance d_5_ to 5th nearest neighbour (in Mpc/h) (3)	[ucd=pos.distance]
#Column	sD5	(F7.4)	? Surface density {Sigma}_5_ measured to 5th nearest neighbour (in (Mpc/h)^-2^) (3)	[ucd=src.density]
#Column	Jcode	(I6)	[1011/111111] Indicates which selection criteria a galaxy satisfies in J band (4)	[ucd=meta.code]
#Column	Js	(I1)	[0/1] Indicates whether galaxy excluded (0) or included (3) in the J-6dFGSv sample	[ucd=meta.code]
#Column	Hcode	(I6)	[1011/111111] Indicates which selection criteria a galaxy satisfies in H band (4)	[ucd=meta.code]
#Column	Hs	(I1)	[0/1] Indicates whether galaxy excluded (0) or included (3) in the H-6dFGSv sample	[ucd=meta.code]
#Column	Kcode	(I6)	[1011/111111] Indicates which selection criteria a galaxy satisfies in K band (4)	[ucd=meta.code]
#Column	Ks	(I1)	[0/1] Indicates whether galaxy excluded (0) or included (3) in the K-6dFGSv sample	[ucd=meta.code]
recno	2MASX	Jtot	Jfwhm	Jdr	Jlogr	n	Htot	Hfwhm	Hdr	Hlogr	Ktot	Kfwhm	Kdr	Klogr	6dFGS	No	p	RAJ2000	DEJ2000	cz	JlogRe	e_JlogRe	HlogRe	e_HlogRe	KlogRe	e_KlogRe	JlogIe	e_JlogIe	HlogIe	e_HlogIe	KlogIe	e_KlogIe	logVd	e_logVd	Mt	Group	Nr	Ng	cz.gr	d5	sD5	Jcode	Js	Hcode	Hs	Kcode	Ks
 	 	mag	arcsec	arcsec	[arcsec]	 	mag	arcsec	arcsec	[arcsec]	mag	arcsec	arcsec	[arcsec]	 	 	 	deg	deg	km/s	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[Lsun/pc2]	[Lsun/pc2]	[Lsun/pc2]	[Lsun/pc2]	[Lsun/pc2]	[Lsun/pc2]	[km/s]	[km/s]	 	 	 	 	km/s	Mpc	Mpc-2	 	 	 	 	 	
--------	-----------------	------	-----	-----	------	-----	------	-----	-----	------	------	-----	-----	------	---------------	-	-	---------	---------	-----	------	------	------	------	------	------	------	------	------	------	------	------	------	------	----	----	---	---	-----	-------	-------	------	-	------	-	------	-
       1	J00001440-7652248	13.177	 2.97	 0.36	 0.605	 5.43	12.490	 2.97	 0.51	 0.503	12.206	 2.98	 0.64	 0.401	g0000144-765225	1	p	000.00399	-76.87364	15941	 0.465	 0.057	 0.363	 0.069	 0.261	 0.092	 2.940	 0.084	 3.266	 0.102	 3.489	 0.136	 2.137	 0.073	 2.2	    	   	   	     	 4.2758	 0.1176	111111	1	111111	1	111111	1
       2	J00002213-0137463	12.625	 3.08	 0.85	 0.312	 4.52	11.896	 3.06	 0.95	 0.278	11.741	 3.13	 0.95	 0.201	g0000222-013746	1	p	000.00615	-01.62947	11123	 0.024	 0.048	-0.010	 0.057	-0.087	 0.079	 3.708	 0.071	 3.921	 0.085	 4.067	 0.118	 2.338	 0.023	 2.5	    	   	   	     	 6.4318	 0.0385	111111	1	111111	1	111111	1
       3	J00002348-0656103	12.595	 2.90	 0.33	 0.638	 6.00	11.857	 2.88	 0.30	 0.665	11.869	 2.94	 0.63	 0.428	g0000235-065610	1	p	000.00652	-06.93619	10920	 0.343	 0.047	 0.370	 0.057	 0.133	 0.083	 3.067	 0.070	 3.161	 0.084	 3.562	 0.123	 2.219	 0.045	 3.7	    	   	   	     	 6.2142	 0.0448	111111	1	111111	1	111111	1
       4	J00002509-2602401	12.495	 2.98	 0.38	 0.538	 3.59	11.781	 2.95	 0.42	 0.505	11.553	 2.89	 0.54	 0.477	g0000251-260240	1	p	000.00697	-26.04450	14926	 0.371	 0.046	 0.338	 0.055	 0.310	 0.074	 3.328	 0.068	 3.531	 0.082	 3.592	 0.110	 2.369	 0.040	 2.3	    	   	   	     	 3.2827	 0.1434	111111	1	111111	1	111111	1
       5	J00003564-0145472	12.242	 3.10	 0.23	 0.800	 3.24	11.605	 3.03	 0.24	 0.770	11.281	 3.09	 0.25	 0.804	g0000356-014547	1	p	000.00990	-01.76317	 6956	 0.316	 0.042	 0.286	 0.052	 0.320	 0.067	 2.859	 0.062	 3.029	 0.077	 3.040	 0.099	 2.144	 0.066	 3.0	    	   	   	     	 3.8994	 0.1036	111111	1	111111	1	111111	1
       6	J00003574-4034323	13.443	 3.03	 0.45	 0.493	 2.22	12.849	 2.92	 0.57	 0.426	12.442	 2.99	 0.49	 0.436	g0000358-403432	1	p	000.00993	-40.57561	14746	 0.322	 0.061	 0.255	 0.075	 0.265	 0.098	 3.035	 0.091	 3.260	 0.112	 3.318	 0.146	 2.189	 0.093	 2.8	    	   	   	     	 1.7626	 0.4926	111111	1	111111	1	111111	1
       7	J00004283-7217148	12.942	 2.94	 0.40	 0.544	 3.89	12.187	 2.97	 0.40	 0.559	11.898	 3.08	 0.46	 0.600	g0000428-721715	1	p	000.01189	-72.28741	10366	 0.227	 0.053	 0.242	 0.063	 0.283	 0.084	 3.112	 0.079	 3.238	 0.093	 3.205	 0.124	 2.209	 0.049	 3.0	    	   	   	     	12.0403	 0.0104	111111	1	111111	1	111111	1
       8	J00004596-8158024	12.958	 2.88	 0.59	 0.446	 3.43	12.276	 2.89	 0.48	 0.381	11.809	 2.95	 0.60	 0.407	g0000459-815803	1	p	000.01275	-81.96741	12646	 0.211	 0.053	 0.146	 0.065	 0.172	 0.081	 3.354	 0.079	 3.595	 0.096	 3.645	 0.120	 2.336	 0.058	 3.0	    	   	   	     	 8.6686	 0.0311	111111	1	111111	1	111111	1
       9	J00004816-5511192	13.018	 3.09	 0.34	 0.660	 0.82	12.218	 3.02	 0.35	 0.690	11.869	 3.01	 0.28	 0.739	g0000482-551119	1	 	000.01338	-55.18869	 9515	 0.307	 0.054	 0.337	 0.064	 0.386	 0.083	 2.839	 0.080	 2.955	 0.094	 2.935	 0.123	 2.156	 0.081	 2.5	    	   	   	     	 3.2875	 0.1339	110111	0	110111	0	110111	0
      10	J00005234-3550370	12.127	 3.06	 0.24	 0.832	 5.38	11.490	 2.85	 0.22	 0.770	11.134	 2.91	 0.25	 0.821	g0000523-355037	1	p	000.01454	-35.84367	15324	 0.658	 0.040	 0.596	 0.050	 0.647	 0.063	 2.884	 0.059	 3.115	 0.074	 3.071	 0.093	 2.402	 0.048	 0.0	1261	 11	  4	14646	 1.2718	 1.0467	111111	1	111111	1	111111	1
      11	J00005317-3559104	12.445	 3.02	 0.33	 0.671	 4.14	11.620	 2.94	 0.25	 0.743	11.488	 2.98	 0.37	 0.651	g0000532-355911	1	p	000.01477	-35.98631	14725	 0.497	 0.045	 0.569	 0.052	 0.477	 0.073	 3.079	 0.067	 3.118	 0.077	 3.269	 0.108	 2.340	 0.040	 0.0	1261	 11	  4	14646	 1.2351	 1.1099	111111	1	111111	1	111111	1
      12	J00005579-2554210	12.820	 2.96	 0.29	 0.671	 5.17	12.170	 2.98	 0.35	 0.610	11.899	 2.94	 0.36	 0.584	g0000558-255421	2	 	000.01549	-25.90581	14835	 0.502	 0.051	 0.441	 0.063	 0.415	 0.084	 2.930	 0.076	 3.165	 0.093	 3.239	 0.124	 2.244	 0.028	 3.8	    	   	   	     	 2.8016	 0.1931	111111	1	111111	1	111111	1
      13	J00010098-4345156	13.102	 3.07	 0.46	 0.589	 3.70	12.496	 2.92	 0.44	 0.523	12.032	 3.02	 0.35	 0.644	g0001010-434516	1	p	000.01694	-43.75431	11553	 0.317	 0.056	 0.251	 0.069	 0.372	 0.087	 2.960	 0.082	 3.189	 0.102	 3.062	 0.129	 2.159	 0.062	 2.5	 991	  5	  4	11551	 0.8487	 2.1663	111111	1	111111	1	111111	1
      14	J00010107-4351356	13.466	 3.07	 0.32	 0.671	 6.00	12.823	 2.92	 0.33	 0.642	12.537	 3.02	 0.42	 0.634	g0001011-435136	1	p	000.01696	-43.85992	11554	 0.399	 0.062	 0.370	 0.075	 0.362	 0.101	 2.650	 0.091	 2.820	 0.111	 2.880	 0.149	 2.185	 0.075	 0.0	 991	  5	  4	11551	 1.0600	 1.4910	111111	1	111111	1	111111	1
      15	J00010597-5359303	11.485	 3.10	 0.25	 0.804	 4.03	10.811	 3.10	 0.27	 0.767	10.479	 3.01	 0.23	 0.786	g0001060-535931	1	p	000.01833	-53.99181	 9238	 0.439	 0.032	 0.402	 0.037	 0.421	 0.045	 3.162	 0.048	 3.362	 0.055	 3.397	 0.067	 2.368	 0.024	 0.8	    	   	   	     	 4.2307	 0.0780	111111	1	111111	1	111111	1
