# Coma-cluster ultra-diffuse galaxies with measured stellar velocity dispersions.
# Transcribed this session from the arXiv:2109.04487 LaTeX source of Freundlich, Famaey, Oria, Bilek, Muller &
# Ibata 2022 (A&A 658, A26), Tables 1 (sample) and 2 (accelerations at the half-light radius).
# Sources of the underlying measurements: van Dokkum et al. 2015-2019 (DF44, DFX1) and Chilingarian et al. 2019
# (Binospec spectroscopy; stellar M/L from full-spectrum SSP fits, NOT fitted to the dynamics).
# d_kpc     projected distance from the Coma centre
# dmean_kpc average 3-D distance inferred from the van der Burg+2016 Einasto radial distribution
# L_1e8     stellar luminosity (I band for DF44/DFX1, R band for the rest)
# Re_kpc    projected half-light radius;  n  Sersic index;  ML  stellar mass-to-light ratio
# sig, esig effective stellar velocity dispersion, km/s
# lgbar, elgbar, lgobs, elgobs : log10 of the baryonic and observed accelerations at the half-light radius, m/s^2
name	d_kpc	dmean_kpc	L_1e8	Re_kpc	n	ML	sig	esig	lgbar	elgbar	lgobs	elgobs
DF44	1809.0	2336.2	3.0	4.7	0.85	1.30	33	3	-12.16	0.12	-10.77	0.07
DFX1	1457.1	1994.9	1.9	3.6	0.90	1.30	30	7	-12.12	0.12	-10.74	0.17
J125848.94+281037.1	523.9	1129.3	0.38	1.5	0.95	1.32	18	13	-12.06	0.09	-10.81	0.39
J125904.06+281422.4	534.9	1138.7	0.43	1.4	0.76	1.48	25	7	-11.89	0.13	-10.49	0.19
J125904.20+281507.7	553.1	1154.4	0.46	1.6	1.36	1.41	17	10	-11.99	0.08	-10.87	0.34
J125929.89+274303.0	475.3	1088.0	1.2	2.9	1.21	1.14	21	7	-12.20	0.11	-10.96	0.22
J125937.23+274815.2	317.0	960.2	0.40	1.8	1.81	1.45	22	8	-12.17	0.09	-10.72	0.24
J130005.40+275333.0	187.6	867.8	0.82	1.8	0.99	0.73	37	6	-12.13	0.10	-10.25	0.12
J130026.26+272735.2	940.9	1504.6	3.6	3.7	1.00	0.37	19	5	-12.42	0.08	-11.15	0.18
J130028.34+274820.5	397.7	1023.9	0.71	2.1	1.37	0.79	23	7	-12.30	0.10	-10.73	0.21
J130038.63+272835.3	937.0	1501.0	1.5	1.9	1.00	0.41	27	5	-12.17	0.08	-10.55	0.14
