# MEASURED velocity dispersion profiles of Galactic globular clusters (line-of-sight RV and proper-motion bins).
# Source: https://people.smp.uq.edu.au/HolgerBaumgardt/globular/veldis.html   Retrieved 2026-09-03.
# Radius is in arcsec.  Type RV = line-of-sight radial velocities.  These are the DATA, not model curves.
ClusterName	R[arcsec]	N_star	sigma[km/s]	dsigma_up	dsigma_low	Type
2MS-GC02	66.16	7	6.69	2.30	1.47	RV
Arp 2	48.57	25	1.97	0.39	0.31	RV
Arp 2	129.82	24	1.33	0.36	0.29	RV
BH 140	86.91	205	2.23	0.16	0.15	VB21
BH 140	190.50	205	1.96	0.14	0.13	VB21
BH 140	298.53	180	1.98	0.16	0.15	VB21
BH 140	337.76	24	1.41	0.91	0.64	RV
BH 261	40.25	22	2.99	0.62	0.49	VB21
Crater	21.36	33	1.96	0.99	0.71	RV
Djor 1	37.89	8	2.91	1.03	0.68	RV
Djor 1	41.42	38	5.05	0.89	0.75	VB21
Djor 1	52.16	91	3.28	0.34	0.30	P22
Djor 2	55.96	52	2.91	0.58	0.49	VB21
Djor 2	81.91	14	2.79	0.77	0.58	RV
E 3	80.97	50	1.02	0.30	0.26	VB21
E 3	108.25	15	0.96	0.36	0.28	RV
ESO 280-SC06	54.87	18	1.70	0.40	0.30	RV
ESO 452-SC11	39.58	14	1.38	0.45	0.31	RV
ESO 452-SC11	50.93	48	1.16	0.39	0.33	VB21
FSR 1716	79.75	28	3.16	0.70	0.60	VB21
FSR 1716	82.00	14	1.99	0.73	0.58	RV
FSR 1758	119.97	150	5.04	0.43	0.39	VB21
FSR 1758	152.95	23	3.62	0.68	0.53	RV
FSR 1758	276.36	154	4.47	0.36	0.34	VB21
FSR 1758	392.75	16	2.72	0.79	0.56	RV
Gran 3	91.48	8	3.88	1.58	1.04	RV
Gran 5	10.00		3.68	0.32	0.32	G22
Gran 5	28.01	24	2.87	0.70	0.55	VB21
HP 1	40.02	75	5.57	0.57	0.51	VB21
HP 1	67.77	28	4.90	0.79	0.63	RV
HP 1	128.83	41	3.59	0.54	0.45	VB21
IC 1276	56.25	150	3.49	0.24	0.23	VB21
IC 1276	103.26	16	2.83	0.72	0.55	RV
IC 1276	124.24	150	3.25	0.23	0.22	VB21
IC 1276	256.84	17	2.55	1.03	0.88	RV
IC 4499	67.51	70	2.58	0.55	0.50	VB21
IC 4499	80.73	37	2.54	0.38	0.31	RV
IC 4499	176.24	64	2.47	0.56	0.48	VB21
IC 4499	242.98	31	1.95	0.33	0.28	RV
Laevens 3	22.47	9	0.70	1.56	0.70	RV
Liller 1	13.07	22	20.02	3.49	2.72	RV
Liller 1	24.14	22	17.43	3.03	2.36	RV
Liller 1	44.80	22	16.26	2.82	2.19	RV
Liller 1	100.61	16	12.61	2.63	1.96	RV
Lynga 7	56.69	160	3.44	0.31	0.28	VB21
Lynga 7	117.73	26	2.81	0.74	0.62	RV
Lynga 7	120.88	134	3.06	0.37	0.33	VB21
NGC 104	6.45	200	11.54	0.61	0.57	RV
NGC 104	8.02	23	14.14	1.52	1.52	LI22
NGC 104	11.67	200	12.57	0.67	0.61	RV
NGC 104	16.61	269	12.52	0.39	0.39	LI22
NGC 104	21.42	400	11.61	0.44	0.41	RV
NGC 104	22.70	386	12.75	0.32	0.32	LI22
NGC 104	25.61	400	11.23	0.42	0.40	RV
NGC 104	26.65	386	12.02	0.30	0.30	LI22
NGC 104	30.15	386	12.67	0.32	0.32	LI22
NGC 104	30.99	800	11.19	0.29	0.28	RV
NGC 104	33.89	386	12.19	0.32	0.32	LI22
NGC 104	37.17	800	11.68	0.31	0.29	RV
NGC 104	37.41	386	11.72	0.30	0.30	LI22
NGC 104	40.99	386	12.15	0.30	0.30	LI22
NGC 104	42.75	800	11.06	0.29	0.28	RV
NGC 104	44.54	386	12.02	0.30	0.30	LI22
NGC 104	47.91	800	11.64	0.30	0.30	RV
NGC 104	48.13	386	12.11	0.30	0.30	LI22
NGC 104	51.74	386	11.57	0.28	0.28	LI22
NGC 104	53.01	800	11.20	0.30	0.28	RV
NGC 104	55.60	386	11.89	0.30	0.30	LI22
NGC 104	58.69	800	11.02	0.29	0.28	RV
NGC 104	59.19	386	11.36	0.28	0.28	LI22
NGC 104	62.97	386	11.79	0.30	0.30	LI22
NGC 104	65.22	800	10.81	0.28	0.27	RV
NGC 104	66.92	386	11.89	0.30	0.30	LI22
NGC 104	70.62	386	11.74	0.30	0.30	LI22
NGC 104	74.41	800	11.14	0.29	0.28	RV
NGC 104	74.91	386	11.64	0.30	0.30	LI22
NGC 104	79.12	386	11.40	0.28	0.28	LI22
NGC 104	79.14	200	10.66	0.57	0.53	RV
NGC 104	82.17	200	11.00	0.59	0.54	RV
NGC 104	83.76	385	11.53	0.30	0.30	LI22
NGC 104	85.38	200	10.25	0.55	0.51	RV
NGC 104	88.94	385	11.19	0.28	0.28	LI22
NGC 104	94.50	385	11.38	0.30	0.30	LI22
NGC 104	100.00	385	10.97	0.28	0.28	LI22
NGC 104	106.31	385	10.69	0.28	0.28	LI22
NGC 104	109.85	200	9.38	0.50	0.46	RV
NGC 104	113.47	385	10.48	0.28	0.28	LI22
NGC 104	121.58	385	10.42	0.26	0.26	LI22
NGC 104	130.10	385	10.33	0.26	0.26	LI22
NGC 104	140.63	385	10.18	0.26	0.26	LI22
NGC 104	151.14	200	9.54	0.50	0.47	RV
NGC 104	158.59	385	9.86	0.26	0.26	LI22
NGC 104	174.75	700	9.14	0.26	0.24	VB21
NGC 104	194.71	200	9.05	0.48	0.44	RV
NGC 104	223.74	700	8.62	0.24	0.24	VB21
NGC 104	244.11	200	8.19	0.44	0.41	RV
NGC 104	263.81	700	8.26	0.24	0.23	VB21
NGC 104	292.48	200	8.62	0.46	0.43	RV
NGC 104	298.44	700	8.08	0.23	0.22	VB21
NGC 104	329.37	700	7.73	0.22	0.21	VB21
NGC 104	334.58	200	8.12	0.44	0.40	RV
NGC 104	356.93	700	7.82	0.23	0.21	VB21
NGC 104	377.02	200	8.01	0.43	0.39	RV
NGC 104	383.70	700	7.07	0.23	0.22	VB21
NGC 104	410.27	700	7.48	0.21	0.21	VB21
NGC 104	422.41	200	7.74	0.41	0.38	RV
NGC 104	435.65	700	7.49	0.22	0.21	VB21
NGC 104	459.74	700	7.05	0.21	0.20	VB21
NGC 104	467.44	200	7.29	0.40	0.35	RV
NGC 104	486.26	700	7.26	0.21	0.20	VB21
NGC 104	512.59	700	6.69	0.21	0.21	VB21
NGC 104	517.71	200	7.34	0.39	0.36	RV
NGC 104	542.26	700	6.79	0.20	0.20	VB21
NGC 104	571.44	700	6.77	0.20	0.19	VB21
NGC 104	573.74	200	6.29	0.34	0.31	RV
NGC 104	601.09	700	6.26	0.18	0.18	VB21
NGC 104	632.46	700	6.23	0.18	0.18	VB21
NGC 104	642.08	200	6.61	0.35	0.33	RV
NGC 104	665.91	700	6.20	0.18	0.18	VB21
NGC 104	703.64	700	5.79	0.18	0.17	VB21
NGC 104	726.12	200	5.59	0.31	0.28	RV
NGC 104	746.39	700	5.86	0.18	0.17	VB21
NGC 104	796.54	700	5.91	0.18	0.17	VB21
NGC 104	831.35	200	5.44	0.31	0.28	RV
NGC 104	851.91	700	5.73	0.18	0.17	VB21
NGC 104	919.44	700	5.20	0.15	0.15	VB21
NGC 104	971.75	200	5.16	0.29	0.27	RV
NGC 104	991.01	700	5.26	0.16	0.15	VB21
NGC 104	1076.29	700	5.20	0.15	0.15	VB21
NGC 104	1137.84	300	4.89	0.21	0.20	VB21
NGC 104	1180.70	200	4.24	0.25	0.24	RV
NGC 104	1421.25	42	3.81	0.60	0.50	VB21
NGC 104	1705.71	168	3.87	0.25	0.23	RV
