#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T11:47:57 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:47:57	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/834/57/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18340057
#Name: J/ApJ/834/57
#Title: Milky Way molecular clouds from ^12^CO (Miville-Deschenes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	creator=Miville-Deschenes M.-A.	    First author or institution
#INFO	cites=bibcode:2017ApJ...834...57M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/834/57	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18340057	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-08-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_834_57_table1:
#Name: J/ApJ/834/57/table1
#Title: The molecular clouds catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cloud	(I4)	[1/8107] Cloud number	[ucd=meta.id;meta.main]
#Column	Ncomp	(I3)	[5/600] Number of Gaussian components	[ucd=meta.number]
#Column	Npix	(I3)	[5/444] Number of pixels on the sky	[ucd=meta.number]
#Column	Area	(D12.5)	[0.07/7] Angular area	[ucd=phys.angArea]
#Column	GLON	(F10.6)	[-179/180] Baricentric Galactic longitude	[ucd=pos.galactic.lon]
#Column	Sigb	(D12.5)	[0.1/1.5] Standard deviation in GLON ({sigma}_l_)	[ucd=phys.angSize;src]
#Column	GLAT	(F10.6)	[-5.2/5] Baricentric Galactic latitude	[ucd=pos.galactic.lat]
#Column	Sigl	(D12.5)	[0.1/1.2] Standard deviation in GLAT ({sigma}_b_)	[ucd=phys.angSize]
#Column	theta	(D12.5)	? Angle with respect to b=0	[ucd=pos.posAng]
#Column	WCO	(D12.5)	[2/13929] Integrated CO emission	[ucd=phot.flux]
#Column	NH2	(D12.5)	Average column density	[ucd=meta.number]
#Column	Sigma	(D12.5)	[1.8/739] Surface density	[ucd=phot.flux.density.sb]
#Column	Vcent	(D12.5)	[-188/185] Centroid velocity	[ucd=spect.dopplerVeloc]
#Column	SigV	(D12.5)	[0.09/17] Velocity standard deviation ({sigma}_V_)	[ucd=phys.veloc.dispersion]
#Column	Rmax	(D12.5)	[0.1/3] Largest eigenvalue of the inertia matrix	[ucd=phys.angSize]
#Column	Rmin	(D12.5)	[0.1/1.5] Smallest eigenvalue of the inertia matrix	[ucd=phys.angSize;src]
#Column	Rang	(D12.5)	[0.1/1.7] Angular radius (1)	[ucd=phys.angSize]
#Column	Rgal	(D12.5)	[0.003/97] Galacto-centric radius	[ucd=phys.size.radius]
#Column	INF	(I1)	Near or far distance flag (0=near; 1=far) (2)	[ucd=meta.code]
#Column	Dnear	(D12.5)	[0.001/88.5] Near kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	Dfar	(D12.5)	[0.01/88.5] Far kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	znear	(D12.5)	[-2.8/1.6] Near distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	zfar	(D12.5)	[-2.8/1.6] Far distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	Snear	(D12.5)	[/744960] Near derived physical area	[ucd=phys.area]
#Column	Sfar	(D12.5)	[0.003/744960] Far derived physical area	[ucd=phys.area]
#Column	Rnear	(D12.5)	[0.008/470] Near derived physical size	[ucd=phys.angSize]
#Column	Rfar	(D12.5)	[0.03/470] Far derived physical size	[ucd=phys.angSize]
#Column	Mnear	(D12.5)	[0.0003/] Near derived mass	[ucd=phys.mass]
#Column	Mfar	(D12.5)	[0.01/] Far derived mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Cloud	Ncomp	Npix	Area	GLON	Sigb	GLAT	Sigl	theta	WCO	NH2	Sigma	Vcent	SigV	Rmax	Rmin	Rang	Rgal	INF	Dnear	Dfar	znear	zfar	Snear	Sfar	Rnear	Rfar	Mnear	Mfar	Simbad	_RA.icrs	_DE.icrs
 	 	 	 	deg2	deg	deg	deg	deg	deg	K.km/s	cm-2	Msun/pc2	km/s	km/s	deg	deg	deg	kpc	 	kpc	kpc	kpc	kpc	pc2	pc2	pc	pc	Msun	Msun	 	deg	deg
--------	----	---	---	------------	----------	------------	----------	------------	------------	------------	------------	------------	------------	------------	------------	------------	------------	------------	-	------------	------------	------------	------------	------------	------------	------------	------------	------------	------------	------	----------	----------
       1	   1	  6	  6	 9.37500e-02	359.439284	 1.53933e-01	+00.063824	 1.25000e-01	 2.88022e+01	 2.57122e+02	 8.57074e+21	 1.86881e+02	-1.51387e+02	 1.65675e+01	 3.54777e-01	 1.25000e-01	 1.76981e-01	 1.01734e-01	1	 8.44103e+00	 8.55817e+00	 9.40277e-03	 9.53326e-03	 2.03478e+03	 2.09165e+03	 2.60735e+01	 2.64353e+01	 3.80262e+05	 3.90889e+05	Simbad	266.007208	-29.380925
       2	   2	 20	 20	 3.12500e-01	359.722424	 1.84638e-01	-00.241459	 1.38789e-01	 1.07582e+01	 1.11518e+03	 1.11518e+22	 2.43159e+02	-1.47093e+02	 1.43163e+01	 3.82215e-01	 2.59472e-01	 2.95232e-01	 5.07952e-02	1	 8.47024e+00	 8.52971e+00	-3.56957e-02	-3.59464e-02	 6.82963e+03	 6.92588e+03	 4.36456e+01	 4.39521e+01	 1.66069e+06	 1.68409e+06	Simbad	266.475484	-29.298882
       3	   3	 25	 25	 3.90625e-01	359.142997	 1.94934e-01	-00.259487	 1.47484e-01	-1.78951e+01	 1.43914e+03	 1.15131e+22	 2.51037e+02	-1.32417e+02	 1.46353e+01	 4.22332e-01	 2.46250e-01	 2.94760e-01	 1.79883e-01	1	 8.37188e+00	 8.62640e+00	-3.79153e-02	-3.90680e-02	 8.33992e+03	 8.85472e+03	 4.30698e+01	 4.43792e+01	 2.09363e+06	 2.22287e+06	Simbad	266.145678	-29.802609
       4	   4	107	 87	 1.35938e+00	340.343890	 3.21626e-01	-00.096034	 2.71538e-01	 9.46897e+00	 8.56857e+02	 1.96979e+21	 4.29502e+01	-1.23622e+02	 5.47850e+00	 6.67399e-01	 5.13112e-01	 5.60106e-01	 3.10522e+00	0	 6.79329e+00	 9.21611e+00	-1.13862e-02	-1.54471e-02	 1.91098e+04	 3.51715e+04	 6.64113e+01	 9.00968e+01	 8.20769e+05	 1.51062e+06	Simbad	252.162363	-45.045644
       5	   5	 46	 45	 7.03125e-01	359.562599	 2.72261e-01	-00.316237	 2.02676e-01	 9.31931e+00	 2.06262e+03	 9.16720e+21	 1.99886e+02	-1.10569e+02	 1.51750e+01	 5.59002e-01	 3.85140e-01	 4.36064e-01	 1.08842e-01	1	 8.41250e+00	 8.58727e+00	-4.64315e-02	-4.73961e-02	 1.51579e+04	 1.57942e+04	 6.40267e+01	 6.53568e+01	 3.02985e+06	 3.15705e+06	Simbad	266.453270	-29.474268
       6	   6	 12	 12	 1.87500e-01	359.562764	 1.65471e-01	-00.047902	 1.40508e-01	-2.97611e+01	 6.14858e+02	 1.02476e+22	 2.23444e+02	-1.02661e+02	 1.41850e+01	 3.98381e-01	 1.72583e-01	 2.28086e-01	 1.17393e-01	1	 8.40191e+00	 8.59760e+00	-7.02439e-03	-7.18799e-03	 4.03193e+03	 4.22194e+03	 3.34469e+01	 3.42259e+01	 9.00913e+05	 9.43368e+05	Simbad	266.190578	-29.334158
       7	   7	 53	 44	 6.87500e-01	328.302000	 1.46941e-01	+00.563903	 3.12053e-01	-1.08780e+01	 7.44102e+02	 3.38228e+21	 7.37489e+01	-9.68810e+01	 6.23656e+00	 6.24830e-01	 2.92337e-01	 3.76568e-01	 4.58073e+00	0	 6.21468e+00	 8.25012e+00	 6.11637e-02	 8.11961e-02	 8.08848e+03	 1.42544e+04	 4.08457e+01	 5.42235e+01	 5.96516e+05	 1.05125e+06	Simbad	238.378668	-53.094805
       8	   8	 97	 75	 1.17188e+00	331.057110	 2.05997e-01	+00.042470	 3.24286e-01	 1.27306e+01	 1.40199e+03	 3.73864e+21	 8.15190e+01	-9.53537e+01	 7.16959e+00	 6.52975e-01	 4.04981e-01	 4.74885e-01	 4.43603e+00	0	 5.77772e+00	 9.09903e+00	 4.28272e-03	 6.74463e-03	 1.19166e+04	 2.95547e+04	 4.78886e+01	 7.54172e+01	 9.71426e+05	 2.40927e+06	Simbad	242.346312	-51.679983
       9	   9	119	102	 1.59375e+00	328.000900	 3.41839e-01	-00.029391	 2.67951e-01	 2.15396e+00	 1.37508e+03	 2.69623e+21	 5.87899e+01	-9.32204e+01	 6.29436e+00	 6.84918e-01	 5.34314e-01	 5.80422e-01	 4.68255e+00	0	 5.92847e+00	 8.48849e+00	-3.04111e-03	-4.35432e-03	 1.70632e+04	 3.49814e+04	 6.00591e+01	 8.59938e+01	 1.00315e+06	 2.05656e+06	Simbad	238.622411	-53.744079
