#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
 	 	 	"h:m:s"	"d:m:s"	 	 	 	 	10+14Msun	10+14Msun	 	10+14Msun	 	 	 	10+14Msun	10+14Msun	 	10+14Msun	 	 	 	 	 	
--------	---------------------	-------	-----------	-----------	-----	-----	-----	-----	-------	-------	-	------	-----	-----	-----	-------	--------	-	------	------------------------------------	---------------	------	------	------	--------------------------
       1	Virgo                	 0.0030	12 30 47.30	+12 20 13.0	X-ray	 2.80	 0.70	 0.70	  4.200	  0.500	-	 0.500	 3.80	 0.90	 0.90	  5.400	   0.900	-	 0.900	McLaughlin (1999)                   	200            	 0.300	 0.700	 0.700	Virgo cluster
       2	Virgo                	 0.0030	12 30 47.30	+12 20 13.0	CM   	 0.92	     	     	  2.400	       	 	      	 1.35	     	     	  3.870	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Virgo cluster
       3	NGC 4636             	 0.0031	12 42 49.80	+02 41 16.0	CM   	 8.64	     	     	  0.160	       	 	      	11.41	     	     	  0.190	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	NGC 4636
       4	NGC 5846             	 0.0060	15 06 29.30	+01 36 20.0	CM   	 8.29	     	     	  0.500	       	 	      	10.95	     	     	  0.590	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	NGC 5846
       5	NGC 5044             	 0.0090	13 15 24.00	-16 23 08.0	X-ray	 8.40	 0.20	 0.20	  0.322	  0.009	-	 0.009	11.10	 0.30	 0.30	  0.375	   0.011	-	 0.011	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	NGC 5044
       6	Abell 1060           	 0.0100	10 36 41.80	-27 31 28.0	LOSVD	10.67	 0.93	 2.52	  3.570	  0.340	-	 0.310	13.98	 1.22	 3.31	  4.090	   0.390	-	 0.360	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1060
       7	Abell 1060           	 0.0100	10 36 41.80	-27 31 28.0	X-ray	10.27	 2.45	 2.17	  9.810	  1.320	-	 1.160	13.70	 3.27	 2.89	 11.390	   1.530	-	 1.350	Babyk, Del Popolo & Vavilova (2014) 	200            	 0.270	 0.730	 0.730	Abell 1060
       8	Abell 1060           	 0.0100	10 36 41.80	-27 31 28.0	LOSVD	10.60	17.10	 7.70	  3.800	  0.400	-	 0.700	14.00	22.00	10.00	  4.400	   1.100	-	 1.000	Lokas et al. (2006)                 	Virial         	 0.300	 0.700	 0.700	Abell 1060
       9	Abell 1060           	 0.0100	10 36 41.80	-27 31 28.0	X-ray	 8.40	 0.60	 0.60	       	       	 	      	11.10	 0.80	 0.80	       	        	 	      	Xu, Jin & Wu (2001)                 	200            	 0.300	 0.700	 0.500	Abell 1060
      10	Abell 3526           	 0.0110	12 48 47.90	-41 18 28.0	X-ray	10.43	 0.81	 0.83	  8.260	  0.720	-	 0.280	13.90	 1.08	 1.11	  9.580	   0.840	-	 0.320	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3526
      11	NGC 1550             	 0.0124	04 19 37.90	+02 24 34.0	X-ray	13.00	 0.80	 0.80	  0.274	  0.011	-	 0.011	17.00	 1.00	 1.00	  0.311	   0.014	-	 0.014	Gastaldello et al. (2007b)          	2500           	 0.300	 0.700	 0.700	NGC 1550
      12	Abell S805           	 0.0139	18 47 20.00	-63 20 13.0	LOSVD	 6.69	 1.07	 2.30	  2.350	  0.330	-	 0.340	 8.85	 1.42	 3.04	  2.790	   0.390	-	 0.400	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell S805
      13	NGC 2563             	 0.0149	08 20 35.70	+21 04 04.0	X-ray	 7.50	 2.70	 2.70	  0.224	  0.060	-	 0.060	 9.90	 3.40	 3.40	  0.263	   0.078	-	 0.078	Gastaldello et al. (2007b)          	2500           	 0.300	 0.700	 0.700	NGC 2563
      14	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	LOSVD	 7.94	 1.91	 2.19	  2.140	  0.370	-	 0.210	10.45	 2.52	 2.88	  2.510	   0.430	-	 0.250	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 262
      15	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	X-ray	10.11	 1.02	 0.98	  2.930	  0.730	-	 0.670	13.46	 1.36	 1.30	  3.400	   0.850	-	 0.780	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 262
      16	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	LOSVD	 3.10	 8.70	 2.40	  2.100	  0.200	-	 0.600	 4.20	11.30	 3.20	  2.700	   1.200	-	 1.000	Lokas et al. (2006)                 	Virial         	 0.300	 0.700	 0.700	Abell 262
      17	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	X-ray	 6.70	 0.50	 0.50	  0.927	  0.077	-	 0.077	 8.80	 0.70	 0.70	  1.099	   0.099	-	 0.099	Gastaldello et al. (2007b)          	2500           	 0.300	 0.700	 0.700	Abell 262
      18	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	X-ray	 5.29	 0.43	 0.43	       	       	 	      	 7.03	 0.55	 0.55	       	        	 	      	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 262
      19	Abell 262            	 0.0163	01 52 46.80	+36 09 05.0	X-ray	12.90	 1.10	 1.10	       	       	 	      	16.80	 1.40	 1.40	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 262
      20	Abell 194            	 0.0180	01 25 40.80	-01 24 26.0	CM   	 6.27	     	     	  1.090	       	 	      	 8.30	     	     	  1.300	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 194
      21	NGC 533              	 0.0185	01 25 31.30	+01 45 33.0	X-ray	13.00	 1.00	 1.00	  0.202	  0.010	-	 0.010	16.90	 1.30	 1.30	  0.229	   0.012	-	 0.012	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	NGC 533
      22	MKW 4                	 0.0200	12 03 57.70	+01 53 18.0	LOSVD	 7.91	 1.05	 2.75	  1.550	  0.230	-	 0.210	10.40	 1.38	 3.62	  1.810	   0.270	-	 0.250	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	MKW 4
      23	MKW 4                	 0.0200	12 03 57.70	+01 53 18.0	X-ray	19.93	 3.15	 3.17	  2.220	  1.840	-	 2.100	26.19	 4.14	 4.17	  2.480	   2.060	-	 2.350	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MKW 4
      24	MKW 4                	 0.0200	12 03 57.70	+01 53 18.0	X-ray	 9.40	 0.60	 0.60	  0.540	  0.026	-	 0.026	12.30	 0.80	 0.80	  0.624	   0.033	-	 0.033	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	MKW 4
