#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:23	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/refs&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_refs:
#Name: J/MNRAS/455/892/refs
#Title: References
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(a36)	Reference code	[ucd=meta.note;meta.main]
#Column	BibCode	(A19)	BibCode	[ucd=meta.bib.bibcode]
#Column	Com	(a32)	Comments	[ucd=meta.note]
recno	Ref	BibCode	Com
 	 	 	
--------	------------------------------------	-------------------	--------------------------------
       1	Abdullah et al. (2011)              	2011MNRAS.416.2027A	
       2	Allen et al. (2003)                 	2007MNRAS.382..397A	
       3	Andersson & Madejski (2004)         	2004ApJ...607..190A	
       4	Babyk et al. (2014)                 	2014ARep...58..587B	Cat. J/AZh/91/679
       5	Babyk, Del Popolo & Vavilova (2014) 	2014ARep...58..587B	Cat. J/AZh/91/679
       6	Bardeau et al. (2005)               	2005A&A...434..433B	
       7	Bardeau et al. (2007)               	2007A&A...470..449B	
       8	Biviano et al. (2013)               	2013A&A...558A...1B	
       9	Broadhurst et al. (2005a)           	2005ApJ...619L.143B	
      10	Broadhurst et al. (2005b)           	2005ApJ...621...53B	Cat. J/ApJ/621/53
      11	Buckley-Geer et al. (2011)          	2011ApJ...742...48B	Cat. J/ApJ/742/48
      12	Buote & Lewis (2004)                	2004ApJ...604..116B	
      13	Buote, Humphrey & Stocke (2005)     	2005ApJ...630..750B	
      14	Clowe & Schneider (2001a)           	                   	preprint, arXiv:astro-ph/0109260
      15	Clowe & Schneider (2001b)           	2001A&A...379..384C	
      16	Clowe & Schneider (2002)            	2002A&A...395..385C	
      17	Clowe (2003)                        	                   	ASP Conf. Ser. 301, 271
      18	Coe et al. (2010)                   	2010ApJ...723.1678C	Cat. J/ApJ/723/1678
      19	Comerford & Natarajan (2007)        	2007MNRAS.379..190C	
      20	Corless et al. (2009)               	2009MNRAS.393.1235C	
      21	David et al. (2001)                 	2001ApJ...557..546D	
      22	Democles et al. (2010)              	2010A&A...517A..52D	
      23	Donnarumma et al. (2009)            	2009MNRAS.398..438D	
      24	Eichner et al. (2013)               	2013ApJ...774..124E	
      25	Ettori et al. (2011)                	2011A&A...526C...1E	
      26	Gastaldello et al. (2007a)          	2007ApJ...662..923G	
      27	Gastaldello et al. (2007b)          	2007ApJ...669..158G	
