#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:39 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/a2744&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_a2744:
#Name: J/A+A/709/A254/a2744
#Title: Structural parameters for Abell 2744 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 	deg	deg	mag	kpc	 	mag
---	---------	---------	------	------	------	------
  1	003.60097	-30.41784	 20.13	  1.98	  3.72	 19.34
  2	003.60136	-30.41536	 20.09	  2.33	  2.26	 19.33
  3	003.60342	-30.41676	 21.76	  1.77	  1.71	 20.67
  4	003.58571	-30.41397	 21.36	  1.53	  1.40	 20.64
  5	003.56958	-30.41216	 20.25	  3.35	  2.47	 19.83
  6	003.57967	-30.40919	 18.50	  3.58	  3.74	 17.68
  7	003.59210	-30.41311	 22.96	  1.56	  2.13	 22.28
  8	003.59203	-30.40573	 18.10	  4.75	  1.40	 17.26
  9	003.57395	-30.40883	 19.30	  2.81	  4.61	 18.37
 10	003.58888	-30.41334	 23.59	  0.89	  1.54	 23.06
 11	003.58882	-30.41072	 20.49	  1.80	  3.44	 19.56
 12	003.58509	-30.41231	 23.59	  1.57	  1.52	 22.97
 13	003.56672	-30.41199	 23.79	  1.42	  1.35	 23.24
 14	003.59254	-30.41209	 24.06	  1.20	  0.52	 23.47
 15	003.58251	-30.40999	 20.79	  1.07	  6.64	 20.04
 16	003.59089	-30.41089	 23.69	  1.07	  2.36	 23.03
 17	003.58913	-30.40957	 20.52	  1.08	  1.87	 19.69
 18	003.59748	-30.40997	 23.38	  1.28	  1.07	 22.81
 19	003.58972	-30.41023	 21.92	  1.70	  3.86	 21.16
 20	003.59374	-30.40922	 22.71	  1.38	  1.23	 22.10
 21	003.59513	-30.40937	 21.46	  0.41	  3.53	 20.53
 22	003.58383	-30.40951	 22.13	  1.16	  2.48	 21.41
 23	003.59172	-30.40781	 20.46	  0.73	  4.37	 19.57
 24	003.60081	-30.40953	 23.38	  1.41	  1.92	 22.75
 25	003.59552	-30.40968	 24.07	  0.84	  1.03	 23.52
 26	003.59786	-30.40555	 20.58	  1.98	  4.12	 19.85
 27	003.57755	-30.40820	 23.18	  2.54	  1.51	 22.61
 28	003.58594	-30.40843	 23.11	  1.49	  1.10	 22.63
 29	003.58625	-30.40016	 18.28	  3.87	  1.77	 17.24
 30	003.56716	-30.40875	 23.44	  0.77	  3.22	 22.79
 31	003.57340	-30.40746	 21.91	  2.61	  1.67	 21.24
 32	003.58286	-30.40884	 24.13	  1.07	  1.16	 23.64
 33	003.59591	-30.40621	 20.11	  1.94	  4.78	 19.21
 34	003.59250	-30.40462	 18.70	  2.99	  4.28	 17.87
