#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:40 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/as1063&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_as1063:
#Name: J/A+A/709/A254/as1063
#Title: Structural parameters for Abell S1063 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 	deg	deg	mag	kpc	 	mag
---	---------	---------	------	------	------	------
  1	342.17863	-44.54655	 22.21	  0.78	  2.51	 21.27
  2	342.17443	-44.54622	 22.32	  0.71	  1.15	 21.74
  3	342.18449	-44.54318	 20.86	  2.13	  5.17	 20.02
  4	342.18320	-44.54385	 22.57	  1.73	  1.82	 21.69
  5	342.17217	-44.54313	 23.19	  0.86	  1.99	 22.31
  6	342.17176	-44.54054	 20.47	  2.99	  4.51	 19.61
  7	342.18666	-44.54076	 21.08	  0.82	  3.67	 20.08
  8	342.18893	-44.54039	 20.39	  2.55	  3.06	 19.48
  9	342.18205	-44.54034	 21.35	  1.22	  3.90	 20.35
 10	342.18487	-44.54063	 23.23	  1.02	  2.37	 22.31
 11	342.17704	-44.53695	 19.13	  2.25	  2.31	 18.29
 12	342.16902	-44.54034	 22.88	  1.50	  2.17	 22.11
 13	342.17160	-44.53951	 22.46	  1.01	  1.45	 21.54
 14	342.16046	-44.53895	 22.11	  0.94	  1.16	 21.52
 15	342.16273	-44.53816	 22.32	  2.41	  1.97	 21.57
 16	342.18200	-44.53857	 22.86	  1.01	  2.07	 22.04
 17	342.17686	-44.53753	 21.24	  1.21	  3.80	 20.41
 18	342.18438	-44.53619	 20.15	  2.02	  3.44	 19.27
 19	342.17547	-44.53539	 19.12	  8.17	  5.25	 18.73
 20	342.18934	-44.53692	 21.94	  1.44	  1.91	 21.01
 21	342.17081	-44.53583	 23.09	  1.77	  1.31	 22.75
 22	342.18693	-44.53537	 20.91	  1.48	  3.02	 19.98
 23	342.16660	-44.53481	 21.39	  0.61	  4.57	 20.41
 24	342.16985	-44.53554	 20.45	  1.36	  5.01	 19.56
 25	342.16825	-44.53655	 22.13	  0.42	  3.53	 21.09
 26	342.17999	-44.53568	 23.50	  1.37	  1.63	 22.96
 27	342.17465	-44.53693	 23.66	  1.06	  1.28	 22.95
 28	342.18565	-44.53125	 23.29	  1.28	  3.31	 22.21
 29	342.19530	-44.53490	 22.80	  1.55	  2.57	 22.00
 30	342.19134	-44.53432	 21.22	  0.49	  3.25	 20.18
 31	342.18686	-44.53390	 22.13	  2.27	  2.62	 21.51
 32	342.18307	-44.53310	 22.24	  0.37	  2.53	 21.30
 33	342.17492	-44.53413	 21.36	  0.64	  2.97	 20.35
 34	342.17903	-44.53278	 20.11	  1.12	  5.24	 18.93
