#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:41 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/m0416&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_m0416:
#Name: J/A+A/709/A254/m0416
#Title: Structural parameters for MACS J0416.1-2403 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 	deg	deg	mag	kpc	 	mag
---	---------	---------	------	------	------	------
  1	064.03810	-24.06749	 18.47	 11.47	  2.23	 17.34
  2	064.04486	-24.07351	 18.50	  9.14	  4.53	 17.78
  3	064.03471	-24.07160	 19.50	  2.71	  5.81	 18.58
  4	064.03823	-24.07176	 20.16	  1.47	  3.58	 19.08
  5	064.04276	-24.07303	 20.63	  1.81	  3.38	 19.44
  6	064.03268	-24.07015	 20.90	  1.32	  2.19	 19.94
  7	064.02494	-24.07207	 19.88	  1.55	  3.14	 18.82
  8	064.04636	-24.06706	 19.83	  3.46	  4.19	 18.91
  9	064.02831	-24.07227	 20.51	  1.44	  2.89	 19.49
 10	064.04245	-24.07465	 22.93	  0.83	  1.43	 22.29
 11	064.04090	-24.07460	 23.44	  1.36	  1.74	 22.73
 12	064.04131	-24.07136	 19.48	  4.02	  5.19	 18.61
 13	064.03679	-24.07226	 21.13	  3.85	  7.70	 20.54
 14	064.02975	-24.07349	 23.03	  1.11	  2.17	 22.27
 15	064.04010	-24.06591	 18.74	  6.65	  5.98	 17.96
 16	064.04370	-24.07337	 23.97	  1.27	  0.59	 22.99
 17	064.03758	-24.07276	 22.40	  1.64	  2.02	 21.61
 18	064.03945	-24.06933	 19.86	  2.43	  2.89	 18.87
 19	064.04516	-24.07145	 22.60	  0.48	  2.72	 21.42
 20	064.03473	-24.06980	 20.50	  1.74	  4.66	 19.67
 21	064.02536	-24.07220	 22.34	  2.42	  1.88	 21.85
 22	064.03541	-24.06788	 21.05	  0.78	  2.97	 19.96
 23	064.03878	-24.07072	 21.44	  0.95	  2.50	 20.64
 24	064.03344	-24.06907	 21.49	  1.23	  2.84	 20.53
 25	064.04089	-24.06973	 22.66	  0.86	  2.11	 21.86
 26	064.04269	-24.06513	 21.26	  1.96	  2.15	 20.27
 27	064.04477	-24.06982	 23.83	  0.26	  3.34	 22.75
 28	064.03958	-24.06716	 24.35	  1.17	  1.73	 23.63
 29	064.03519	-24.06874	 21.92	  2.74	  2.26	 21.21
 30	064.04251	-24.06923	 19.57	  2.95	  4.29	 18.77
 31	064.04483	-24.06910	 23.42	  1.35	  1.90	 22.66
 32	064.04418	-24.06872	 20.42	  2.98	  1.26	 19.45
 33	064.03990	-24.06830	 25.01	  1.09	  1.84	 24.36
 34	064.04481	-24.06708	 20.71	  0.89	  3.80	 19.76
