#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:42 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/m1149&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_m1149:
#Name: J/A+A/709/A254/m1149
#Title: Structural parameters for MACS J1149.6+2223 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 	deg	deg	mag	kpc	 	mag
---	---------	---------	------	------	------	------
  1	177.39694	+22.39297	 20.94	  1.29	  4.71	 19.71
  2	177.40645	+22.38958	 19.01	  6.40	  3.47	 17.89
  3	177.40369	+22.38911	 20.80	  2.95	  4.40	 19.83
  4	177.39168	+22.39062	 20.65	  2.66	  2.50	 19.70
  5	177.39855	+22.38979	 22.12	  0.86	  1.60	 21.19
  6	177.39507	+22.38985	 23.10	  0.35	  1.96	 21.91
  7	177.39688	+22.39231	 22.26	  1.47	  2.88	 21.64
  8	177.39869	+22.39230	 21.18	  1.37	  3.14	 20.11
  9	177.40366	+22.39194	 21.28	  1.01	  3.82	 20.11
 10	177.39266	+22.39273	 20.31	  1.85	  2.62	 19.22
 11	177.38970	+22.39271	 20.21	  3.75	  3.53	 19.06
 12	177.39123	+22.39272	 21.07	  4.36	  0.58	 19.85
 13	177.39483	+22.39292	 23.07	  1.23	  3.56	 22.00
 14	177.40726	+22.39145	 23.30	  1.34	  2.42	 22.30
 15	177.40536	+22.39165	 23.20	  1.26	  2.46	 22.32
 16	177.38945	+22.39391	 19.75	  2.80	  4.68	 18.70
 17	177.39583	+22.39350	 22.21	  1.97	  0.39	 20.47
 18	177.39288	+22.39710	 21.13	  1.85	  3.99	 20.11
 19	177.40080	+22.39377	 23.66	  0.66	  1.37	 22.52
 20	177.39269	+22.39436	 21.70	  1.26	  3.30	 20.60
 21	177.40358	+22.39638	 19.91	  2.76	  2.90	 18.74
 22	177.39778	+22.39545	 20.45	  2.79	  3.48	 19.42
 23	177.40015	+22.39444	 23.03	  1.92	  3.54	 22.42
 24	177.39278	+22.39809	 20.54	  1.95	  2.33	 19.50
 25	177.40690	+22.39582	 21.72	  1.49	  2.56	 20.52
 26	177.39875	+22.39854	 18.96	 10.11	  2.00	 17.83
 27	177.40262	+22.39619	 21.12	  4.79	  6.40	 20.37
 28	177.40736	+22.39481	 23.77	  1.26	  0.85	 23.71
 29	177.39416	+22.39504	 23.54	  1.45	  2.42	 22.58
 30	177.39983	+22.39726	 20.67	  2.21	  4.57	 19.83
 31	177.40663	+22.39554	 22.30	  0.95	  1.61	 21.42
 32	177.40103	+22.39788	 20.44	  1.75	  5.45	 19.21
 33	177.39503	+22.39602	 22.60	  1.17	  2.21	 21.51
 34	177.40078	+22.39625	 22.78	  0.67	  2.48	 21.76
