z,logMstar,logMbar,Vcirc_kms,sigma0_kms
0.6020,10.8500,10.9300,274.9000,30.9000
0.6260,11.0000,11.0700,314.3000,25.8000
0.6690,10.7600,10.8200,267.5000,49.8000
0.6780,10.4900,10.5800,273.4000,38.5000
0.7580,10.6600,10.7700,313.8000,24.3000
0.7770,10.3500,10.5800,239.1000,81.4000
0.7850,10.5200,10.6300,237.8000,23.0000
0.7870,10.7700,10.8900,324.7000,8.5000
0.7880,9.7800,10.1800,158.2000,51.0000
0.7980,10.6800,10.9400,206.4000,29.9000
0.7990,10.6300,10.7800,300.7000,1.0000
0.8000,9.6900,9.8100,111.6000,32.9000
0.8030,10.5900,10.7000,219.4000,29.4000
0.8030,10.4800,10.5600,337.4000,29.3000
0.8090,10.2000,10.3300,177.1000,38.0000
0.8200,11.1200,11.1900,261.2000,27.4000
0.8230,10.0300,10.2600,194.2000,16.8000
0.8240,10.5900,10.6300,235.4000,9.3000
0.8280,10.8700,10.9900,351.2000,96.4000
0.8310,10.3700,10.5700,285.3000,28.9000
0.8320,10.0700,10.3600,166.9000,52.1000
0.8520,10.8300,10.9500,305.2000,37.1000
0.8540,10.7300,10.9300,321.4000,1.8000
0.8680,10.3100,10.5500,189.4000,49.8000
0.8890,10.6300,10.8200,259.0000,44.3000
0.8920,10.0300,10.3200,239.1000,35.7000
0.8920,9.8200,10.1500,210.7000,24.4000
0.8930,9.5900,9.9700,138.1000,1.0000
0.8950,10.1200,10.2900,207.9000,27.5000
0.8960,10.2600,10.4800,184.3000,28.5000
0.8960,10.2800,10.5100,203.9000,18.2000
0.9000,10.3000,10.5400,323.9000,51.3000
0.9000,10.3100,10.5600,143.4000,47.5000
0.9010,10.1000,10.2600,197.2000,28.8000
0.9050,10.1400,10.3800,184.9000,1.0000
0.9060,10.9200,11.0200,222.5000,36.2000
0.9070,10.8500,10.9700,335.7000,41.4000
0.9070,10.7700,10.9400,278.3000,40.0000
0.9120,9.9600,10.3000,149.6000,23.3000
0.9120,10.8300,10.9200,285.9000,38.3000
0.9130,11.1300,11.2600,384.0000,95.2000
0.9140,10.7100,10.8500,255.0000,36.3000
0.9140,10.3200,10.4800,159.1000,47.4000
0.9190,10.9400,11.0500,356.4000,94.9000
0.9210,10.6100,10.6800,262.8000,22.8000
0.9220,10.1900,10.3400,196.3000,58.8000
0.9270,10.6600,10.8000,212.1000,1.0000
0.9390,10.3000,10.6200,301.9000,1.9000
0.9490,10.1700,10.4300,129.8000,31.6000
0.9500,10.7400,10.9500,191.0000,60.6000
0.9520,10.1000,10.3100,126.9000,30.2000
0.9530,9.9100,10.1800,259.0000,65.8000
0.9530,9.8500,10.0100,217.2000,35.5000
0.9530,9.9100,10.0800,140.3000,16.3000
0.9540,10.9500,11.0400,315.0000,46.8000
1.0020,10.8300,11.0000,380.0000,19.9000
1.0040,10.2900,10.5300,192.5000,1.0000
1.0100,9.5300,9.9400,125.0000,19.7000
1.0170,10.4400,10.6100,256.5000,42.2000
1.0180,10.3100,10.5900,299.6000,58.7000
1.0190,10.5100,10.6400,231.5000,21.7000
1.0240,10.6400,10.7900,305.6000,12.1000
1.0260,10.8900,11.0300,264.7000,1.0000
1.0310,10.7400,10.9900,294.5000,57.9000
1.0320,10.8000,10.9800,299.4000,1.7000
1.3060,10.7000,10.8500,248.8000,21.4000
1.3820,11.0000,11.3100,320.5000,82.4000
1.3820,10.0800,10.3900,181.1000,18.4000
1.3820,10.8200,11.0700,281.1000,29.3000
1.4180,10.5000,10.7200,222.3000,44.6000
1.4270,10.2600,10.6000,140.6000,40.1000
1.4930,10.2200,10.5600,207.4000,29.7000
1.4980,10.3100,10.5300,163.2000,52.0000
1.5100,11.0000,11.2000,347.6000,39.4000
1.5180,11.0700,11.3700,476.1000,158.9000
1.5250,10.8100,11.1100,301.7000,25.4000
1.5260,11.3300,11.4800,470.6000,32.4000
1.5340,10.1900,10.4200,195.9000,52.3000
1.5480,10.8100,11.0400,271.3000,49.5000
1.5510,9.9300,10.3000,226.8000,59.4000
1.5510,9.9300,10.2000,120.3000,40.5000
1.5880,10.7200,11.0000,241.9000,34.4000
1.5990,10.8500,11.0300,215.8000,46.8000
1.6120,10.6800,10.9000,304.4000,39.5000
1.6130,11.1800,11.3100,309.0000,50.5000
