z,Mstar,VC_kms,Reff_kpc,sigma0_kms
0.8498,1.2736e+10,129.02,4.302,53.29
0.8445,5.3092e+08,47.96,1.249,44.63
0.8454,4.1403e+09,109.20,2.129,21.52
1.0137,3.2287e+09,40.54,2.705,40.26
0.8378,5.3583e+09,171.93,0.928,36.57
0.8334,7.9622e+09,151.65,3.495,52.07
0.8422,4.2957e+09,90.57,2.615,32.16
0.8544,5.7152e+09,123.00,1.143,45.07
0.8502,2.0560e+09,89.89,5.042,34.40
0.8501,2.5884e+10,120.11,1.801,65.89
0.8376,1.0691e+10,173.78,4.604,38.44
0.8370,1.3093e+09,40.93,1.402,40.07
0.7834,1.1299e+09,65.95,3.201,45.51
0.8394,2.2544e+09,78.20,4.432,33.78
0.8357,3.7071e+09,83.73,2.869,50.59
0.8509,8.2610e+09,98.44,2.456,43.80
0.8384,1.0691e+10,101.43,4.154,21.56
0.8370,6.8082e+09,104.73,3.329,32.62
0.8338,4.8869e+09,104.48,1.582,28.41
0.8427,1.1299e+10,138.13,3.718,21.82
0.8388,1.2973e+10,117.18,0.929,31.70
0.8406,2.2337e+10,124.60,3.708,76.99
0.8517,2.3825e+09,30.82,1.710,25.00
0.8548,3.4122e+09,85.97,1.811,33.93
0.8349,1.0024e+10,161.89,1.769,77.27
0.8538,1.9635e+10,83.04,3.952,81.10
0.8372,4.3755e+09,49.40,0.928,38.10
0.8404,1.2973e+10,115.13,2.058,29.98
0.8355,1.7101e+10,190.72,2.229,40.56
0.8398,2.7104e+09,130.04,5.162,59.29
0.8476,1.6182e+09,125.51,1.608,24.20
0.8501,8.7303e+09,224.80,0.741,40.18
0.8548,3.6731e+09,61.77,2.561,54.25
0.8493,3.2287e+09,80.13,2.823,30.07
0.9064,2.2544e+09,140.46,4.097,52.10
0.8886,2.8644e+10,274.38,7.291,67.20
0.9273,7.6038e+09,110.22,3.688,56.39
0.9275,6.5619e+09,129.47,3.259,43.16
0.8290,1.5887e+10,111.47,3.297,86.43
0.9250,1.3965e+10,190.70,5.291,46.86
0.8680,6.8082e+09,73.12,2.126,50.26
0.9604,3.9177e+10,290.18,5.175,40.87
0.9234,6.7458e+09,91.62,2.767,19.70
0.8393,7.4650e+09,95.75,4.277,61.92
0.9700,2.1729e+10,196.59,4.068,45.15
0.8802,4.3354e+09,74.77,2.348,44.53
0.9377,1.4758e+10,225.65,4.341,54.48
0.9141,9.7506e+09,204.17,3.536,49.74
0.8374,3.9905e+09,141.89,3.603,37.44
0.9591,1.4224e+10,204.52,5.584,51.12
0.9557,4.4160e+09,47.93,3.176,35.84
0.8409,1.8925e+10,161.88,3.161,43.98
0.9618,3.1119e+10,276.58,2.777,41.71
1.0420,2.1332e+10,251.74,6.292,74.03
0.8288,2.6855e+10,227.91,4.017,52.42
0.8387,3.4437e+09,78.75,2.054,32.70
0.9705,1.5454e+10,78.01,2.483,35.21
0.8962,1.6789e+10,268.43,5.509,42.79
