#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T00:42:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T00:42:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/843/16/table2&-out=PGC1,Nm,logK,Dist,sigmaV,R2t,Rg,logMK,logMd&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18430016
#Name: J/ApJ/843/16
#Title: Galaxy groups within 3500km/s (Kourkchi+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	creator=Kourkchi E.	    First author or institution
#INFO	cites=bibcode:2017ApJ...843...16K	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/843/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18430016	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_843_16_table2:
#Name: J/ApJ/843/16/table2
#Title: Catalog of galaxy groups
#Column	PGC1	(I7)	[35/9002824] Group Principal Galaxies Catalog ID (1)	[ucd=meta.id]
#Column	Nm	(I3)	[1/714] Number of galaxies in the group	[ucd=meta.number]
#Column	logK	(F5.2)	[1.7/13]? log Ks band absolute luminosity of group	[ucd=phys.luminosity;em.IR]
#Column	Dist	(F5.2)	[0.01/94.2]? Distance of group (G2)	[ucd=pos.distance;pos.heliocentric]
#Column	sigmaV	(I3)	[0/800] Group line-of-sight velocity dispersion (6)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F6.3)	[0.003/1.7] Second turnaround radius of group from luminosity (7)	[ucd=phys.size.radius;pos.lg]
#Column	Rg	(F6.3)	[0.001/8.3]? Projected virial radius of group (8)	[ucd=phys.size.radius]
#Column	logMK	(F6.3)	[6.5/15] log of group mass from luminosity (9)	[ucd=phys.mass]
#Column	logMd	(F6.3)	[2.5/15]? log of group dynamic mass (10)	[ucd=phys.mass]
PGC1	Nm	logK	Dist	sigmaV	R2t	Rg	logMK	logMd
 	 	[Lsun]	Mpc	km/s	Mpc	Mpc	[Msun]	[Msun]
-------	---	-----	-----	---	------	------	------	------
  43296	191	12.71	36.96	800	 1.612	 0.893	14.624	14.717
  46618	 30	12.11	37.57	307	 0.950	 0.745	13.936	13.808
  45174	 34	11.96	44.03	300	 0.833	 0.693	13.764	13.756
  40498	 24	11.92	28.45	170	 0.801	 0.607	13.713	13.207
  43557	 22	11.81	39.89	163	 0.724	 0.428	13.582	13.017
  46409	 12	11.70	33.18	174	 0.659	 0.399	13.459	13.045
  45466	 22	11.48	38.06	118	 0.544	 0.444	13.210	12.747
  49424	  7	11.41	33.88	130	 0.513	 0.391	13.134	12.782
  49106	  8	11.40	30.06	 97	 0.507	 0.204	13.117	12.243
  41960	  7	11.38	39.63	147	 0.498	 0.467	13.093	12.966
  39212	  6	11.37	34.36	161	 0.491	 0.275	13.076	12.812
  49673	  5	11.32	29.09	 16	 0.473	 0.164	13.025	10.609
  35417	  8	11.29	35.89	121	 0.459	 0.270	12.989	12.556
  46029	  5	11.22	     	 14	 0.433	 0.368	12.911	10.822
  47582	  6	11.21	38.22	 84	 0.430	 0.175	12.902	12.049
  45999	  1	11.14	     	  0	 0.401	      	12.810	
  46828	  4	11.12	     	 48	 0.395	 0.089	12.791	11.279
  37334	  1	11.07	     	  0	 0.380	      	12.741	
  44361	  1	11.04	     	  0	 0.370	      	12.706	
  43642	  1	11.03	     	  0	 0.366	      	12.692	
  44340	  3	11.02	40.38	154	 0.361	 0.224	12.674	12.684
  47283	  2	10.96	     	 12	 0.344	 0.219	12.612	10.487
  45283	  2	10.93	46.99	 95	 0.334	 0.495	12.575	12.612
  46304	  2	10.93	34.20	 42	 0.333	 0.325	12.571	11.712
  45683	  1	10.92	37.15	  0	 0.332	      	12.565	
  50388	  3	10.91	     	 71	 0.327	 0.254	12.547	12.068
  49205	  1	10.87	35.97	  0	 0.316	      	12.504	
  36964	  3	10.87	     	  6	 0.316	 0.100	12.502	 9.491
  37405	  2	10.83	34.04	 27	 0.307	 0.345	12.465	11.360
  37254	  3	10.83	30.34	 18	 0.305	 0.183	12.455	10.731
  45724	  1	10.80	     	  0	 0.299	      	12.430	
  40496	  2	10.79	43.85	 48	 0.296	 0.481	12.418	12.000
  50706	  1	10.79	     	  0	 0.296	      	12.417	
  36767	  4	10.79	     	 60	 0.294	 0.154	12.408	11.695
  45729	  2	10.74	     	  6	 0.284	 0.257	12.360	 9.980
  44949	  3	10.74	49.66	122	 0.282	 0.329	12.350	12.649
  45155	  4	10.73	     	 78	 0.280	 0.265	12.346	12.167
  42504	  3	10.73	     	 35	 0.279	 0.030	12.340	10.524
