#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
 	 	 	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Mpc	Mpc	deg	deg	km/s	km/s	 	 	kpc	kpc	[Msun/pc3]	[Msun/pc3]	[Msun]	[Msun]	 	 	
--------	-----------	------------	-----	-----	-----	-----	------	-----	----	----	------	------	------	------	------	--------	-----	------	-----	-----	-----	-----	-----
       1	CamB       	pISO-Flat   	 0.34	 0.07	 0.00	 0.00	  3.07	 0.26	57.9	 5.2	457.41	128.85	 22.06	  3.94	 28.40	    9.47	-2.29	  0.57	13.48	 0.37	 0.00	 0.00	 2.99
       2	CamB       	Burkert-Flat	 0.33	 0.07	 0.00	 0.00	  3.07	 0.26	58.1	 5.2	423.46	130.51	  9.47	  1.35	 61.26	   20.80	-2.27	  0.60	13.38	 0.40	 0.00	 0.00	 3.01
       3	CamB       	NFW-Flat    	 0.37	 0.08	 0.00	 0.00	  3.18	 0.26	59.2	 5.2	 38.00	 12.93	  1.01	  0.72	 51.67	   40.93	-4.29	  1.19	10.24	 0.44	 0.00	 0.00	 8.61
       4	CamB       	NFW-LCDM    	 0.35	 0.08	 0.00	 0.00	  2.75	 0.28	45.2	 5.1	 37.53	  2.35	  3.83	  0.71	 13.41	    2.62	-3.15	  0.27	10.23	 0.08	 0.00	 0.00	 7.92
       5	CamB       	Einasto-Flat	 0.34	 0.07	 0.00	 0.00	  3.07	 0.26	58.0	 5.2	479.47	134.44	  6.11	  1.00	107.51	   34.89	-2.74	  0.56	13.55	 0.37	 1.92	 0.42	 7.92
       6	CamB       	Einasto-LCDM	 0.36	 0.07	 0.00	 0.00	  2.90	 0.27	53.0	 5.4	 39.40	  2.41	  5.37	  0.74	 10.06	    1.52	-3.23	  0.22	10.29	 0.08	 0.60	 0.16	 7.92
       7	CamB       	DC14-Flat   	 0.34	 0.07	 0.00	 0.00	  3.07	 0.26	58.6	 5.3	 32.13	  8.91	 11.99	  2.54	  3.67	    1.28	-2.45	  0.50	10.02	 0.36	 0.00	 0.00	 4.14
       8	CamB       	DC14-LCDM   	 0.35	 0.07	 0.00	 0.00	  3.13	 0.25	57.8	 4.9	 39.49	  2.30	 10.57	  1.52	  5.12	    0.79	-2.55	  0.17	10.29	 0.08	 0.00	 0.00	 4.41
       9	CamB       	coreNFW-Flat	 0.35	 0.07	 0.00	 0.00	  3.00	 0.27	57.0	 5.5	 12.48	 11.05	 11.89	  5.82	  1.44	    1.45	-1.99	  1.75	 8.79	 1.15	 0.00	 0.00	 7.17
      10	CamB       	coreNFW-LCDM	 0.34	 0.08	 0.00	 0.00	  2.69	 0.29	42.2	 5.0	 36.77	  2.36	  6.33	  1.57	  7.95	    2.04	-2.65	  0.35	10.20	 0.08	 0.00	 0.00	 4.94
      11	CamB       	Lucky13-Flat	 0.34	 0.07	 0.00	 0.00	  3.08	 0.26	57.0	 5.3	489.08	124.01	  8.00	  1.26	 83.77	   25.01	-2.26	  0.51	13.57	 0.33	 0.00	 0.00	 2.94
      12	CamB       	Lucky13-LCDM	 0.34	 0.07	 0.00	 0.00	  3.06	 0.25	57.8	 5.0	 39.43	  2.33	  9.26	  1.34	  5.83	    0.91	-2.11	  0.22	10.29	 0.08	 0.00	 0.00	 4.22
      13	D512-2     	pISO-Flat   	 0.50	 0.14	 0.00	 0.00	 14.63	 5.00	56.5	10.4	 41.17	 15.34	 67.23	208.50	  0.84	    2.62	-1.34	  4.32	10.35	 0.49	 0.00	 0.00	
      14	D512-2     	Burkert-Flat	 0.50	 0.14	 0.00	 0.00	 15.74	 4.83	55.7	10.4	 24.59	 68.25	 20.84	 12.28	  1.62	    4.59	-1.41	  5.17	 9.68	 3.62	 0.00	 0.00	
      15	D512-2     	NFW-Flat    	 0.50	 0.13	 0.00	 0.00	 15.54	 4.90	57.0	10.1	 42.66	 83.88	  5.86	  9.08	  9.97	   24.96	-2.73	  4.17	10.39	 2.56	 0.00	 0.00	
