# Lovisari, Reiprich & Schellenberger 2015, A&A 573, A118 -- Tables 1 and 2, transcribed from the
# arXiv:1409.3845 LaTeX source (the catalogue is not in VizieR).  h70 units as published.
# M500, M2500 are HYDROSTATIC masses; Mgas from the double-beta gas density profiles.
name	z	kT_keV	ekT	R500_kpc	eR500	M500_1e13	eM500	Mgas500_1e12	eMgas500	R2500_kpc	eR2500	M2500_1e13	eM2500	Mgas2500_1e12	eMgas2500
NGC4936	0.012	0.85	0.03	417.0	21.0	2.07	0.32	1.69	0.24	187.0	9.0	0.93	0.14	0.49	0.02
S0753	0.013	1.51	0.03	547.0	36.0	4.67	0.94	3.53	0.19	211.0	5.0	1.33	0.11	0.62	0.04
HCG62	0.015	1.05	0.01	437.0	6.0	2.39	0.54	2.01	0.22	202.0	1.0	1.17	0.24	0.49	0.08
S0805	0.015	1.01	0.01	427.0	58.0	2.22	0.97	1.71	0.42	155.0	13.0	0.53	0.13	0.17	0.04
NGC3402	0.016	0.96	0.02	470.0	9.0	2.95	0.18	1.35	0.16	210.0	2.0	1.32	0.29	0.49	0.02
A194	0.018	1.37	0.04	463.0	23.0	2.83	0.43	2.72	0.26	197.0	11.0	1.09	0.13	0.47	0.06
RXCJ1840.6-7709	0.019	1.17	0.04	488.0	12.0	3.31	0.24	1.71	0.17	219.0	5.0	1.49	0.1	0.53	0.04
WBL154	0.023	1.19	0.02	508.0	8.0	3.53	0.18	2.71	0.16	233.0	4.0	1.71	0.07	0.6	0.04
S0301	0.023	1.35	0.03	497.0	47.0	3.49	0.86	3.06	0.44	230.0	8.0	1.73	0.32	0.91	0.05
NGC1132	0.024	1.08	0.01	490.0	9.0	3.35	0.19	2.47	0.06	215.0	2.0	1.41	0.04	0.69	0.01
IC1633	0.024	2.8	0.06	797.0	80.0	14.4	2.62	11.5	1.65	289.0	35.0	3.43	1.25	1.59	0.43
NGC4325	0.026	1.0	0.01	435.0	3.0	2.34	0.05	1.69	0.03	205.0	1.0	1.22	0.01	0.62	0.01
RXCJ2315.7-0222	0.027	1.39	0.02	552.0	25.0	4.78	0.68	3.79	0.15	253.0	10.0	2.3	0.3	1.14	0.09
NGC6338	0.028	1.97	0.09	671.0	39.0	8.59	1.5	6.34	0.33	295.0	15.0	3.66	0.13	1.96	0.17
IIIZw054	0.029	2.17	0.02	694.0	14.0	9.51	0.57	9.06	0.37	307.0	5.0	4.11	0.19	2.42	0.1
IC1262	0.031	1.87	0.02	625.0	11.0	6.96	0.37	5.34	0.29	208.0	13.0	1.28	0.23	0.62	0.11
AWM4	0.033	2.45	0.03	724.0	38.0	10.8	1.72	6.5	0.35	309.0	12.0	4.19	0.49	2.16	0.15
A3390	0.033	1.58	0.06	543.0	21.0	4.37	0.51	1.94	0.19	253.0	14.0	2.22	0.37	0.51	0.07
CID28	0.034	2.01	0.02	655.0	11.0	8.0	0.42	6.27	0.16	295.0	3.0	3.66	0.13	1.77	0.04
UGC03957	0.034	2.66	0.03	751.0	20.0	12.1	0.95	8.17	0.46	357.0	5.0	6.47	0.28	3.05	0.13
