ID,sample,z,RA,Dec,logMstar,SFR,Re_phot_arcsec,incl,Re_disk_kpc,eRe_p,eRe_m,sigma0,esig_p,esig_m,Vrot_Re,eVrot_p,eVrot_m,vsig,fDM_Re,efDM_p,efDM_m,RC_shape
2111,golden,0.58,215.0627824,52.9070766,9.97,1.6,0.66,57.2,5.37,0.64,1.55,51.5,2.6,3.0,152.1,3.0,3.0,3.0,0.59,0.04,0.25,Flat
2145,golden,1.17,215.0694675,52.9108516,9.19,1.4,0.2,51.7,3.38,0.98,0.92,43.4,1.2,1.2,73.6,1.1,1.2,1.7,0.67,0.05,0.06,Falling
2465,golden,1.25,215.0704381,52.9137241,9.3,1.6,0.43,70.1,2.92,0.56,0.48,44.9,2.1,2.1,114.9,1.2,1.2,2.6,0.7,0.03,0.05,Flat
2824,golden,0.98,215.0685025,52.914333,9.49,0.7,0.32,53.9,3.04,0.64,0.69,39.4,2.5,2.6,165.6,17.8,5.6,4.2,0.63,0.22,0.23,
3399,golden,1.34,215.042511,52.8996031,9.81,3.5,0.4,64.2,4.13,1.11,nan,54.3,nan,nan,120.6,3.5,nan,2.2,0.47,nan,0.12,Falling
4391,golden,1.08,215.0676175,52.9232437,9.48,2.7,0.18,29.2,1.59,0.39,0.32,49.5,1.6,1.7,168.9,15.4,15.6,3.4,0.58,0.25,0.24,Flat
6199,golden,1.59,215.0450158,52.9194652,10.0,17.8,1.21,32.7,5.86,nan,0.54,45.5,0.8,nan,79.3,nan,21.1,1.7,0.53,nan,0.1,Falling
6430,golden,1.17,215.0131444,52.8980378,9.79,8.9,0.32,64.3,7.63,0.99,0.54,58.0,1.6,1.4,149.7,0.2,1.3,2.6,0.79,0.01,0.01,
7314,golden,1.28,214.9989097,52.8925151,9.55,2.6,0.28,38.7,2.53,0.37,0.46,61.5,0.9,0.9,121.8,81.4,37.1,2.0,0.73,0.15,0.15,
7561,golden,1.03,215.0609094,52.9383828,9.21,0.7,0.4,67.2,1.95,0.72,0.47,49.8,1.9,1.8,106.0,4.0,4.3,2.1,0.51,0.05,0.05,Falling
