# Ou, Eilers, Necib & Frebel 2024, MNRAS 528, 693 (arXiv:2303.12838), Table 1.
# Measurements of the circular velocity of the Milky Way.  Transcribed from the arXiv PDF text layer.
# VERIFIED 2026-09-03 against the paper's own LaTeX source (curl https://arxiv.org/e-print/2303.12838
#   -> tab01.tex): all 37 rows match exactly, so this transcription is authoritative.
# R0 = 8.178 kpc (GRAVITY Collab. 2019) assumed by the authors.  Errors below are RANDOM only;
# the authors' total SYSTEMATIC uncertainty is, in their own words (Sec. 3.2 of the source): 'The total
# systematic uncertainty ranges between 1 per cent to 5 per cent up to R = 22 kpc, increasing to 15 per
# cent' beyond, dominated there by the neglected asymmetric-drift term.  They also state that 'the
# systematic uncertainties are insufficient to explain the decline ... starting at R ~ 15 kpc'.
# Their baryonic model (their Table 2, also verified against the source) is Misiriotis+2006 double
# exponentials -- disc 3.65e10/2.35/0.14, HI 8.20e9/18.24/0.52, H2 1.30e9/2.57/0.08, cold dust
# 7.00e7/5.00/0.10, warm dust 2.20e5/3.30/0.09 (Msun / Rd kpc / zd kpc) -- plus a de Salas+2019
# Hernquist bulge of 1.55e10 Msun with a = 0.70 kpc.
R_kpc	vc_kms	sig_plus	sig_minus	Nstar
6.27	231.07	1.28	1.00	764
6.78	230.93	0.97	0.97	676
7.28	232.87	1.13	0.79	812
7.86	234.14	0.63	0.62	1631
8.19	232.83	0.56	0.55	2270
8.71	231.27	0.54	0.66	1445
9.23	230.47	0.44	0.46	2179
9.72	229.16	0.54	0.43	2505
10.24	229.37	0.25	0.50	2560
10.74	227.95	0.53	0.34	2528
11.23	227.09	0.44	0.46	2692
11.73	227.15	0.35	0.45	2419
12.23	226.90	0.39	0.41	2285
12.73	225.61	0.64	0.53	1994
13.22	224.95	0.66	0.69	1665
13.72	222.79	0.68	0.53	1308
14.22	222.13	1.04	0.64	938
14.73	220.08	0.65	0.89	641
15.24	218.25	1.14	0.79	449
15.72	221.16	1.06	1.24	322
16.24	218.30	2.17	1.88	243
16.77	217.07	1.39	1.35	164
17.21	219.56	1.80	1.69	150
17.77	215.49	1.98	2.08	114
18.23	214.62	2.24	1.59	102
18.73	210.89	1.42	1.32	94
19.22	208.48	2.20	1.65	71
19.71	205.97	1.20	1.55	70
20.22	202.97	1.55	2.25	65
20.72	195.16	2.60	1.97	46
21.22	200.20	2.84	1.45	38
21.72	201.11	2.72	3.81	30
22.27	196.79	4.82	6.25	14
22.71	218.65	14.93	17.54	11
23.40	192.49	4.25	4.80	22
25.02	191.48	6.41	9.61	11
27.31	172.98	15.82	17.07	7
