#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:17:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:17:03	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/clusters&-out.max=unlimited&-out=Name,Type,CST,N,Nt,GLON,GLAT,r50pc,rcpc,rtpc,s_pmRA,e_pmRA,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dist16,dist50,dist84,X,Y,Z,RV,s_RV,e_RV,n_RV,logAge50,AV50,r50Jpc,rJpc,probJ,NJ,MassJ,e_MassJ,MassTot,e_MassTot,CMDCl50	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_clusters:
#Name: J/A+A/686/A42/clusters
#Title: Main catalogue (table 1)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id;meta.main]
#Column	Type	(A1)	[omgdr] Estimated type of object (1)	[ucd=src.class]
#Column	CST	(F11.8)	[3/99] Astrometric SNR (cluster significance test) (2)	[ucd=stat.snr]
#Column	N	(I6)	[10/153797] Number of member stars	[ucd=meta.number]
#Column	Nt	(I5)	[10/53464] Number of stars within tidal radius	[ucd=meta.number]
#Column	GLON	(F12.8)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(E10.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	r50pc	(F13.8)	Radius containing 50% of members in parsecs	[ucd=phys.size.radius]
#Column	rcpc	(F13.8)	Core radius in parsecs	[ucd=phys.size.radius]
#Column	rtpc	(F13.8)	Tidal radius in parsecs	[ucd=phys.size.radius]
#Column	s_pmRA	(F11.8)	Standard deviation of pmra	[ucd=stat.stdev]
#Column	e_pmRA	(F11.8)	Standard error of pmra	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	s_pmDE	(F11.8)	Standard deviation of pmdec	[ucd=stat.stdev]
#Column	e_pmDE	(F11.8)	Standard error of pmdec	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F12.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	s_Plx	(F11.8)	Standard deviation of parallax	[ucd=stat.stdev;pos.parallax]
#Column	e_Plx	(F11.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	dist16	(F15.8)	16th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist50	(F15.8)	50th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist84	(F16.8)	84th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	X	(F16.8)	X coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.x;pos.galactic;pos.heliocentric]
#Column	Y	(F16.8)	Y coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.y;pos.galactic;pos.heliocentric]
#Column	Z	(F16.8)	Z coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.z;pos.galactic;pos.heliocentric]
#Column	RV	(F13.8)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F13.8)	? Standard deviation of radial velocity	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	e_RV	(F13.8)	? Standard error of radial velocity	[ucd=stat.error]
#Column	n_RV	(I4)	Number of member stars with a radial velocity	[ucd=meta.note]
#Column	logAge50	(F11.8)	? 50th percentile of logarithm of cluster age	[ucd=time.age]
#Column	AV50	(F11.8)	? 50th percentile of V-band cluster extinction	[ucd=phys.absorption]
#Column	r50Jpc	(F12.8)	? Radius containing 50% of members within the Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	rJpc	(F13.8)	? Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	probJ	(E10.3)	? Probability of the cluster having a valid Jacobi radius	[ucd=stat.fit.goodness]
#Column	NJ	(I4)	[9/4171]? Number of stars within best-fit Jacobi radius	[ucd=meta.number]
#Column	MassJ	(F15.8)	? Cluster mass within the Jacobi radius	[ucd=phys.mass]
#Column	e_MassJ	(F15.8)	? Error on cluster mass within the Jacobi radius	[ucd=stat.error]
#Column	MassTot	(F15.8)	? Total observed cluster mass	[ucd=phys.mass]
#Column	e_MassTot	(F15.8)	? Error on total observed cluster mass	[ucd=stat.error]
#Column	CMDCl50	(F11.8)	[0/1] 50th percentile of CMD class	[ucd=meta.code]
Name	Type	CST	N	Nt	GLON	GLAT	r50pc	rcpc	rtpc	s_pmRA	e_pmRA	s_pmDE	e_pmDE	Plx	s_Plx	e_Plx	dist16	dist50	dist84	X	Y	Z	RV	s_RV	e_RV	n_RV	logAge50	AV50	r50Jpc	rJpc	probJ	NJ	MassJ	e_MassJ	MassTot	e_MassTot	CMDCl50
 	 	 	 	 	deg	deg	pc	pc	pc	mas/yr	mas/yr	mas/yr	mas/yr	mas	mas	mas	pc	pc	pc	pc	pc	pc	km/s	km/s	km/s	 	[yr]	mag	pc	pc	 	 	Msun	Msun	Msun	Msun	
--------------------	-	-----------	------	-----	------------	----------	-------------	-------------	-------------	-----------	-----------	-----------	-----------	------------	-----------	-----------	---------------	---------------	----------------	----------------	----------------	----------------	-------------	-------------	-------------	----	-----------	-----------	------------	-------------	----------	----	---------------	---------------	---------------	---------------	-----------
ADS_16795           	m	 6.83219864	    41	   41	112.50889463	-2.668e+00	   9.56715258	  11.74470786	  30.81841428	 1.30185671	 0.20331586	 1.25803641	 0.19647228	  4.75961052	 0.10161330	 0.01586933	   206.28167669	   206.45788462	    206.63439385	  -8200.94946741	    190.52326760	     11.39159669	 -13.35774436	   1.63019018	   0.57635926	   8	 7.75518608	 0.17429753	  0.71949317	   4.04686248	 0.000e+00	  10	     6.00749567	     2.52795935	    28.43456886	     4.35088362	 0.82842210
AH03_J0748-26.9     	o	11.58552411	    68	   66	243.20021931	-6.276e-01	   2.36860928	   1.94140513	  10.16049478	 0.04241582	 0.00522103	 0.05193567	 0.00639284	  0.20935812	 0.03312631	 0.00407757	  3919.58056456	  3979.06488330	   4040.38251600	  -9916.03213687	  -3551.44898508	    -18.19460187	  79.36052331	  16.09866262	   4.64728360	   1	 8.06174040	 1.03666890	  2.37076641	  12.43420460	 1.000e+00	  67	   409.19021592	    85.49307562	   411.32537429	    86.73031343	 0.99993774
ASCC_5              	o	 8.31642236	    25	   25	123.84274797	-7.031e+00	   1.65574640	   1.36706904	   7.05842277	 0.08267997	 0.01653599	 0.09263841	 0.01852768	  0.53819722	 0.03764309	 0.00752862	  1721.68750605	  1740.98320690	   1760.71632064	  -9084.80322366	   1435.13376878	   -189.84723555	             	             	             	   0	 7.32589102	 1.17621279	  1.65574640	   8.44573611	 1.000e+00	  25	   173.19576530	    25.46871726	   173.19576530	    25.46871726	 0.99965981
ASCC_6              	o	19.25857004	   209	  209	130.36368620	-4.324e+00	   3.76421798	   2.15326025	  22.71744990	 0.10924057	 0.00755633	 0.08861240	 0.00612945	  0.62966733	 0.05078960	 0.00351319	  1497.86275470	  1501.88586403	   1505.93064289	  -9092.16756942	   1141.10435903	    -89.94835549	 -28.83784149	  22.55436438	  10.08661839	   5	 7.96103024	 0.65653390	  3.52940278	  12.55196474	 1.000e+00	 196	   580.77666617	    89.91147581	   597.88657026	    92.29020971	 0.99927860
ASCC_9              	o	17.56655281	   136	  132	137.80668710	-1.733e+00	   5.55555124	  13.44247880	  13.44247880	 0.06185135	 0.00538347	 0.06851403	 0.00596338	  0.40228194	 0.02596851	 0.00226027	  2288.40541567	  2299.27724834	   2310.25287464	  -9824.86028517	   1543.56812999	    -44.38768079	 -23.79108670	  23.51118663	  16.62491950	   2	 7.46564054	 2.49999785	  5.69086363	  16.76801042	 1.000e+00	 136	  1143.12514714	   217.93571636	  1143.12514714	   217.93571636	 0.99968752
ASCC_11             	o	27.89348821	   315	  231	150.55167577	-9.238e+00	   2.76881847	   3.50373425	   8.70539632	 0.15162631	 0.00997628	 0.13206012	 0.00868892	  1.17058217	 0.05007491	 0.00329469	   824.70038138	   825.93527220	    827.17386677	  -8832.20569243	    400.79571103	   -109.97428856	 -17.28520635	  10.74674652	   1.32283305	  66	 8.36957026	 0.72898781	  3.33159520	  13.00298863	 1.000e+00	 315	   688.49335905	    86.12395545	   688.49335905	    86.12395545	 0.99909198
ASCC_12             	o	19.41706905	   157	  155	163.01816915	-1.900e+00	   3.95608849	   2.30181616	  23.45501172	 0.13249760	 0.01064246	 0.12865242	 0.01033361	  0.95498910	 0.04658322	 0.00374165	  1012.07776140	  1014.51750457	   1016.96903879	  -9091.80452938	    296.14659945	    -10.35242349	 -26.14465879	  20.49443115	   4.36942740	  22	 8.47342920	 0.70915082	  3.34726478	  10.79637343	 1.000e+00	 132	   374.23573540	    44.83426745	   442.39595070	    56.13073933	 0.99956775
ASCC_13             	o	11.41564199	   117	  115	163.52977738	 3.072e+00	   4.98416140	   5.91291664	  16.27700196	 0.11529576	 0.01075139	 0.12816108	 0.01195108	  0.88155036	 0.07391337	 0.00689246	  1073.26114706	  1076.15264565	   1079.05976643	  -9152.33454102	    304.67008894	     81.10342370	 -17.42266769	  15.84325934	   4.39412953	  13	 7.94514036	 0.61692888	  3.88167650	  10.35972523	 1.000e+00	 100	   323.32204892	    40.70543180	   377.19727736	    40.42737427	 0.99958569
ASCC_14             	o	 3.35332804	    32	   21	171.77059711	-1.108e+00	   3.62078173	   7.54579834	   7.54579834	 0.08222725	 0.01794346	 0.19679936	 0.04294514	  0.92737600	 0.04306725	 0.00939804	  1000.03647746	  1004.25092121	   1008.50103707	  -9115.74389335	    143.71938407	      3.92425976	 -15.06850226	   2.70908836	   1.91561475	   2	 7.68908143	 0.67634851	  3.55015629	   6.43605527	 9.975e-01	  18	    78.39984305	    17.47461525	   125.72660045	    29.55566081	 0.99878922
ASCC_18             	m	 5.07672406	    82	   43	202.39396825	-1.889e+01	   2.12907273	   4.72062149	   4.72062149	 0.25994563	 0.03964134	 0.22022279	 0.03358366	  2.41504096	 0.04535879	 0.00691715	   410.72912877	   411.33421579	    411.94108827	  -8482.15451229	   -148.27108466	   -111.41597664	  26.15758033	   8.53235007	   2.06939886	  17	 6.96652937	 0.22809882	  2.08650754	   4.19813017	 9.967e-01	  40	    25.74715019	     7.74995562	    39.41124058	    11.35841182	 0.99494725
