#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:20:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:20:46	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=ASCC_127	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
ASCC_127            	2207455895560447488	0	1	 0.561404908768343702	346.5319061	+63.0925097	    7.45197594	0.12207360	   -2.09884631	0.10658540	-1.1475e-01	   2.66908490	0.10748400	 0.97961110	0	 18.255415	  3.178413	            	            	  0.25709829	  0.21535563	  0.29195932
ASCC_127            	2207575055136688128	0	1	 0.669406822064505080	348.8812787	+63.5971416	    7.52914648	0.05449626	   -2.06311039	0.05556339	-1.3031e-01	   2.68214263	0.06185727	 1.04217770	0	 16.890285	  2.772954	            	            	  0.45162400	  0.38164371	  0.50934956
ASCC_127            	2207598243659317760	0	1	 0.653204623230457471	349.1769138	+63.9411479	    7.37857180	0.06536770	   -2.32691146	0.06924831	-9.0793e-02	   2.68205492	0.06002159	 1.03119890	0	 17.088722	  3.013076	            	            	  0.41912352	  0.35094437	  0.47119386
ASCC_127            	2207674831517096704	0	1	 0.606967140328099175	346.9666654	+63.6138776	    7.36016378	0.11427083	   -1.97404350	0.11537322	-2.1672e-01	   2.71357343	0.10451765	 1.03341560	0	 18.032394	  2.949478	            	            	  0.28338980	  0.23582185	  0.31710352
ASCC_127            	2207675041975004416	0	1	 0.661177391327415487	346.9524436	+63.6244383	    7.44115886	0.04851467	   -2.16122923	0.04435286	-1.3304e-01	   2.69203000	0.04112054	 0.99771110	0	 16.367086	  2.652830	            	            	  0.55572753	  0.48035449	  0.64335106
ASCC_127            	2207792621000945664	0	1	 0.545617279879506367	349.0229737	+64.1523044	    7.86537385	0.08096274	   -2.14366429	0.08110348	-1.4457e-01	   2.74508409	0.06960852	 1.05172470	0	 17.193287	  3.341893	            	            	  0.40057005	  0.33559470	  0.45211601
ASCC_127            	2207801107856576256	0	1	 0.679459632156490523	349.4998768	+64.3170211	    7.49663366	0.03713013	   -2.30624499	0.03531194	-2.9930e-01	   2.59971805	0.03033532	 0.97895780	0	 15.820885	  2.289042	            	            	  0.67478927	  0.61243698	  0.71886392
ASCC_127            	2207801107856576384	0	1	 0.677340869727008466	349.5000027	+64.3163761	    7.66639679	0.04599797	   -2.18594519	0.04207862	-3.0762e-01	   2.59400351	0.03696097	 1.03090310	0	 16.186142	  2.412852	            	            	  0.60118906	  0.51726745	  0.67379819
ASCC_127            	2207826740221942912	0	1	 0.835012030970950891	347.7899674	+64.1074491	    7.44973258	0.09364251	   -1.85782215	0.08872809	-1.8440e-01	   2.68372980	0.08467694	 1.09344340	0	 17.768587	  3.121700	            	            	  0.31501999	  0.26645512	  0.35237727
ASCC_127            	2207834844820922112	0	1	 0.924897481474587058	348.1602509	+64.2391398	    7.39779842	0.37280062	   -1.95931860	0.26578620	-2.5952e-01	   2.60315272	0.27965537	 1.08079330	0	 19.420668	  2.927130	            	            	  0.15786686	  0.13195238	  0.17538513
ASCC_127            	2207836223509686656	0	1	 0.712442915531468102	348.1086301	+64.2943679	    7.38731060	0.13938269	   -1.67049909	0.10439097	-1.5964e-01	   2.68440359	0.11585500	 1.02465190	0	 18.002620	  3.226078	            	            	  0.28712600	  0.24302950	  0.32351428
ASCC_127            	2207844190666745344	0	1	 0.874548705217406019	347.6325884	+64.2740813	    7.68838569	0.10422913	   -1.82546300	0.08845919	-1.3523e-01	   2.62753496	0.09159264	 1.02903340	0	 17.819185	  3.189240	            	            	  0.30941568	  0.25966838	  0.34498653
ASCC_127            	2207849486368637184	1	1	 0.674058694534831249	348.1624626	+64.4123722	    7.30098887	0.04708189	   -2.10886759	0.03907103	-2.7797e-01	   2.54761134	0.03963050	 1.01707350	0	 16.371967	  2.540404	            	            	  0.55467843	  0.48001978	  0.64335106
ASCC_127            	2207852406946379520	1	1	 0.543122928911638825	348.0367936	+64.4099203	    7.26941156	0.15386440	   -2.52656287	0.14727211	-5.7833e-01	   2.71185778	0.11157150	 1.08227620	0	 17.925472	  3.107890	            	            	  0.29733679	  0.24861325	  0.33177879
ASCC_127            	2207857629627366272	0	1	 0.826331380892055822	348.8517219	+64.3850022	    7.70590634	0.01824832	   -1.96220520	0.01886880	-2.1750e-01	   2.67648681	0.01581194	 0.94578630	0	 14.418845	  1.604616	  -52.530293	    5.924967	  0.86780346	  0.80834465	  0.93231637
