#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:18	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Alessi-Teutsch_9	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Alessi-Teutsch_9    	 124951147081541248	0	1	 0.811861124186013750	52.30614097	+33.8546342	   -1.38624539	0.15818506	   -1.52441607	0.11948977	 1.8651e-01	   1.55161199	0.13029781	 0.93479920	0	 17.725546	  2.082584	            	            	  0.62143231	  0.60538554	  0.65040857
Alessi-Teutsch_9    	 125715827354921984	0	1	 1.000000000000000000	51.68277221	+34.0141699	   -1.75282611	0.01853050	   -1.51308787	0.01730066	 2.4726e-01	   1.49225405	0.01863913	 1.06019870	0	 11.851907	  0.469057	  -21.495209	    2.938145	  1.84260052	  1.72752010	  1.90230324
Alessi-Teutsch_9    	 125726685032210048	1	1	 0.853199586340650407	51.91909733	+34.2701724	   -1.99233246	0.06355449	   -1.92214483	0.04455090	 2.3081e-01	   1.50777601	0.04848012	 1.03527320	0	 15.873480	  1.699197	            	            	  0.83022955	  0.80906193	  0.85458428
Alessi-Teutsch_9    	 125727711527773184	1	1	 1.000000000000000000	51.82425456	+34.2265341	   -1.92356184	0.19357109	   -1.38039979	0.14267401	 3.1559e-01	   1.58308315	0.16673517	 1.00110820	0	 17.914900	  2.234778	            	            	  0.60495758	  0.58903215	  0.63247112
Alessi-Teutsch_9    	 125730052286566784	1	1	 1.000000000000000000	51.86390419	+34.3243798	   -1.61824166	0.13004035	   -1.51041736	0.09425405	 2.6423e-01	   1.58505291	0.10400389	 0.92188364	0	 17.255678	  1.966482	            	            	  0.66466740	  0.63589093	  0.68325508
Alessi-Teutsch_9    	 125730189725517440	1	1	 1.000000000000000000	51.88788972	+34.3493318	   -1.77837603	0.06450253	   -1.38179463	0.04831402	 2.6634e-01	   1.46185588	0.05034589	 0.96552730	0	 15.854428	  1.672205	            	            	  0.83360890	  0.81214726	  0.85722731
Alessi-Teutsch_9    	 125731048718974592	1	1	 1.000000000000000000	51.87859684	+34.3733530	   -1.74254774	0.05533136	   -1.43140878	0.04592658	 3.9472e-01	   1.49142280	0.04310498	 1.04322330	0	 15.665330	  1.397174	            	            	  0.86420366	  0.83681195	  0.88248773
Alessi-Teutsch_9    	 125744071059580672	1	1	 1.000000000000000000	51.75959988	+34.4294916	   -1.70144563	0.02845256	   -1.84218338	0.02200963	 1.2591e-01	   1.51181644	0.02548273	 1.09146730	0	  6.401094	  1.294541	  -15.414867	    0.250423	  5.61584068	  4.36631701	  6.40347611
Alessi-Teutsch_9    	 125745239290712448	1	1	 1.000000000000000000	51.65823610	+34.3878626	   -1.76572410	0.03442523	   -1.37959480	0.02301543	 2.3653e-01	   1.54851745	0.02948439	 1.01149170	0	 14.654182	  1.153991	   -9.965817	    7.711425	  1.04151427	  0.99780355	  1.06417103
Alessi-Teutsch_9    	 125746510601017600	1	1	 0.930292854615759612	51.57910239	+34.4624532	   -2.25099829	0.03172467	   -1.37089811	0.02056371	 1.3917e-01	   1.46072069	0.03018860	 1.08687760	0	 14.287782	  1.206548	  -15.280178	   14.911891	  1.11586674	  1.06890413	  1.13803711
Alessi-Teutsch_9    	 125789391554556160	0	1	 1.000000000000000000	51.26890062	+34.4043417	   -1.77559830	0.07340794	   -1.49894174	0.05789401	 3.1971e-01	   1.58186194	0.06359875	 1.00958800	0	 16.296608	  1.562284	            	            	  0.76867395	  0.74480719	  0.79080446
Alessi-Teutsch_9    	 125799665116228352	1	1	 1.000000000000000000	51.53066057	+34.6229134	   -1.81142136	0.02288196	   -1.43346833	0.01755157	 1.3041e-01	   1.51911910	0.02119339	 1.17987680	0	 11.929384	  0.500156	  -34.560596	   11.786072	  1.80646249	  1.69633563	  1.86228793
Alessi-Teutsch_9    	 125800313655691392	1	1	 1.000000000000000000	51.56372997	+34.6882424	   -1.98297673	0.13204663	   -1.43454920	0.09549057	 6.9592e-02	   1.48902468	0.10708788	 1.00789320	0	 17.408113	  2.009928	            	            	  0.64879030	  0.62666267	  0.67223770
Alessi-Teutsch_9    	 125800317951239040	1	1	 1.000000000000000000	51.57359440	+34.6901237	   -1.86596543	0.02126083	   -1.42472229	0.01545765	 6.5772e-02	   1.50912234	0.01902914	 1.18384910	0	 12.213740	  0.633955	  -17.225323	    4.560160	  1.68649799	  1.59354183	  1.73186241
