#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:12	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Alessi_116	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Alessi_116          	1814060148491159296	0	1	 0.697566089583671389	310.9516273	+19.5046626	   -6.48517437	0.01649207	   -9.40111597	0.01376415	 1.6465e-02	   1.12763552	0.01557585	 1.00063250	0	 13.749728	  0.792404	   26.018896	    3.499298	  1.23889031	  1.20516496	  1.26147925
Alessi_116          	1814157111673846656	0	1	 0.756455503145188501	310.5873132	+19.5102256	   -6.42965556	0.35528976	   -9.25913369	0.33960490	 5.5431e-02	   1.15469542	0.37810463	 1.08127810	0	 19.559856	  2.639276	            	            	  0.48498990	  0.47456286	  0.48974966
Alessi_116          	1814158730880792960	0	1	 0.699700353061475044	310.5838543	+19.5859135	   -6.64817358	0.03254769	   -9.44625087	0.02954555	 4.1627e-02	   1.14444429	0.03418935	 0.99629370	0	 15.634623	  1.119060	            	            	  0.89702786	  0.88255369	  0.91065801
Alessi_116          	1814162334353840128	0	1	 0.661204863559963107	310.3154393	+19.4507535	   -6.81623490	0.01998376	   -8.95378656	0.02129634	 1.7330e-01	   0.99572479	0.02348379	 1.00287320	0	 14.754921	  0.974942	            	            	  1.04151399	  1.01966117	  1.05779255
Alessi_116          	1814166874134864000	0	1	 0.691771713061202109	310.2415642	+19.5587684	   -6.39669956	0.06668594	   -9.24907994	0.06698666	 1.5291e-01	   1.19825681	0.06984278	 1.04853060	0	 17.071455	  1.436966	            	            	  0.71795211	  0.70871777	  0.72441374
Alessi_116          	1814166942858025472	0	1	 0.756334470837234374	310.2413231	+19.5594194	   -6.49267676	0.01705312	   -9.10368323	0.01690190	 8.6555e-02	   1.06698440	0.01782221	 1.04960170	0	 14.258752	  0.806605	   27.325540	    8.543664	  1.13391275	  1.10867975	  1.15166321
Alessi_116          	1814172126880206848	0	1	 0.797543594298155800	310.4984357	+19.6865435	   -6.05811168	0.09788546	   -9.31485194	0.09857398	 1.1089e-01	   1.07390064	0.11362917	 1.05093260	0	 17.651888	  1.821411	            	            	  0.66249866	  0.65421140	  0.66944386
Alessi_116          	1814174257183969152	1	1	 0.811094398036316333	310.3401899	+19.6820811	   -6.32614427	0.09471027	   -9.45075295	0.10092843	 6.4279e-02	   1.02088968	0.10281587	 1.02278770	0	 17.725240	  2.182705	            	            	  0.65566861	  0.64512688	  0.66043651
Alessi_116          	1814203054942815488	0	1	 0.727677120939839606	309.7099270	+19.4923427	   -6.17005014	0.01612575	   -9.27443648	0.02020755	 3.1765e-01	   1.06379321	0.01757198	 1.03481910	0	 14.249607	  0.788607	   37.432660	    5.567666	  1.13561415	  1.11028313	  1.15347120
Alessi_116          	1814209892530806528	0	1	 0.778352715957956853	309.7199356	+19.6641116	   -6.62527939	0.01158936	   -9.50357894	0.01237244	 2.0077e-01	   1.07795909	0.01254332	 1.07853910	0	 13.319518	  0.628391	   18.564917	    4.758584	  1.33903509	  1.29656536	  1.36151853
Alessi_116          	1814210300549645312	0	1	 0.805952249608124061	309.8017691	+19.7129718	   -6.09868051	0.04254431	   -9.42363512	0.04804381	 2.2539e-01	   1.02762606	0.04956378	 0.99685650	0	 16.445543	  1.592278	            	            	  0.78632855	  0.77449424	  0.79659464
Alessi_116          	1814212297712704640	0	1	 0.703242567464588464	310.0837544	+19.5422514	   -6.47077329	0.02752582	   -9.14884317	0.02707073	 1.2505e-01	   1.15173309	0.02995396	 1.19597380	0	 15.264078	  1.056714	            	            	  0.95415747	  0.93550969	  0.96755279
Alessi_116          	1814216931978804352	0	1	 0.878360241098038563	310.0474366	+19.6228599	   -6.27615712	0.01444046	   -9.28039127	0.01349693	 1.0755e-01	   1.06572186	0.01521503	 1.06365810	0	 13.786248	  0.726252	   20.273280	    3.702509	  1.23101949	  1.19982147	  1.25468610
Alessi_116          	1814217516094427648	0	1	 0.803158739200722227	309.9653896	+19.6422358	   -5.99702455	0.19624059	   -8.78508601	0.20974354	 2.3676e-01	   0.99937234	0.22086585	 0.98422160	0	 19.055433	  1.762569	            	            	  0.53217699	  0.52362900	  0.53656609
