#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Aveni-Hunter_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Aveni-Hunter_1      	1926622518245739136	0	1	 0.545879248152336349	356.7782790	+45.2220745	   -0.21556012	0.00967268	   -3.47022215	0.00820654	-1.6899e-01	   2.27435665	0.01128515	 0.90084360	0	 12.265020	  0.766345	   -7.742697	    1.321557	  1.42279474	  1.29026145	  1.50859729
Aveni-Hunter_1      	1926625370104222720	0	1	 0.589877843461436235	356.9070960	+45.3236352	    0.55962098	0.05236738	   -3.59764765	0.04656088	-1.4039e-01	   2.30019969	0.05891323	 0.98879206	0	 16.934510	  2.581441	            	            	  0.52303064	  0.47993303	  0.63346958
Aveni-Hunter_1      	1926656637465564288	0	1	 0.628067587560161567	355.8752009	+45.1103953	    0.26378000	0.05726397	   -3.66982952	0.03695753	-1.0797e-01	   2.24383252	0.05271756	 0.97582150	0	 16.342630	  2.414177	            	            	  0.66093374	  0.62425723	  0.71727710
Aveni-Hunter_1      	1926675427944548864	0	1	 0.588503008492345270	356.6336983	+45.3830697	    0.65840890	0.11401204	   -3.73133988	0.11063520	-1.3121e-01	   2.29880503	0.12840740	 1.01672550	0	 18.218262	  3.079941	            	            	  0.30923738	  0.26199261	  0.35747452
Aveni-Hunter_1      	1926798057850758912	0	1	 0.542712194950993210	354.4984666	+45.1784941	    0.19549223	0.07972245	   -3.78653346	0.06936973	-2.2275e-01	   2.18725881	0.09943378	 0.99357456	0	 17.606907	  3.404106	            	            	  0.40054183	  0.33360879	  0.46181939
Aveni-Hunter_1      	1926832215728689408	0	1	 0.694806000958040570	355.3929571	+45.6276802	    0.34269470	0.01839240	   -3.41682110	0.01812838	-1.0838e-01	   2.34717525	0.02156329	 0.99198800	0	 14.966059	  1.656580	            	            	  0.83648983	  0.79511584	  0.90550707
Aveni-Hunter_1      	1926834135574805120	0	1	 0.643879586222837808	355.1185315	+45.6054617	   -0.06501673	0.10957432	   -3.63399638	0.10607056	-2.4452e-01	   2.21055071	0.13681870	 1.02759480	0	 18.147255	  3.085648	            	            	  0.31932762	  0.27306711	  0.37205562
Aveni-Hunter_1      	1926834169934560640	0	1	 0.531831086102731998	355.1519976	+45.6350253	   -0.36004119	0.18690263	   -3.01903098	0.17976058	-2.1061e-01	   2.36892306	0.23385190	 1.06601870	0	 19.049397	  3.335693	            	            	  0.21686367	  0.18381415	  0.25390455
Aveni-Hunter_1      	1926838533623067648	0	1	 0.599446973593816046	355.5529452	+45.1217569	    0.51097628	0.21698153	   -3.53997651	0.15844731	-2.0644e-01	   2.32374984	0.23732540	 0.97616595	0	 18.782768	  3.118065	            	            	  0.24291625	  0.20514552	  0.28371350
Aveni-Hunter_1      	1926862727175952768	0	1	 0.733755192883998486	355.6924345	+45.5100257	    0.29247713	0.03925318	   -3.53116226	0.03774082	-2.2182e-01	   2.33885939	0.04983425	 1.02624180	0	 16.505259	  2.660074	            	            	  0.62900136	  0.58771996	  0.70765410
Aveni-Hunter_1      	1926913820106864640	0	1	 0.733755192883998486	355.6209480	+45.6617164	    0.35993056	0.00922527	   -3.52227707	0.00900777	-1.8358e-01	   2.39684878	0.01026412	 0.88412917	0	 12.665609	  1.120918	  -19.896160	    7.448901	  1.34232342	  1.21904492	  1.46005212
Aveni-Hunter_1      	1926916946844776704	0	1	 0.696696362780048095	355.9125944	+45.6719357	    0.08983013	0.04904577	   -3.80045677	0.04465342	-1.2127e-01	   2.29905708	0.05913238	 1.06183860	0	 16.485277	  2.642287	            	            	  0.63470006	  0.59307768	  0.70958819
Aveni-Hunter_1      	1926928006380379904	0	1	 0.581362229946254638	355.7239874	+45.7847336	    0.33119612	0.13458908	   -3.77307250	0.14329205	-1.2220e-01	   2.43286755	0.17006764	 0.98566880	0	 18.664438	  3.196482	            	            	  0.25624317	  0.21508553	  0.29630684
Aveni-Hunter_1      	1926929037172606080	0	1	 0.556589620929100914	355.7160169	+45.8161124	    0.37579301	0.17329091	   -3.30076533	0.16966623	-1.3206e-01	   2.17502390	0.21065797	 0.98651020	0	 18.942276	  3.392630	            	            	  0.22656177	  0.19206080	  0.26572300
