#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:26	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=BH_99	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
BH_99               	5254253567329260288	1	0	 0.455501870961858291	160.2247169	-60.1947677	  -14.21071633	0.18915853	    0.57988302	0.16595410	 5.6236e-02	   2.16101096	0.17106254	 1.13051430	0	 18.522196	  2.807209	            	            	  0.38158390	  0.33592888	  0.42024193
BH_99               	5254264017008253312	1	0	 0.423198637810101863	160.4960302	-60.2433647	  -14.53735237	0.15080619	    1.15376533	0.12713459	 1.0658e-01	   2.21597679	0.13517553	 1.01464660	0	 18.381762	  3.004271	            	            	  0.40243293	  0.36536639	  0.44407793
BH_99               	5254270579740900352	1	0	 0.479919027244544383	160.8662268	-60.0601723	  -14.46726716	0.08154152	    0.85634557	0.08314121	 4.3087e-02	   2.17843635	0.07379916	 1.01837640	0	 17.382586	  2.580912	            	            	  0.53581675	  0.52124186	  0.55753969
BH_99               	5254275557556490240	1	1	 0.648824545627347371	160.7068616	-59.9247882	  -14.65855260	0.18219823	    0.79937050	0.16162555	 3.5670e-01	   2.23522421	0.13218917	 1.03244230	0	 18.456800	  2.754427	            	            	  0.39184295	  0.35101148	  0.43371835
BH_99               	5254287342952762240	1	0	 0.443788997147517739	160.6274630	-59.9037890	  -15.05298952	0.30752462	    0.74416342	0.28681960	 1.4920e-01	   2.14947839	0.26354320	 1.01151400	0	 19.593395	  3.065956	            	            	  0.24581566	  0.20683311	  0.28255133
BH_99               	5254288957860701696	1	1	 0.541071698121949773	160.4634726	-59.7835877	  -14.87295302	0.22418314	    0.99120513	0.20704252	 5.0613e-03	   2.16157890	0.20006690	 1.16145990	0	 18.941597	  3.037703	            	            	  0.31849581	  0.28476369	  0.37099394
BH_99               	5254290096060100736	1	1	 0.727247960430394080	160.2098846	-59.8949609	  -14.54825605	0.01542887	    1.01707847	0.01434755	 1.9934e-01	   2.26398328	0.01296910	 0.89490503	0	 10.634420	  0.331443	    8.693494	    7.293260	  1.75283883	  1.70427970	  1.78055593
BH_99               	5254290508390614400	1	1	 0.661301896345034557	160.1794314	-59.8499851	  -14.55781040	0.08859063	    0.62691575	0.07861911	 2.4145e-01	   2.19522392	0.07890435	 1.09697250	0	 17.349570	  2.495281	            	            	  0.54225159	  0.52140872	  0.55631856
BH_99               	5254291122518036736	1	1	 0.643770250350636064	160.1747458	-59.7951953	  -14.63029228	0.17718270	    0.75501881	0.16335330	 1.6490e-01	   2.17473879	0.15954429	 1.05666330	0	 18.667309	  2.977074	            	            	  0.35882380	  0.31747865	  0.40358575
BH_99               	5254455813083105152	1	1	 0.509411419147409728	159.2814610	-59.9938058	  -14.42299656	0.02320626	    0.76768373	0.02081168	 2.0743e-01	   2.27652305	0.01836607	 1.12882280	0	 10.403400	  0.222883	    7.682928	    1.204394	  1.85713985	  1.80423972	  1.89440506
BH_99               	5254459931913633152	1	0	 0.458544527709895899	159.0034563	-59.9305509	  -14.81545901	0.01810048	    1.12051952	0.01843268	 2.4416e-01	   2.31547533	0.01629251	 1.00877700	0	 10.404794	  0.221302	    6.288910	    2.140911	  1.85639998	  1.80369653	  1.89355676
BH_99               	5254466322826628992	1	1	 0.510380696699059500	159.0683888	-59.8606539	  -14.66920349	0.13351418	    1.03711034	0.12471616	 1.4387e-01	   2.09669533	0.11746816	 1.04454110	0	 18.136896	  3.003992	            	            	  0.43645326	  0.40446930	  0.46989649
BH_99               	5254468693646583168	1	1	 0.591285823281688327	159.1164742	-59.7480773	  -14.34294109	0.12183411	    1.13054598	0.12166366	 1.3433e-01	   2.17501098	0.11945831	 0.98841390	0	 18.141720	  2.903812	            	            	  0.43583176	  0.40363237	  0.46938821
BH_99               	5254469277762220288	1	1	 0.648680810364700933	159.1438414	-59.6829367	  -14.67856518	0.11683585	    0.96094106	0.11286181	 1.0112e-01	   2.21824157	0.11368130	 1.05505360	0	 18.103312	  3.037026	            	            	  0.44101745	  0.40902495	  0.47331911
BH_99               	5254471274957694336	1	1	 0.591627787993654897	159.8640806	-59.9131334	  -14.59168502	0.10343537	    0.92563820	0.09566396	 9.4661e-02	   2.21886106	0.09433600	 1.04863250	0	 17.887583	  2.658298	            	            	  0.47008809	  0.44405364	  0.50175885
