#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:28	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Blanco_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Blanco_1            	2310337851403618048	0	0	 0.229077601200800868	 2.81688583	-33.1313486	   18.90139708	0.02717322	    3.80477789	0.03804514	 3.3741e-01	   4.17444402	0.04297446	 0.97177047	0	 16.128860	  2.341943	            	            	  0.52182264	  0.50892091	  0.52655155
Blanco_1            	2313104531896830976	0	0	 0.199050655322793119	359.7039045	-33.5561733	   19.42500630	0.03536097	    3.02657092	0.03710259	 1.6051e-01	   4.20851393	0.04468027	 2.42744780	1	 10.733990	  0.644774	    2.954126	    1.146519	  1.27410727	  1.25498420	  1.28679669
Blanco_1            	2313393497296496640	0	0	 0.208899531283588985	 1.64704474	-32.8017355	   19.51950198	0.02078531	    2.91386379	0.02691918	 3.4237e-01	   4.44207324	0.02816236	 1.59828000	0	 11.383714	  0.774421	    2.008716	    1.168099	  1.13238448	  1.11572275	  1.14127750
Blanco_1            	2313393497296496768	0	0	 0.190408312479877467	 1.64840799	-32.8026494	   19.90568011	0.03262025	    3.82990536	0.04321101	 3.6369e-01	   4.43920430	0.04628113	 0.97900220	0	 16.244083	  2.347725	            	            	  0.51084675	  0.50003442	  0.51494201
Blanco_1            	2313587385004219264	0	0	 0.277554803144788531	 1.44681738	-32.5895810	   18.57537488	0.09383811	    2.73526520	0.10858722	 2.9712e-01	   4.20374575	0.11971579	 1.01692080	0	 17.988250	  2.933033	            	            	  0.32709339	  0.30359579	  0.34398728
Blanco_1            	2313613189168913536	1	0	 0.269378588216279080	 1.52746090	-32.2520481	   19.13797952	0.55231570	    2.93700790	0.46187568	 2.1986e-02	   3.94933519	0.68470720	 1.09928580	0	 19.973297	  2.696924	            	            	  0.15984229	  0.13897563	  0.17938562
Blanco_1            	2313629475683792384	1	0	 0.255511895536131683	 1.91477845	-32.1446796	   18.26258203	0.19357632	    2.72679428	0.16150905	 4.3533e-02	   4.47356902	0.21984717	 1.01043210	0	 18.633040	  3.160309	            	            	  0.26260521	  0.23873737	  0.27837259
Blanco_1            	2313653664940106496	1	0	 0.309769565610202857	 1.73534519	-31.7876806	   18.78682412	0.14130640	    3.52780099	0.12340961	 6.0456e-02	   3.96081393	0.12843251	 1.00499600	0	 18.078196	  3.089714	            	            	  0.31771237	  0.29288067	  0.33337375
Blanco_1            	2313677132641261696	1	0	 0.314699546398145624	 0.73781355	-32.1007642	   19.21759378	0.22120062	    2.93642958	0.23276427	 1.1884e-01	   4.15878820	0.29688725	 0.98869610	0	 18.893269	  3.304609	            	            	  0.24012838	  0.21526402	  0.25377406
Blanco_1            	2313683012452139008	1	0	 0.394905351357714318	 1.13001407	-31.9360633	   18.90953022	0.09521902	    2.62424660	0.09627602	 1.9053e-02	   4.16770093	0.10931012	 0.99139530	0	 17.690172	  2.795576	            	            	  0.35924999	  0.33996619	  0.37312832
Blanco_1            	2313703761438671360	1	0	 0.174273649131640479	 1.41530948	-31.7390406	   21.60600629	0.18612740	    3.20118094	0.18193743	 7.3330e-02	   3.28745742	0.21558593	 0.98075510	0	 18.471146	  2.715340	            	            	  0.27813310	  0.25235976	  0.29223469
Blanco_1            	2313705376346405248	1	0	 0.270006093116389678	 1.61429816	-31.6542007	   20.24842448	0.19463576	    2.75398580	0.17432714	 1.3781e-01	   3.92913851	0.17881880	 0.94526050	0	 18.625984	  2.664188	            	            	  0.26342744	  0.23810782	  0.27763062
Blanco_1            	2313716891153083520	1	0	 0.296415781470589390	 1.33398169	-31.6620655	   19.03162934	0.39099070	    2.59997227	0.24488418	-7.0493e-02	   3.91756336	0.30339044	 0.95854735	0	 19.290678	  2.909311	            	            	  0.20846951	  0.18298816	  0.22432301
Blanco_1            	2313717333535372160	1	0	 0.387327684680064621	 1.44226621	-31.6020566	   18.75693925	0.14093971	    3.14047144	0.13148998	 2.1446e-01	   4.12416813	0.15309961	 1.08983140	0	 17.822530	  3.081358	            	            	  0.34552284	  0.32375264	  0.36061829
Blanco_1            	2314214110928211712	1	0	 0.250987234286081995	358.8196346	-31.8842629	   18.01891192	0.03996915	    1.66719166	0.03388578	 1.0635e-01	   4.29193239	0.05216783	 1.07724190	0	  6.821065	 -0.112557	            	            	  3.28957632	  2.81607610	  3.51826692
