#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Briceno_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Briceno_1           	3221677478654607360	0	0	 0.932547050908349440	80.45478789	+0.58769374	    1.03232523	0.01479662	    0.03748474	0.01057153	-1.1949e-01	   2.91293673	0.01503099	 1.09227540	0	 12.642452	  1.161893	   12.483856	    3.729906	  1.27939694	  1.21127286	  1.36067293
Briceno_1           	3221894151165006592	1	1	 0.945576898640226982	81.42180827	+1.00561409	    1.33404435	0.14720517	   -0.15563704	0.10779085	-9.1711e-02	   2.88065464	0.13738704	 0.96557010	0	 18.008944	  3.154997	            	            	  0.24483046	  0.21524871	  0.29340450
Briceno_1           	3221897209181679488	1	1	 0.885295247331888358	81.63700810	+1.02100551	    1.20882892	0.04682394	    0.08639523	0.03979225	-1.6339e-01	   2.87290204	0.05284992	 0.96476380	0	 16.311170	  2.618912	            	            	  0.48726237	  0.39254548	  0.52483552
Briceno_1           	3222051789348635136	1	1	 0.869550024961592727	80.83330409	+0.80544125	    1.30126858	0.06061257	   -0.02517548	0.05170852	-2.0749e-01	   2.93487097	0.06755314	 1.01129440	0	 16.636814	  2.770826	            	            	  0.43225681	  0.34424367	  0.46755363
Briceno_1           	3222066048640071552	1	1	 0.897291676092787926	80.60337648	+0.82852656	    1.19954346	0.14498219	   -0.21541384	0.10861794	-1.3964e-01	   2.92002820	0.15953946	 1.04435340	0	 18.146471	  3.126396	            	            	  0.23056976	  0.20264571	  0.27575881
Briceno_1           	3222068419461962240	1	1	 0.991105460974606611	80.72057579	+0.93274015	    1.06345350	0.02009092	    0.02380013	0.01822573	-1.6873e-01	   2.93183677	0.02488359	 1.05404110	0	 10.103786	  0.305456	   20.591282	    0.614624	  1.88054382	  1.73194958	  1.95327032
Briceno_1           	3222072851868428032	1	1	 0.862669851824966583	80.96212525	+1.01140444	    1.28232246	0.05764191	   -0.09843764	0.04226612	-5.2150e-01	   2.95281356	0.04733376	 1.05365290	0	 15.947277	  2.543610	            	            	  0.56467760	  0.51345775	  0.68329764
Briceno_1           	3222073573422712064	1	1	 0.914781153514959477	80.96478841	+1.05697908	    1.22860266	0.02653923	   -0.00795835	0.01922870	-5.2968e-01	   2.85502586	0.02151350	 1.10641100	0	 14.231503	  1.718531	  -15.600122	   10.610045	  0.84829827	  0.78979071	  0.92659259
Briceno_1           	3222074402352059136	1	1	 0.960111827224735204	80.94715652	+1.06711510	    1.32312080	0.05545123	    0.03574706	0.04059853	-5.4832e-01	   2.93219378	0.04526078	 1.07402850	0	 15.841447	  2.919577	            	            	  0.59132538	  0.53669628	  0.69996631
Briceno_1           	3222084843416897664	1	1	 0.908482553619504363	81.07345392	+1.03774242	    1.21348520	0.01616797	   -0.06423810	0.01156682	-5.2723e-01	   2.90019897	0.01334799	 0.93086594	0	 12.495133	  1.089946	   15.528201	    4.244850	  1.32256028	  1.23615547	  1.39472781
Briceno_1           	3222084847712658944	1	1	 0.907480148369586792	81.07907978	+1.03098910	    1.49760446	0.04396741	   -0.17327465	0.03181752	-5.0284e-01	   2.85070734	0.03783251	 1.67858400	0	 14.535871	  1.957306	  -11.759920	    5.566528	  0.76767228	  0.70439449	  0.80244468
Briceno_1           	3222094601582580608	1	1	 0.953570890191772991	81.29291023	+1.25870035	    1.34715602	0.02489235	   -0.43576561	0.02039882	-2.7464e-01	   2.91223484	0.02645791	 1.24740580	0	  9.812765	  0.126993	   20.046568	    0.423176	  2.02143068	  1.89111997	  2.12816348
Briceno_1           	3222098419809165568	1	1	 0.883456102911706509	80.97544444	+1.13689188	    1.34384967	0.08316304	   -0.46681376	0.05621108	-5.0441e-01	   2.92408084	0.06918248	 1.14356520	0	 16.673080	  2.394563	            	            	  0.42614508	  0.33841719	  0.46025530
Briceno_1           	3222098488528635392	1	1	 0.884156157546106769	81.03639470	+1.13638496	    1.58425587	0.02026832	   -0.32038789	0.01432604	-4.6097e-01	   2.87569746	0.01720745	 0.99658173	0	 12.935122	  1.249680	   10.688539	   39.073452	  1.19319459	  1.12748837	  1.24418057
