#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:35	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=COIN-Gaia_13	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
COIN-Gaia_13        	 189718193051978112	0	1	 0.532223309959284463	85.88873864	+37.4032506	   -3.65171624	0.01450085	   -2.08051420	0.00884721	-1.6844e-01	   1.92510720	0.01423180	 1.02147050	0	 12.428778	  0.845508	  -16.202518	    4.709059	  1.30160445	  1.26277805	  1.32522607
COIN-Gaia_13        	 189728157376062720	0	1	 0.522829378318137028	85.90046843	+37.5312181	   -3.56751153	0.02703195	   -2.05930688	0.01590074	-6.6702e-02	   1.96441564	0.02389920	 1.06734980	0	 14.638844	  1.284230	   -5.525890	   12.448734	  0.87351904	  0.85117174	  0.88933832
COIN-Gaia_13        	 189742859045570304	0	0	 0.472426794356611501	85.89165299	+37.6676068	   -3.67863098	0.14177679	   -2.49098534	0.07983723	 7.1690e-02	   1.87953611	0.12461548	 0.99906130	0	 17.733230	  2.331739	            	            	  0.53668563	  0.52102135	  0.54791695
COIN-Gaia_13        	 189776123571026176	0	1	 0.694373691541635862	86.12251324	+37.9807934	   -3.47399855	0.06562020	   -2.05722854	0.03550433	 7.3413e-02	   1.91560629	0.05459698	 1.14557910	0	 16.240278	  2.078856	            	            	  0.68111405	  0.66999899	  0.69515508
COIN-Gaia_13        	 189846183076761344	0	1	 0.563118201339827040	85.77947933	+38.3275900	   -3.68564251	0.02367235	   -1.84372747	0.01305056	-3.0009e-02	   2.03406280	0.02130465	 1.05932570	0	 10.017613	  0.302883	  -16.549420	    3.648227	  2.26335359	  2.13823185	  2.35440755
COIN-Gaia_13        	 189868276389066752	0	1	 0.718515196196768180	86.58240951	+38.2523212	   -3.52993100	0.01942567	   -1.97958664	0.01216638	 5.4430e-03	   1.90866199	0.02065375	 1.03023730	0	 13.662222	  0.987510	  -13.358368	    4.597739	  1.03933758	  1.01140737	  1.05607776
COIN-Gaia_13        	 189873258551169792	0	0	 0.477009453154146446	86.37716047	+38.2097058	   -3.25788545	0.05761587	   -1.92073243	0.03896169	 1.6588e-03	   1.82974061	0.06274334	 0.93698750	0	 16.181421	  1.710490	            	            	  0.68692834	  0.67577370	  0.70093632
COIN-Gaia_13        	 189885692478700672	0	1	 0.611280968427644900	86.40020258	+38.4203816	   -3.82272256	0.13940346	   -1.89418746	0.09573309	-4.4262e-02	   1.99236466	0.15403062	 0.96878730	0	 17.807554	  2.332575	            	            	  0.52972411	  0.51066221	  0.53659589
COIN-Gaia_13        	 189900059146973312	0	1	 0.615046127774380724	86.97004326	+38.5682521	   -3.52166397	0.02835767	   -2.07319706	0.01731717	-8.6621e-02	   1.87974763	0.02465626	 0.94455230	0	 14.632835	  1.395326	  -15.276940	    4.336666	  0.87443493	  0.85377594	  0.89213276
COIN-Gaia_13        	 189901261737799680	0	1	 0.692637831052715036	87.10689010	+38.6338736	   -3.47519962	0.03883367	   -1.93062190	0.02369193	-2.1044e-01	   1.89364731	0.03463614	 0.95624140	0	 15.589829	  1.488616	            	            	  0.74392632	  0.73138511	  0.75806085
COIN-Gaia_13        	 189963246705426560	0	1	 0.695681058706554833	86.60114943	+38.8532054	   -3.57530089	0.01814472	   -2.04981704	0.01071410	-1.9706e-01	   1.89031906	0.01556186	 0.96805996	0	 13.595147	  0.976634	   -6.166687	    3.195561	  1.05247289	  1.02345589	  1.06903501
COIN-Gaia_13        	 189963517284411904	0	1	 0.699858039670267384	86.58282516	+38.8709612	   -3.52864792	0.07200187	   -1.96660027	0.04049431	-2.4690e-01	   1.94745022	0.05428839	 1.03475520	0	 16.592297	  2.045739	            	            	  0.64732486	  0.63504368	  0.66077195
COIN-Gaia_13        	 189966613959825920	0	0	 0.478165337607835694	86.42285632	+38.9115373	   -3.21937625	0.05439753	   -2.33850677	0.03164709	-1.5167e-01	   2.03976949	0.04474478	 1.10104190	0	 16.097567	  2.040157	            	            	  0.69460445	  0.68218069	  0.70699786
COIN-Gaia_13        	 189991937086684160	0	1	 0.620351832327923014	86.47481975	+39.2505423	   -3.77743499	0.01798272	   -2.01619085	0.01179923	-7.9506e-02	   2.00109607	0.01853558	 1.05372570	0	 13.430269	  0.966132	   -6.073836	    8.147707	  1.08417283	  1.05616562	  1.10192436
