#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:43	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=CWNU_3	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
CWNU_3              	 514997438142070144	0	1	 0.747988330113632527	32.92429875	+64.0276142	   -2.51116142	0.02239829	   -1.30922735	0.02730568	-4.4944e-01	   1.30160534	0.03158254	 0.98054785	0	 15.809010	  1.452203	            	            	  1.01923710	  0.98455234	  1.04422562
CWNU_3              	 514998464628461568	0	1	 0.717783637299451494	32.72549737	+63.9724512	   -2.33252587	0.13705249	   -1.31684510	0.17028779	-4.8273e-01	   1.31638285	0.19493750	 1.00635710	0	 19.040724	  2.658863	            	            	  0.58910754	  0.57187374	  0.61359707
CWNU_3              	 515004271425330304	1	1	 0.717377509564384508	33.20520020	+64.1516451	   -1.97815426	0.35334240	   -1.00850743	0.41944182	-5.0844e-01	   1.20658289	0.50608590	 0.93002400	0	 20.205147	  1.905863	            	            	  0.46001076	  0.43896615	  0.47816052
CWNU_3              	 515008467617977216	1	1	 1.000000000000000000	32.85670969	+64.2275965	   -2.41148895	0.01373242	   -1.03433772	0.01684255	-4.3597e-01	   1.29572943	0.02013884	 0.92505260	0	 14.746116	  1.294574	  -13.972231	    7.347183	  1.25217422	  1.20087505	  1.27889713
CWNU_3              	 515009326611422848	1	1	 1.000000000000000000	33.03601072	+64.2369670	   -2.43458587	0.01974087	   -1.07341553	0.02507226	-4.1829e-01	   1.27428783	0.03101769	 1.02993730	0	 15.645120	  1.423931	            	            	  1.05432623	  1.01511211	  1.07661129
CWNU_3              	 515016881450873216	1	1	 0.793425983111422206	32.26074805	+64.1862012	   -2.31994543	0.06839581	   -1.30110680	0.09042551	-4.7991e-01	   1.19511923	0.10450628	 0.98210305	0	 17.859518	  2.370604	            	            	  0.71031594	  0.68570702	  0.72495585
CWNU_3              	 515022005346149760	1	1	 0.803130240593253331	32.70087186	+64.3309209	   -2.17332149	0.41262642	   -1.16466998	0.49275297	-4.6726e-01	   1.14481269	0.52933350	 1.05354900	0	 20.275600	  1.709965	            	            	  0.45095692	  0.42940822	  0.46875727
CWNU_3              	 515023551542771968	1	1	 1.000000000000000000	32.78933727	+64.3929220	   -2.54545157	0.03193168	   -1.10381516	0.03800799	-4.2788e-01	   1.30020437	0.04633485	 1.00140870	0	 16.579947	  1.634362	            	            	  0.88434094	  0.85757785	  0.91007642
CWNU_3              	 515023787756800256	1	1	 1.000000000000000000	32.79449375	+64.4094654	   -2.49602729	0.11581094	   -1.06894936	0.13301414	-3.8197e-01	   1.18746999	0.16066890	 0.99850310	0	 18.840640	  2.466831	            	            	  0.61064676	  0.59335795	  0.63929754
CWNU_3              	 515025196509855232	1	1	 0.979467681433073833	32.64560331	+64.3892563	   -2.44617977	0.30884448	   -1.38133156	0.38217060	-3.9540e-01	   1.30004570	0.45824254	 1.06253910	0	 20.149216	  2.492273	            	            	  0.46710650	  0.44768858	  0.48655360
CWNU_3              	 515025711904498560	1	1	 1.000000000000000000	32.52918856	+64.3848745	   -2.15234863	0.25993493	   -1.13288194	0.33485398	-5.0839e-01	   1.27139345	0.38135087	 1.01006320	0	 19.944930	  2.100323	            	            	  0.49184059	  0.48250833	  0.51907676
CWNU_3              	 515026712638690560	1	1	 1.000000000000000000	32.66220479	+64.4144439	   -2.44424545	0.01813443	   -1.11451979	0.02237367	-4.3264e-01	   1.27290254	0.02776774	 1.00007300	0	 15.494598	  1.365480	            	            	  1.08686386	  1.04464302	  1.10936465
CWNU_3              	 515073888561597440	1	1	 1.000000000000000000	32.38004754	+64.5182856	   -2.54315226	0.00845394	   -1.14831226	0.01012445	-4.2857e-01	   1.31398569	0.01218978	 0.94624690	0	 12.841331	  0.818908	            	            	  1.92726373	  1.79602783	  1.98653559
CWNU_3              	 515074163439543424	1	1	 1.000000000000000000	32.28926167	+64.4866038	   -2.53658925	0.00914954	   -1.05253639	0.01111322	-4.2436e-01	   1.26000152	0.01238838	 0.94592340	0	  9.427340	  0.579270	  -26.630690	    1.004314	  5.01527821	  4.24138286	  5.49758203
