#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:56 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:56	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Casado-Alessi_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Casado-Alessi_1     	 390559419387252096	0	1	 0.829827529106870410	11.23585299	+48.5894923	    6.81691602	0.03881168	   -6.43579073	0.02998604	-3.9023e-01	   1.41851685	0.04715610	 0.97466890	0	 15.766997	  1.329115	            	            	  0.80994336	  0.79301638	  0.82217929
Casado-Alessi_1     	 390593779125488896	0	1	 0.796341190263360144	11.36893756	+48.9588629	    6.99678500	0.02567407	   -5.91479096	0.02136040	-3.7340e-01	   1.30553273	0.03181139	 1.02212510	0	 15.413116	  1.225781	            	            	  0.85802332	  0.83958808	  0.87115720
Casado-Alessi_1     	 390637308616365568	0	0	 0.791021951060663087	10.17934648	+48.8987608	    6.55980049	0.23608764	   -6.60423267	0.17054768	-5.7527e-01	   1.36876602	0.27039614	 1.01122220	0	 19.151543	  2.404133	            	            	  0.47290801	  0.46116250	  0.47967615
Casado-Alessi_1     	 390653388974165888	0	1	 0.807876028186170325	10.52709365	+49.0100227	    5.91395961	0.13250117	   -6.15439575	0.11447091	-4.4239e-01	   1.37568698	0.18036628	 1.01002850	0	 18.667747	  2.290730	            	            	  0.52093548	  0.51032567	  0.52589556
Casado-Alessi_1     	 390663460675676416	0	1	 0.898054209694278405	10.62396634	+49.2844396	    6.47740213	0.01536541	   -6.01145074	0.01201411	-5.7753e-01	   1.38192203	0.01826142	 1.22412230	0	 13.201997	  0.743992	   -4.587181	    2.248997	  1.25898026	  1.22129780	  1.28639557
Casado-Alessi_1     	 401890780063562112	0	0	 0.831854555166062326	16.87637405	+48.9398045	    6.96939396	0.03381202	   -7.08313922	0.02756557	-1.7262e-01	   1.49146816	0.04362636	 1.08413390	0	 15.746056	  1.400352	            	            	  0.81279251	  0.79570313	  0.82517315
Casado-Alessi_1     	 401899026400545280	0	0	 0.916889712824185410	16.43928110	+48.9015013	    6.71473944	0.02803979	   -7.02087049	0.02405753	-2.4375e-01	   1.42562868	0.03751801	 1.04091170	0	 15.273153	  1.206267	            	            	  0.87804127	  0.85860922	  0.89214997
Casado-Alessi_1     	 401903935547236992	0	0	 0.787911622991656180	16.69883587	+49.0273935	    6.57819111	0.04066910	   -6.92880480	0.03381555	-2.0272e-01	   1.51969348	0.04932895	 0.99651545	0	 16.158037	  1.482784	            	            	  0.76015678	  0.74578624	  0.77078468
Casado-Alessi_1     	 402502452125956864	1	1	 1.000000000000000000	13.47209870	+49.4763245	    6.40626718	0.03354546	   -6.38249290	0.03031237	-2.0206e-01	   1.36273781	0.03703246	 1.03524890	0	 15.631744	  1.267890	            	            	  0.82833297	  0.81062411	  0.84089093
Casado-Alessi_1     	 402198471520035456	0	1	 0.878986285284086510	14.98025892	+48.3420407	    6.78975456	0.01455687	   -6.84711516	0.01257983	-1.8578e-01	   1.48195951	0.01852467	 0.91859630	0	 13.801755	  0.897804	   -1.491664	    5.799187	  1.13157078	  1.10382433	  1.15468441
Casado-Alessi_1     	 402226062389845632	0	1	 0.900459010185714281	14.81571145	+48.8107729	    6.12507983	0.06194683	   -6.66970194	0.04967378	-2.9535e-01	   1.47227471	0.06375759	 1.03953140	0	 16.842276	  1.784244	            	            	  0.69152332	  0.68046394	  0.69926303
Casado-Alessi_1     	 402290521260371840	0	1	 0.795839664021762982	13.94019643	+48.2282408	    7.39069822	0.35593945	   -6.80901034	0.40696272	 8.7611e-03	   1.48339574	0.40663780	 1.11154820	0	 19.292220	  1.690983	            	            	  0.45743303	  0.44630129	  0.46441289
Casado-Alessi_1     	 402315565211451008	0	1	 0.865552292704059090	13.34765607	+48.2990092	    7.10959989	0.03641579	   -6.99290210	0.03154792	-1.9697e-01	   1.49925811	0.04192487	 1.05210910	0	 15.799829	  1.391352	            	            	  0.80554735	  0.78864642	  0.81739520
Casado-Alessi_1     	 402320375574531840	0	1	 0.846145385374313719	12.97379799	+48.0885601	    6.80593888	0.12834704	   -6.74368910	0.10382874	-1.7770e-01	   1.49882496	0.14242095	 0.93954210	0	 18.124826	  2.244289	            	            	  0.57044738	  0.56031323	  0.57686770
