#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:21:57 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:21:57	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Chamaleon_I	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Chamaleon_I         	5200477316900382720	1	0	 0.499611030894674124	171.3123522	-77.4821859	  -21.57433787	0.15347192	   -1.87398131	0.14426236	 1.4606e-02	   4.98183053	0.12809440	10.23768800	0	 14.048351	  2.748472	   14.796678	    2.387758	  0.92814340	  0.83501608	  1.07148878
Chamaleon_I         	5200485425799380480	1	1	 0.817778946145025665	169.4910688	-77.4775399	  -23.02413098	0.02111422	    0.48337730	0.02283953	 1.5382e-01	   5.45790782	0.01913019	 1.10989740	0	 14.700424	  3.036978	   17.579290	    4.639600	  0.73953847	  0.68548372	  0.83856149
Chamaleon_I         	5201001852664912512	1	1	 0.904866289059601758	163.7897490	-77.5150544	  -21.97891407	0.04995391	    0.83036792	0.04964751	 8.8544e-02	   5.19665938	0.03932854	 1.46258950	0	 15.520164	  3.548266	            	            	  0.62100788	  0.56333728	  0.72870033
Chamaleon_I         	5201119878364524928	1	1	 0.989511455845254684	166.9091317	-77.7879813	  -23.36839163	0.05246584	    0.61386455	0.05164012	 4.4701e-02	   5.24340214	0.04517841	 1.12066920	0	 16.072350	  3.831202	            	            	  0.49543388	  0.38527950	  0.56910968
Chamaleon_I         	5201120634278654208	1	1	 0.699431964961901631	166.7972476	-77.7775977	  -22.96818352	0.03719334	   -0.46119338	0.03537734	 1.1545e-01	   5.22147222	0.03065241	 1.52799530	0	 14.852271	  3.345833	    6.261267	    4.485843	  0.72693896	  0.67918013	  0.82249561
Chamaleon_I         	5201123791079258368	1	1	 0.667526351918367733	167.8433270	-77.7619064	  -21.95782173	0.63638580	    0.13209136	0.65561610	-1.0157e-02	   5.42165296	0.48024570	 1.07498870	0	 20.216211	  3.051594	            	            	  0.09294622	  0.09000000	  0.09298558
Chamaleon_I         	5201125062389375872	1	1	 0.816147720311746649	167.4685276	-77.6763785	  -22.58900757	0.30183560	    0.31070097	0.30669814	-1.2282e-01	   5.10972303	0.23645984	 1.01017420	0	 19.460360	  2.860878	            	            	  0.11039340	  0.09000000	  0.12500172
Chamaleon_I         	5201125272843631616	1	1	 0.874124909988894028	167.4379585	-77.6759317	  -22.93956236	0.07225816	   -0.42542311	0.07135242	-7.9944e-02	   5.17131140	0.05830727	 0.95333830	0	 16.738756	  4.435481	            	            	  0.38168383	  0.29153997	  0.42844441
Chamaleon_I         	5201126063117435136	1	1	 1.000000000000000000	167.0682574	-77.7436639	  -22.51003209	0.02549422	    0.58532133	0.02517062	 4.2831e-02	   5.27153695	0.02297649	 1.21429790	0	 14.639796	  3.188791	   20.375210	    4.710119	  0.74595373	  0.69809090	  0.85596990
Chamaleon_I         	5201126063117435520	1	1	 0.619447716769740198	167.0705521	-77.7366236	  -23.22439897	0.06056371	    1.33144254	0.05944539	-5.2007e-02	   5.14332545	0.05157386	 1.13577540	0	 15.850704	  4.153577	            	            	  0.54618639	  0.42277531	  0.62761482
Chamaleon_I         	5201126441074447872	1	1	 0.659239929146173465	166.9915890	-77.7114890	  -22.71109683	0.03906264	   -0.50809922	0.03414965	 9.3088e-02	   5.33285162	0.03252462	 1.06119480	0	 15.822407	  3.073379	            	            	  0.55348739	  0.43334010	  0.63855211
Chamaleon_I         	5201126677297054336	1	1	 0.833268577975897706	166.8512591	-77.7302343	  -22.88228778	0.17216152	   -0.43815217	0.17939580	-1.5249e-01	   5.19127777	0.14745440	 1.08540030	0	 18.339727	  4.280111	            	            	  0.18178135	  0.13076776	  0.20849213
Chamaleon_I         	5201126990830255872	1	1	 0.831344391760951318	166.6577001	-77.7191941	  -23.28067410	0.10264237	    0.93506496	0.09390683	 3.2943e-02	   5.12349836	0.08624411	 1.10454440	0	 17.445587	  4.857366	            	            	  0.27853079	  0.22532162	  0.33274564
Chamaleon_I         	5201127334427643008	1	1	 0.834766306853627738	166.7383251	-77.7029486	  -22.64050120	0.03201678	    1.53164563	0.02910031	-4.8316e-02	   5.26347898	0.02684931	 1.08535800	0	 15.120949	  3.477400	   13.454583	    3.328970	  0.70338796	  0.61614423	  0.74652374
