#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:09 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:09	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=DBSB_19	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
DBSB_19             	5528273580318710016	1	1	 0.986283840696180691	129.0308703	-40.6904072	   -6.16571468	0.18699500	    3.20638804	0.21344647	 1.1453e-01	   0.91194370	0.18123008	 0.94723684	0	 18.884197	  3.377174	            	            	  0.70691100	  0.65612646	  0.74108144
DBSB_19             	5528273756415795840	1	1	 0.985071324165238349	129.0316186	-40.6615307	   -5.65909223	0.04890263	    3.20487384	0.04755728	 1.6817e-01	   1.09902710	0.04275023	 1.03290300	0	 16.662691	  2.405471	            	            	  1.41673831	  1.31515183	  1.49514841
DBSB_19             	5528273756415801472	1	1	 0.986583726411615847	129.0283703	-40.6742227	   -5.88280679	0.04801080	    3.23552732	0.04987460	 1.7518e-01	   1.13175907	0.04425881	 1.59532310	0	 15.901907	  2.453615	            	            	  1.67385119	  1.61016645	  1.85306201
DBSB_19             	5528273996933957632	1	1	 0.979638137311606871	129.0434513	-40.6468790	   -5.83579028	0.08329598	    3.20712792	0.08823849	 1.0870e-01	   1.01480431	0.07644344	 0.99850810	0	 17.716114	  2.588089	            	            	  1.02763186	  0.93003737	  1.09575545
DBSB_19             	5528274065653433984	1	1	 0.983527747241353723	129.0247505	-40.6251029	   -5.76654373	0.04131406	    3.16239596	0.03824855	 1.8094e-01	   1.05558166	0.03605130	 1.09479310	0	 16.221533	  2.267136	            	            	  1.57779901	  1.52341301	  1.74232499
DBSB_19             	5528274065653434624	1	1	 0.984322066434848875	129.0223027	-40.6253975	   -5.85379583	0.12034033	    3.25621063	0.16861275	 4.5279e-02	   1.05348070	0.13450803	 1.04485140	0	 18.707418	  2.508207	            	            	  0.72133085	  0.69449314	  0.76280957
DBSB_19             	5528280490924484864	1	0	 0.103944977474329014	129.2582300	-40.7657278	   -5.61000441	0.06473302	    3.34196980	0.07028887	 4.2203e-02	   1.15013983	0.06870283	 0.97375935	0	 17.189667	  2.592403	            	            	  1.21125269	  1.13978925	  1.28124547
DBSB_19             	5528293680765671424	1	1	 0.706533549907227942	129.1697554	-40.6736993	   -5.82087751	0.16292666	    3.41137797	0.19701107	 6.6340e-02	   1.13333788	0.17016992	 0.94710480	0	 18.813963	  3.100775	            	            	  0.71350455	  0.67413670	  0.74767562
DBSB_19             	5528295879789015808	1	0	 0.064195686071545702	129.2505471	-40.5642952	   -5.62367288	0.08268066	    3.11570816	0.08283119	 7.6681e-02	   1.12764371	0.08035995	 1.04168980	0	 17.532646	  3.433041	            	            	  1.08915881	  1.00097389	  1.15481810
DBSB_19             	5528297224117086464	1	1	 0.960025357131231383	129.0737441	-40.6408422	   -5.83290613	0.05593101	    3.03357339	0.05723087	 1.1043e-01	   1.08776927	0.04925710	 1.83932640	0	 15.864861	  2.220239	            	            	  1.68478054	  1.62560103	  1.86506097
DBSB_19             	5528297498994994176	1	1	 0.968638231753024881	129.0581202	-40.6283929	   -5.92410811	0.01354575	    3.46962728	0.01397681	 1.5123e-01	   1.06158494	0.01195736	 0.99573330	0	 13.861578	  1.645021	  -10.528124	    3.532453	  2.26870569	  2.01958738	  2.49770267
DBSB_19             	5528297533354735104	1	1	 0.978683299917996297	129.0333691	-40.6152337	   -5.84374775	0.05167567	    3.43638935	0.05150784	 1.6321e-01	   1.03948968	0.04738617	 0.98473230	0	 16.823780	  2.249944	            	            	  1.34414650	  1.28874474	  1.46309554
DBSB_19             	5528297739513143296	1	1	 0.869895659268744681	129.1127852	-40.6027290	   -5.63590559	0.09085974	    3.30802567	0.08679126	 1.7525e-01	   1.12901874	0.08006050	 0.99172300	0	 17.748910	  2.811737	            	            	  1.01454975	  0.91643334	  1.08868647
DBSB_19             	5528298564146844800	1	1	 0.512451310935622573	129.1752951	-40.5895976	   -5.68427605	0.03894179	    3.34247604	0.03851130	 6.5435e-02	   1.04254738	0.03748338	 1.09388070	0	 16.124060	  2.219647	            	            	  1.60652813	  1.53983990	  1.77130409
DBSB_19             	5528300110335028608	1	0	 0.011931615633887643	129.2406191	-40.4704119	   -5.74649042	0.06885759	    3.45111220	0.06951599	-6.0061e-03	   1.14539898	0.07028354	 1.04532540	0	 17.213950	  2.372686	            	            	  1.20205839	  1.13129364	  1.27199469
