#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:10	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Dolidze_8	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Dolidze_8           	2068453573992323840	0	1	 0.958015713237552857	305.8470914	+41.7379914	   -2.59982468	0.01105549	   -6.58781692	0.01131908	-5.6522e-02	   1.00725164	0.01030447	 0.95120054	0	 12.778966	  0.739139	            	            	  2.60474861	  2.43637457	  2.63067905
Dolidze_8           	2068475770383268608	1	1	 0.909762472161813718	306.1001521	+41.8475883	   -2.34783184	0.01279276	   -6.43221412	0.01404163	-2.6279e-02	   1.01110743	0.01223103	 1.01843560	0	 13.871620	  1.424876	            	            	  2.03192568	  1.98876285	  2.11478376
Dolidze_8           	2068488547908001792	1	1	 1.000000000000000000	306.1064792	+42.1272462	   -2.20752152	0.05939053	   -6.03604620	0.06237169	 7.6604e-02	   1.09507752	0.05877680	 1.03161370	0	 16.963995	  2.877281	            	            	  0.86340922	  0.79644182	  0.94251400
Dolidze_8           	2068488547913873920	1	1	 0.978658303542802921	306.1055140	+42.1272658	   -2.22409958	0.11730015	   -6.54882498	0.12232737	 4.2888e-02	   1.01541244	0.11822188	 0.98193380	0	 18.053381	  3.240498	            	            	  0.64865404	  0.62190000	  0.69921743
Dolidze_8           	2068488552206000512	1	1	 1.000000000000000000	306.1163188	+42.1257632	   -2.29083425	0.08076629	   -5.94467698	0.09100442	-2.7896e-02	   1.11261319	0.07421882	 0.93505860	0	 17.620705	  2.835058	            	            	  0.71788068	  0.70373185	  0.73696586
Dolidze_8           	2068488552206001408	1	1	 1.000000000000000000	306.1128790	+42.1246140	   -2.21979978	0.04763477	   -6.12349993	0.04790590	 2.1869e-02	   0.96564992	0.04464430	 1.76410420	0	 15.644006	  2.404498	            	            	  1.41977784	  1.35701805	  1.50168730
Dolidze_8           	2068489132023597568	1	1	 1.000000000000000000	306.1564857	+42.1922802	   -2.59156471	0.13557950	   -6.17588675	0.15794858	 7.1874e-02	   1.07302543	0.12957251	 1.07948980	0	 18.376265	  2.894884	            	            	  0.58572074	  0.55766815	  0.62561166
Dolidze_8           	2068499341163872896	0	1	 0.966262993834756556	305.6518450	+41.7045532	   -2.24035047	0.07092585	   -6.36528218	0.07577947	-9.7283e-03	   0.98329658	0.06640769	 0.98101050	0	 17.413593	  2.351314	            	            	  0.73642064	  0.70906691	  0.75584008
Dolidze_8           	2068499375523614848	0	1	 1.000000000000000000	305.6606999	+41.7277619	   -2.39309622	0.01589871	   -6.36526687	0.01889215	-2.9425e-02	   0.98330231	0.01408955	 1.26010230	0	 12.822291	  0.711074	            	            	  2.60474861	  2.43637457	  2.62438764
Dolidze_8           	2068501776407030144	0	1	 1.000000000000000000	305.7310816	+41.8459908	   -2.42866323	0.11646201	   -6.55155299	0.15793283	 7.0324e-02	   0.99112476	0.11823289	 1.03014790	0	 18.381264	  2.805012	            	            	  0.58572074	  0.55809602	  0.62395268
Dolidze_8           	2068504014089336320	0	1	 0.971569421557868296	305.5331555	+41.8393362	   -2.52713145	0.41846853	   -6.24749652	0.49347958	 4.7945e-02	   1.02134839	0.41359475	 1.07169970	0	 20.052168	  2.411827	            	            	  0.30252086	  0.28198310	  0.32173307
Dolidze_8           	2068505693417857152	0	1	 1.000000000000000000	305.7080830	+41.9455722	   -2.33893437	0.25958398	   -6.40107183	0.27699930	 1.1558e-01	   0.93631055	0.26164445	 1.06397030	0	 19.407671	  2.912371	            	            	  0.39692082	  0.37612311	  0.42757063
Dolidze_8           	2068505697715506944	0	1	 1.000000000000000000	305.7037112	+41.9381134	   -2.42706478	0.02178901	   -6.41945982	0.02622427	-3.4197e-02	   1.01725916	0.02196994	 2.44651100	0	 13.122950	  0.922025	            	            	  2.18299986	  1.99051275	  2.22262555
Dolidze_8           	2068526450997463936	1	1	 1.000000000000000000	305.8079407	+41.9649022	   -2.70490406	0.00939321	   -6.59474746	0.01056243	 1.7718e-02	   1.05696794	0.00877736	 0.89118916	0	 12.262919	  0.633688	   13.085262	    2.673246	  2.69797258	  2.55793372	  3.12180337
