#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:11 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:11	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=ESO_130-06	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
ESO_130-06          	6070952666830985984	1	1	 0.848656441080751223	180.8784825	-59.4847937	  -11.37929704	0.04684398	   -0.66035937	0.04766033	 3.1261e-01	   1.25260823	0.04943281	 1.02354320	0	 16.705236	  1.780598	            	            	  0.73349467	  0.72365878	  0.74455996
ESO_130-06          	6058986166386640896	1	1	 0.984992919956521273	182.6220254	-59.5314766	  -11.48481012	0.02405995	   -0.86757006	0.02682801	 4.0068e-01	   1.24939082	0.02586739	 1.11300800	0	 15.383011	  1.141682	            	            	  0.91498693	  0.89556985	  0.92970247
ESO_130-06          	6058996061987977216	0	0	 0.662702101266274490	183.4222015	-59.5909935	  -11.19781630	0.01875687	   -0.87803367	0.02108181	 1.5762e-01	   1.23863975	0.01955000	 1.03942620	0	 11.211091	  0.183137	  -33.882250	   18.785088	  2.17397366	  2.06041169	  2.24588441
ESO_130-06          	6059021728714067584	0	0	 0.659396360729504694	183.9120741	-59.2454926	  -11.16475051	0.07102246	   -1.16066832	0.07694844	 3.1560e-01	   1.19689216	0.07739878	 1.01594730	0	 17.473440	  1.831833	            	            	  0.65542336	  0.64500925	  0.66826626
ESO_130-06          	6070898790763894272	1	1	 0.861630978265493619	181.9892442	-59.7210488	  -11.22132473	0.10318528	   -0.83504269	0.11050932	 3.4749e-01	   1.25009984	0.10699133	 0.98179240	0	 18.197975	  2.046757	            	            	  0.58586111	  0.56770750	  0.59438266
ESO_130-06          	6070901573867594240	1	1	 0.662543813224860334	181.8062757	-59.6738929	  -10.37152261	0.24202107	   -0.45407872	0.23569886	 3.3034e-01	   0.97240605	0.24840403	 1.03933720	0	 19.312414	  1.744749	            	            	  0.47641494	  0.46738800	  0.48789657
ESO_130-06          	6070903051361211008	1	1	 1.000000000000000000	182.0290017	-59.6387978	  -11.26871139	0.04488089	   -0.69103870	0.04830420	 3.5640e-01	   1.23446979	0.04482191	 1.10891280	0	 16.424189	  1.466728	            	            	  0.76663263	  0.75069235	  0.77901293
ESO_130-06          	6070909304834101376	1	1	 0.748098600800591318	181.5533274	-59.6153934	  -10.91362962	0.09335244	   -0.65494403	0.08636863	 3.0157e-01	   1.19635482	0.09571689	 1.04968210	0	 17.792206	  2.154093	            	            	  0.62465311	  0.61698469	  0.64377904
ESO_130-06          	6070916726513327488	1	1	 0.662543813224860334	182.1102691	-59.4905720	  -10.90427035	0.24041776	   -0.31716311	0.25141466	 3.9779e-01	   0.95621679	0.23475910	 1.02303830	0	 19.223423	  2.285486	            	            	  0.48614571	  0.47545477	  0.49745108
ESO_130-06          	6070917894744560384	1	1	 0.686923248715047841	182.1527969	-59.4444669	  -11.40639319	0.26546330	   -0.93760386	0.23970250	 4.3565e-01	   1.39887541	0.25599703	 1.03871500	0	 19.216131	  2.678034	            	            	  0.48686660	  0.47632643	  0.49859709
ESO_130-06          	6070918783794379520	1	1	 1.000000000000000000	181.7725168	-59.4978512	  -11.27687948	0.09407551	   -0.69659262	0.09442294	 2.3427e-01	   1.25509708	0.09425820	 1.00981180	0	 17.947569	  2.262680	            	            	  0.60959534	  0.59659149	  0.62306112
ESO_130-06          	6070919028616476288	1	1	 0.724691708778475885	181.8478730	-59.4944442	  -11.14938294	0.45637090	   -0.57103973	0.49871927	 2.6363e-01	   1.11693401	0.46721550	 0.96595700	0	 20.208206	  2.088381	            	            	  0.37640419	  0.36770646	  0.39081258
ESO_130-06          	6070919063000201856	1	1	 1.000000000000000000	181.8973831	-59.4713284	  -11.41735197	0.02390495	   -0.74573450	0.02473134	 3.3849e-01	   1.25069132	0.02414131	 0.96644384	0	 15.214693	  1.105396	            	            	  0.94292009	  0.92196302	  0.95793913
ESO_130-06          	6070920265591046272	1	1	 0.957080037781369075	181.7715419	-59.4457238	  -11.26781529	0.09864589	   -0.70513128	0.09647193	 2.4547e-01	   1.31057021	0.10109571	 0.97227687	0	 17.988186	  2.412540	            	            	  0.60578429	  0.58973597	  0.61625131
