#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:20 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:20	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=FSR_1694	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
FSR_1694            	5873515562849889280	1	1	 0.926789954215345158	229.0729519	-63.0780661	   -3.46160228	0.04480053	   -4.35643355	0.04630171	 3.5146e-01	   1.14676622	0.04496481	 2.41542430	0	 10.801084	  1.053231	   17.425000	    2.420962	  8.70803705	  5.91607072	 42.64293775
FSR_1694            	5873519033179005184	1	1	 0.952430366995016930	228.9603373	-63.0015030	   -3.31833287	0.09291995	   -4.60807314	0.09363539	 3.0175e-01	   1.33454294	0.09649890	 1.01663970	0	 17.524702	  3.030697	            	            	  1.02121490	  0.92526743	  1.12860878
FSR_1694            	5873527966711287936	1	1	 0.915327670936436522	228.4370169	-63.0023495	   -3.59498724	0.03014544	   -4.62931620	0.03229439	 2.9918e-01	   1.29827975	0.03328246	 0.99095050	0	 15.746787	  2.492626	            	            	  1.67166330	  1.54761924	  1.85708525
FSR_1694            	5873531123482584064	1	1	 1.000000000000000000	228.5897390	-62.9476456	   -3.14724499	0.13552074	   -4.30077187	0.13688502	 2.4859e-01	   1.30893014	0.14489335	 1.00107920	0	 18.342438	  3.356737	            	            	  0.74116259	  0.69753811	  0.81990040
FSR_1694            	5873531329641357312	1	1	 1.000000000000000000	228.7260232	-62.9385546	   -3.58898011	0.17305791	   -4.13736671	0.17074604	 2.4991e-01	   1.34186090	0.18210681	 0.91080683	0	 18.738161	  3.636528	            	            	  0.70496296	  0.63515556	  0.74946510
FSR_1694            	5873531711922525568	1	1	 1.000000000000000000	228.6775902	-62.8952891	   -3.42827096	0.11801947	   -3.96226699	0.11732367	 1.3655e-01	   1.17254645	0.12626007	 1.08369230	0	 18.543000	  2.435011	            	            	  0.72390305	  0.64795459	  0.74978645
FSR_1694            	5873533773511313408	1	1	 0.905194813846592061	228.7869030	-62.8208297	   -3.73733721	0.16828080	   -4.17963608	0.16563138	 3.2046e-01	   1.41176328	0.18957539	 1.10135640	0	 18.436428	  3.811663	            	            	  0.73230719	  0.67445552	  0.78763272
FSR_1694            	5873536247407997952	1	1	 0.989004327587560073	228.6640673	-62.8573916	   -3.36321971	0.10984494	   -3.95767535	0.10701849	 3.1970e-01	   1.12567232	0.11638436	 1.01819800	0	 17.908783	  2.811260	            	            	  0.88428200	  0.77439471	  0.99152530
FSR_1694            	5873536311805208448	1	1	 0.989004327587560073	228.7315874	-62.8457662	   -2.90199854	0.20377366	   -3.89127030	0.20216382	 2.9013e-01	   1.17602464	0.21155930	 1.00322080	0	 18.928848	  3.735981	            	            	  0.66711569	  0.59912243	  0.73666418
FSR_1694            	5873536487926172672	1	1	 0.902422231858940771	228.6149216	-62.8300187	   -3.49365900	0.07219319	   -4.05431899	0.07199790	 2.3883e-01	   1.10095085	0.07850769	 0.95993220	0	 17.200605	  2.793657	            	            	  1.14792837	  1.00013671	  1.22969334
FSR_1694            	5873536556645648768	1	1	 1.000000000000000000	228.6753965	-62.8227639	   -3.44585514	0.14688058	   -3.88370174	0.12924363	 3.0524e-01	   1.30724620	0.14475860	 0.93983440	0	 18.168339	  3.303383	            	            	  0.78659169	  0.71550470	  0.87636886
FSR_1694            	5873536586681020544	1	1	 1.000000000000000000	228.6794475	-62.8181485	   -3.47970378	0.19841407	   -4.22034695	0.18680294	 2.6926e-01	   1.33739201	0.22080930	 1.06539770	0	 18.725044	  3.280899	            	            	  0.70533540	  0.63609471	  0.75295387
FSR_1694            	5873536797168291968	1	1	 1.000000000000000000	228.7398800	-62.8039550	   -3.73979327	0.09177326	   -4.21012475	0.08730861	 3.4580e-01	   1.24347770	0.09579688	 0.97320520	0	 17.553156	  2.871168	            	            	  1.00905758	  0.91269470	  1.11769625
FSR_1694            	5873536865883296384	1	1	 1.000000000000000000	228.7885481	-62.7852513	   -3.32864710	0.07198662	   -4.04393231	0.07235746	 3.8281e-01	   1.28698484	0.07675147	 0.94512340	0	 16.973644	  3.143745	            	            	  1.22690960	  1.16407920	  1.39346795
FSR_1694            	5873536900243035136	1	1	 0.938961782447131021	228.7654765	-62.7882292	   -3.34149084	0.13439266	   -4.06998004	0.13474670	 2.8972e-01	   1.09691865	0.15755399	 1.00135960	0	 18.288694	  3.225678	            	            	  0.74587529	  0.70449661	  0.83805098
