#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Gaia_8	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Gaia_8              	2040474507763715200	0	0	 0.711485529127294902	283.7407817	+28.7042917	    0.19141902	0.01308761	   -4.91511389	0.01510679	 2.1511e-02	   3.42973542	0.01348982	 1.01703760	0	 10.798972	  0.630538	  -17.035019	    0.654682	  1.45043712	  1.37825232	  1.50583908
Gaia_8              	2041349134904381440	0	0	 0.678025939760424690	282.0572138	+29.2831278	    0.00180915	0.01710783	   -5.11128012	0.01908788	 1.6284e-02	   3.43968917	0.01717857	 1.35241190	0	 14.018949	  1.604334	  -40.073784	    5.500741	  0.84411900	  0.80640685	  0.88862729
Gaia_8              	2041491143702959744	0	1	 0.711660979430938756	282.7007354	+30.0129822	    0.30425773	0.07411575	   -4.96782686	0.08100592	 3.8745e-02	   3.46681097	0.07991572	 0.98968980	0	 17.684393	  2.929319	            	            	  0.29008304	  0.24785433	  0.32314601
Gaia_8              	2041564914060299520	0	1	 0.680542058241616621	281.9535531	+29.7229267	    1.17966381	0.01335003	   -4.75223306	0.01390034	 4.1955e-02	   3.32773316	0.01320006	 0.92844790	0	  9.678740	  0.264453	  -18.933125	    1.402589	  1.82698135	  1.71388527	  1.86368488
Gaia_8              	2041589996670105728	0	1	 0.786623638956509108	282.4217335	+30.0829072	    1.20158755	0.02585979	   -4.60269649	0.02986778	 3.7929e-02	   3.25533820	0.02893644	 0.98465840	0	 15.731427	  2.567778	            	            	  0.64014513	  0.60184705	  0.68542208
Gaia_8              	2041738460796559744	0	1	 0.711485529127294902	282.7927177	+30.7370956	    0.30754485	0.13157307	   -4.70712014	0.16135101	-6.8142e-02	   3.44901840	0.13929588	 0.94904196	0	 18.526016	  2.692127	            	            	  0.20151615	  0.16730410	  0.21925345
Gaia_8              	2041763272830067712	0	1	 0.863736080112493032	282.4374753	+30.6976748	    1.59749546	0.01709101	   -4.67920686	0.02283777	 8.1513e-02	   3.32868575	0.01737819	 0.92958933	0	  8.913062	  0.042780	  -23.984810	    1.847372	  2.30073801	  2.13766114	  2.36152521
Gaia_8              	2041770071759539200	0	1	 0.780911855461666304	282.1678417	+30.6656887	    1.64572061	0.09106415	   -4.67233909	0.09907395	-7.6293e-02	   3.37309455	0.09396529	 0.99454050	0	 17.893816	  3.036919	            	            	  0.26542643	  0.23463645	  0.30483866
Gaia_8              	2041808730764217216	0	1	 0.702567410195473419	282.5097529	+31.0944461	    1.60523633	0.04094671	   -4.63902019	0.04662879	 1.3059e-01	   3.55857839	0.04251852	 1.01137660	0	 16.564882	  2.618460	            	            	  0.46214091	  0.43165522	  0.54115206
Gaia_8              	2041811307744718208	0	1	 0.725268653967077181	282.6907456	+31.1111771	    1.09497700	0.00961745	   -4.23977067	0.01162684	-7.6734e-02	   3.34180657	0.01088358	 0.96249420	0	 12.791812	  1.006035	  -17.114210	    4.624552	  1.05626704	  0.94341792	  1.10059954
Gaia_8              	2041907927328256640	0	1	 0.711660979430938756	283.5210982	+30.5776595	    0.51545886	0.07531030	   -4.74680067	0.08361273	 1.4347e-01	   3.38813059	0.08202860	 1.01934050	0	 17.642204	  2.725201	            	            	  0.29457444	  0.24235860	  0.31931040
Gaia_8              	2041950808282968064	0	1	 0.676813014701129312	283.8315939	+31.1561900	    0.50350069	0.01936790	   -4.61623341	0.02178424	-1.2559e-02	   3.41255679	0.02033589	 1.03483210	0	 14.824434	  1.683697	  -12.211159	    8.626346	  0.72952061	  0.71539123	  0.73956665
Gaia_8              	2042203141901052672	0	1	 0.943131776044018988	282.9485749	+31.5823545	    1.74725958	0.11030858	   -4.26519315	0.12217235	 6.3423e-02	   3.31962910	0.10964768	 1.04868260	0	 18.139030	  2.914341	            	            	  0.23906248	  0.19491270	  0.25858346
Gaia_8              	2043868283542254848	0	1	 0.705712839771765132	284.3711709	+32.7106690	    1.63166807	0.20174159	   -3.66000083	0.22620752	 5.4154e-02	   3.20210056	0.20271640	 1.04385320	0	 18.952057	  2.534016	            	            	  0.16733837	  0.14137674	  0.18181452
