#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Gulliver_22	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Gulliver_22         	3416927310406312704	0	1	 0.669403283287506201	81.76685182	+24.7842963	   -1.99803982	0.02759920	   -5.16141468	0.01860987	-8.6327e-02	   1.35049653	0.02458408	 1.06331860	0	 14.557439	  1.597662	  -22.310250	   12.049583	  1.25657950	  1.15209074	  1.33754579
Gulliver_22         	3416952908411382528	0	1	 0.642218177636417420	82.02986019	+24.9362864	   -1.30545270	0.06680630	   -5.16919836	0.05027252	-1.3389e-01	   1.34258594	0.05704169	 1.21632660	0	 16.299430	  2.022118	            	            	  0.87954151	  0.85370431	  0.95781589
Gulliver_22         	3416964483347084288	0	1	 0.746059143332776231	82.21690848	+25.1891172	   -1.47427797	0.04526151	   -5.04409626	0.02947426	-7.5797e-02	   1.24585687	0.03676590	 1.07369710	0	 15.561064	  1.750994	            	            	  1.05049019	  0.97490261	  1.09515662
Gulliver_22         	3416999324122166016	0	1	 0.837586831008186872	83.00161035	+25.2046455	   -1.82969142	0.14250733	   -4.92253208	0.10913911	-7.2847e-02	   1.35125362	0.14358999	 1.04192780	0	 17.803734	  2.422010	            	            	  0.65428993	  0.62422446	  0.72174876
Gulliver_22         	3417008910490646656	0	1	 0.707327032486860907	83.32495429	+25.2082516	   -1.97265639	0.02071224	   -4.99300293	0.01479480	-1.1911e-01	   1.34160591	0.01992904	 1.01020570	0	 13.819321	  1.224407	            	            	  1.38887625	  1.25717896	  1.47376911
Gulliver_22         	3417032829163099904	0	1	 0.850791872040745356	83.16529434	+25.4344802	   -1.68658799	0.05276848	   -5.02391616	0.03486427	-2.5178e-01	   1.39107722	0.04255826	 0.94789360	0	 15.839385	  1.903185	            	            	  0.98949232	  0.93803223	  1.04247672
Gulliver_22         	3417049077023363584	0	1	 0.850791872040745356	82.70726984	+25.2216910	   -1.96562537	0.15896086	   -4.64406802	0.11201695	-4.0087e-02	   1.39291080	0.14516300	 1.03169360	0	 17.785002	  2.410864	            	            	  0.65813154	  0.62810088	  0.72267034
Gulliver_22         	3417051108543989248	0	1	 0.654183071755249701	82.69781924	+25.3341575	   -2.01056189	0.11609735	   -5.16072767	0.06953701	-3.4659e-02	   1.47237705	0.10447839	 0.98344170	0	 16.969088	  2.248865	            	            	  0.73857709	  0.70261628	  0.75814910
Gulliver_22         	3417053548085480704	0	1	 0.639520156526209527	82.44701576	+25.1530071	   -1.95516994	0.05250955	   -4.94003749	0.03803701	 2.2328e-02	   1.17222736	0.04508544	 0.97158460	0	 15.662590	  1.724174	            	            	  1.02740159	  0.96334760	  1.07341418
Gulliver_22         	3417058044915136000	0	1	 0.761003918816604896	82.35783848	+25.2407374	   -1.91858311	0.10898229	   -4.66176046	0.07209727	-1.7439e-01	   1.37190045	0.08445474	 1.01987840	0	 17.068197	  2.004992	            	            	  0.73219412	  0.71241872	  0.75325652
Gulliver_22         	3417060420032942336	0	1	 0.850791872040745356	82.42156143	+25.3356086	   -1.84852457	0.07041028	   -4.78825214	0.04658601	-2.5482e-01	   1.36690530	0.05408208	 0.98392490	0	 16.231833	  1.906421	            	            	  0.89701794	  0.84759320	  0.95077383
Gulliver_22         	3417060759334807040	0	1	 0.850791872040745356	82.51781824	+25.3707436	   -2.03568076	0.14335483	   -5.02320196	0.10176049	 3.6323e-02	   1.32552260	0.11607340	 1.00261570	0	 17.604431	  2.520086	            	            	  0.69189622	  0.66616773	  0.73983020
Gulliver_22         	3417066119454219136	0	1	 0.850791872040745356	82.70997641	+25.4636755	   -1.81886949	0.04712622	   -5.04426611	0.03494696	 6.9389e-02	   1.39989041	0.04723639	 1.06346820	0	 15.589621	  1.955586	            	            	  1.04220580	  0.97230078	  1.08966477
Gulliver_22         	3417066123749632256	0	1	 0.850791872040745356	82.71292407	+25.4647347	   -1.69868126	0.02239964	   -5.12084252	0.01618612	-1.1733e-02	   1.33736807	0.02226475	 0.94434580	0	 13.932238	  1.403581	            	            	  1.36910397	  1.22564001	  1.44728495
