#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:43	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=HSC_2733	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
HSC_2733            	5899258767856851584	0	0	 0.772813486570710917	218.2820176	-50.3932997	  -25.21291164	0.12553325	  -20.48246706	0.12436959	-1.7775e-01	   7.18127444	0.13958173	 0.97568920	0	 17.521824	  3.721504	            	            	  0.14264882	  0.11375357	  0.16341342
HSC_2733            	5899550417624603520	0	0	 0.772813486570710917	217.7410640	-49.3558095	  -24.22129294	0.03717305	  -20.58157963	0.03362466	-4.1766e-02	   7.15022422	0.03259654	 1.07073150	0	 15.057546	  2.754197	   17.638763	    6.392416	  0.39585228	  0.31080080	  0.43000010
HSC_2733            	5899575083608067584	0	0	 0.772813486570710917	218.3338695	-49.6464462	  -24.66175594	0.04376443	  -20.75810639	0.03541306	 1.7408e-01	   7.26819327	0.03307348	 1.14971080	0	 14.934583	  2.769902	            	            	  0.41706234	  0.32828901	  0.45069576
HSC_2733            	5899586942024013056	0	0	 0.772813486570710917	218.6360161	-49.3368348	  -25.00433442	0.05061785	  -21.30877888	0.06276932	-1.6820e-01	   7.30474990	0.04743002	 2.49419950	0	 14.476249	  2.869303	   28.763779	    7.726260	  0.49631224	  0.39191129	  0.54044717
HSC_2733            	5903475296184926080	0	1	 0.777755232196924329	225.4949295	-47.9296745	  -22.80573020	0.02586782	  -22.63345111	0.01925855	 1.3661e-01	   7.30114478	0.02107547	 0.97568750	0	  9.961025	  0.854511	    7.487223	    0.530103	  1.39103376	  1.29701746	  1.58890990
HSC_2733            	5903588442799783424	0	1	 0.766693287896049402	226.2975284	-47.5760478	  -22.88039912	0.02506472	  -22.46911965	0.03267272	-2.7841e-01	   7.26388411	0.02394902	 1.01446200	0	  9.040780	  0.537670	    7.148872	    0.258433	  1.59635901	  1.46147937	  1.72889389
HSC_2733            	5903887853566144384	0	1	 0.824563780987262240	228.4662397	-46.5617538	  -20.52987065	0.12338646	  -21.37995645	0.08927184	-2.9683e-01	   6.73694100	0.10893184	 1.02168370	0	 17.246760	  3.676118	            	            	  0.15966483	  0.12393368	  0.17619762
HSC_2733            	5904046561189481856	0	1	 0.809061169246041101	227.3570423	-46.3986460	  -20.57489254	0.04216132	  -20.76081668	0.04822727	-2.1905e-01	   6.63807900	0.03889821	 0.97769576	0	 15.617562	  2.938929	   19.424393	    4.711875	  0.31365258	  0.25966838	  0.35186619
HSC_2733            	5904047214024539648	1	1	 0.814024363893485980	227.4487944	-46.3301274	  -22.12892517	0.02831080	  -21.81914960	0.01969073	 3.2256e-01	   7.00807319	0.01696761	 0.97479200	0	 13.436254	  2.074023	            	            	  0.70595811	  0.64790931	  0.73125786
HSC_2733            	5904579824330230656	0	0	 0.758314202251951230	220.5887093	-49.8741228	  -24.59860135	0.06617529	  -20.99879086	0.05953455	-6.1968e-02	   7.16091624	0.05861920	 0.99574600	0	 16.315615	  3.297361	            	            	  0.23370711	  0.18584127	  0.26133473
HSC_2733            	5904593087189190656	0	0	 0.760659263530648944	220.1332779	-49.7604629	  -23.56432758	0.07868956	  -20.06517718	0.06455960	 3.7774e-02	   7.05588310	0.06480145	 0.96647066	0	 16.593650	  3.089089	            	            	  0.20750688	  0.15932044	  0.22477402
HSC_2733            	5905183073946542208	0	0	 0.772813486570710917	222.7820121	-47.7427461	  -23.72527639	0.23147093	  -21.40042212	0.24815992	-2.2393e-01	   7.11326245	0.18861496	 0.89566420	0	 18.451555	  3.880928	            	            	  0.09827769	  0.09000000	  0.10550949
HSC_2733            	5905332367008171008	0	1	 0.858782762207054073	223.1850508	-47.0081279	  -23.60167787	0.01318692	  -22.23186210	0.01256434	-1.4755e-01	   7.31737421	0.01251948	 0.98210910	0	 12.057493	  1.505578	    5.932397	    1.134747	  0.91873760	  0.85350771	  0.96789512
HSC_2733            	5905372739702110592	0	0	 0.772813486570710917	220.0264786	-49.2045738	  -23.97886020	0.01560539	  -21.02182660	0.01618556	-6.1240e-02	   7.22158204	0.01423491	 1.06721540	0	 13.130500	  2.007068	    8.265447	    8.121269	  0.72486612	  0.70338540	  0.74983223
