#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:49	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=HXHWL_45	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
HXHWL_45            	2009624788465143552	1	1	 0.605096038969165195	350.3931040	+58.0469603	   -0.38985339	0.02929344	   -0.97490159	0.02849272	-1.6732e-01	   0.98827897	0.02881297	 1.02820360	0	 15.889550	  1.575080	            	            	  1.22888127	  1.20101374	  1.26399549
HXHWL_45            	2009644953331832448	1	1	 0.553323325965838553	350.6845752	+58.0858396	   -0.36594876	0.01007923	   -0.99335048	0.00987521	-1.8567e-01	   1.01826399	0.01045194	 0.98412120	0	 12.615795	  0.839085	   -7.570722	   17.252567	  2.98137642	  2.78056224	  3.13975896
HXHWL_45            	2009645228210220928	1	0	 0.493771789267300087	350.7929392	+58.1067898	   -0.33651445	0.09302700	   -1.10476536	0.08081984	-1.5558e-01	   1.00608540	0.08578899	 1.00115290	0	 17.786936	  2.002083	            	            	  0.84813333	  0.82125896	  0.87947719
HXHWL_45            	2009667600699111296	1	1	 0.516319695192434480	349.8924194	+57.9886802	   -0.46669436	0.02461852	   -0.93216730	0.02730933	-3.0033e-01	   0.99707296	0.02419682	 0.95401850	0	 15.518203	  1.543981	            	            	  1.32374761	  1.29214984	  1.36396698
HXHWL_45            	2009672853439915520	1	0	 0.497985702872900227	350.4551421	+58.1565604	   -0.44930545	0.13556826	   -0.84736933	0.11715416	-1.5778e-01	   1.07056528	0.12966277	 1.02522030	0	 18.454187	  2.361788	            	            	  0.75252737	  0.71622739	  0.76143155
HXHWL_45            	2009676465511587584	1	1	 0.897824684584364596	350.3561944	+58.1948689	   -0.36986427	0.02146118	   -0.86397864	0.01946844	-1.9064e-01	   0.97623785	0.02184881	 1.01906250	0	 15.210316	  1.515230	            	            	  1.41046580	  1.37551130	  1.45580502
HXHWL_45            	2009676534231459584	1	1	 0.503429276330626840	350.4284154	+58.2148612	   -0.52483173	0.08459359	   -1.01285822	0.07223590	-1.9184e-01	   0.91120794	0.08233941	 1.04979520	0	 17.726580	  2.014790	            	            	  0.85727587	  0.83400034	  0.89371224
HXHWL_45            	2009678355297546752	1	1	 1.000000000000000000	350.4314363	+58.3014955	   -0.37620518	0.01111429	   -0.89353539	0.00968920	-2.4958e-01	   1.00720452	0.01172584	 1.04324280	0	 12.685299	  0.908670	            	            	  2.91579398	  2.70367349	  3.05091813
HXHWL_45            	2009688113462852864	1	1	 0.688415303135916923	350.2433858	+58.2589735	   -0.17131713	0.07891549	   -0.86331352	0.06681187	-1.2760e-01	   0.95723224	0.07685159	 1.14675750	0	 17.419977	  1.946218	            	            	  0.91395039	  0.89262610	  0.94660071
HXHWL_45            	2009688384041140480	1	1	 0.834282699921562232	350.2210503	+58.2782800	   -0.28732853	0.01135227	   -1.01732367	0.00996429	-2.1658e-01	   0.98705239	0.01188188	 0.98473823	0	 13.254834	  1.217745	            	            	  2.41322106	  2.27447105	  2.54316740
HXHWL_45            	2009688384045456384	1	1	 0.703101118329746200	350.2215118	+58.2776696	   -0.36121784	0.01386660	   -0.73524581	0.01197553	-1.8626e-01	   0.96958768	0.01429968	 1.15500020	0	 13.781392	  1.118713	            	            	  2.02048377	  1.93780595	  2.13632434
HXHWL_45            	2009688766297858816	1	1	 0.898655874457720216	350.0827866	+58.2540451	   -0.47246888	0.02400624	   -0.84904802	0.02372733	-2.4936e-01	   0.98813002	0.02388573	 0.99113756	0	 15.176928	  1.500318	            	            	  1.42042056	  1.38501364	  1.46728478
HXHWL_45            	2009689041175769344	1	1	 0.600559612862670789	350.1981722	+58.2838836	   -0.29705264	0.02323661	   -1.06906244	0.02177929	-2.4884e-01	   1.04448173	0.02393466	 0.94121790	0	 15.134793	  1.542303	            	            	  1.43296668	  1.39710753	  1.48182580
HXHWL_45            	2009689071235907584	1	1	 0.581277601366333552	350.1833507	+58.2798969	   -0.23830656	0.03255911	   -1.12351989	0.02633255	-1.7641e-01	   0.98624015	0.03213476	 1.94981860	0	 12.777377	  1.131002	            	            	  2.82977795	  2.61771090	  2.93166277
