#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:51	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Haffner_13	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Haffner_13          	5593962876030117376	0	0	 0.350587526162636609	118.4774388	-33.2010521	   -7.44265539	0.07909959	    5.91160525	0.09048764	 7.9984e-03	   1.89444407	0.08216139	 0.96107580	0	 17.736307	  2.710152	            	            	  0.48498559	  0.39273444	  0.52202766
Haffner_13          	5594104266358981248	0	0	 0.342294415590198631	119.1926728	-33.8158874	   -7.37567859	0.01250987	    6.04476312	0.01508936	 7.4052e-02	   1.85989733	0.01291985	 0.99308310	0	 12.920580	  0.945228	    4.413920	    6.487489	  1.28618720	  1.19785303	  1.40608686
Haffner_13          	5594104296416060672	0	0	 0.332694064337245243	119.1950784	-33.8155035	   -7.39612942	0.18259868	    6.16179878	0.23574926	 1.3014e-02	   1.90070101	0.19342513	 1.04581180	0	 18.890322	  3.066973	            	            	  0.30144782	  0.24324958	  0.32510625
Haffner_13          	5594113406043298560	0	0	 0.338686465721999619	119.4014920	-33.6309102	   -7.41994655	0.24828094	    5.92950305	0.26353136	 5.4992e-02	   1.84677505	0.26727685	 1.04340930	0	 19.549725	  2.935928	            	            	  0.22722767	  0.19200672	  0.25757571
Haffner_13          	5594135976092425984	0	0	 0.357245562862662736	119.0609920	-33.3562286	   -7.53156169	0.26075897	    5.81563793	0.29487854	 1.8833e-01	   1.86085661	0.26790804	 1.03692690	0	 19.641262	  2.645533	            	            	  0.21840277	  0.18258787	  0.24515262
Haffner_13          	5594360963656503424	0	0	 0.338237669471782465	119.3866389	-32.8385220	   -7.16901745	0.13914856	    5.68163803	0.17699260	-3.6108e-02	   1.88777063	0.16619964	 1.00270860	0	 18.775090	  2.742159	            	            	  0.31568211	  0.25409268	  0.33948443
Haffner_13          	5594378693284030464	0	0	 0.350057350276847701	119.1688483	-32.6542597	   -7.21069393	0.09648994	    5.49143304	0.12679482	 1.4021e-02	   1.87328985	0.11363844	 0.95842224	0	 18.169582	  2.636301	            	            	  0.40874907	  0.32871779	  0.44372623
Haffner_13          	5594400133762563968	0	0	 0.357245562862662736	118.5065664	-32.7906586	   -7.12857536	0.22395837	    5.81985930	0.25189477	-5.0517e-02	   1.86957710	0.25452098	 1.01100240	0	 19.363436	  3.187903	            	            	  0.24674409	  0.20651291	  0.27635974
Haffner_13          	5594421475462645760	0	0	 0.333681149575518088	118.8797515	-32.7031488	   -7.02109314	0.04147430	    5.41359717	0.04203332	 5.1057e-02	   1.70801023	0.04111034	 1.02922940	0	 16.440784	  1.945970	            	            	  0.71287651	  0.69923907	  0.74068461
Haffner_13          	5594806373246565376	0	0	 0.344674398538751037	117.7989427	-32.5413571	   -6.94717256	0.04802060	    6.18167889	0.04878499	 1.0660e-01	   1.93428485	0.05044913	 0.96230567	0	 16.881493	  2.249215	            	            	  0.66673505	  0.61289342	  0.70822855
Haffner_13          	5595050602268394112	0	0	 0.335793383533296463	116.6697599	-32.2527686	   -6.35145992	0.05312958	    6.18556612	0.05425892	 1.1396e-02	   1.80269740	0.05409561	 1.09368120	0	 16.944717	  2.549654	            	            	  0.65603469	  0.59727568	  0.70494133
Haffner_13          	5595077673439473536	0	0	 0.363376080252446554	116.8120166	-32.0738919	   -6.48919746	0.16078830	    6.07873960	0.16493063	 5.9644e-03	   1.83210519	0.15517925	 0.98095710	0	 18.752728	  2.883026	            	            	  0.31853651	  0.25727232	  0.34307897
Haffner_13          	5595089119535715712	0	0	 0.355642015121166388	117.0772425	-31.7548740	   -6.29809858	0.01955512	    5.50132872	0.02454206	 1.0770e-01	   1.76006336	0.02185481	 1.46265470	0	 11.622299	  0.459203	   22.460352	    7.195482	  1.61784107	  1.54400325	  1.66437462
Haffner_13          	5595143747217907456	0	0	 0.384210141428706797	116.5394345	-31.7979180	   -6.68760580	0.11544258	    6.12692418	0.13066117	 2.1675e-02	   1.75040835	0.12799235	 0.97701836	0	 18.467745	  2.700731	            	            	  0.35686235	  0.29299506	  0.39100624
Haffner_13          	5595143854600531072	0	0	 0.357420482105006765	116.5601180	-31.7824603	   -6.42584603	0.05274284	    5.55304600	0.05663994	-8.8507e-03	   1.71780178	0.05502231	 1.01405260	0	 17.116747	  2.648632	            	            	  0.61799968	  0.55241245	  0.68054460
