#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:52	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Harvard_10	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Harvard_10          	5834343674475532672	0	0	 0.359761351947885999	237.2527733	-58.4518325	   -3.68691339	0.03354752	  -11.11104532	0.03124328	-1.1406e-01	   1.43514379	0.03066822	 0.96403414	0	 15.479123	  1.335066	            	            	  0.85718038	  0.83673741	  0.87028685
Harvard_10          	5834392568389599616	0	0	 0.362826034974015998	237.5114191	-57.7947011	   -3.63219813	0.01740649	  -10.80581723	0.01589318	-2.1738e-02	   1.43424057	0.01802509	 0.87871104	0	 13.793916	  0.879642	  -16.343470	    3.961802	  1.15925365	  1.13764627	  1.18113628
Harvard_10          	5835386247610115456	0	0	 0.463382604969619361	241.8754642	-57.0025195	   -2.80213111	0.02066413	  -10.99852706	0.01610312	-5.5909e-02	   1.46008462	0.01685145	 0.82255360	0	 10.562099	  0.309936	            	            	  2.45911303	  2.34041685	  2.55468250
Harvard_10          	5835507129570254976	0	0	 0.462958481637904318	243.0299805	-56.4419271	   -2.60473392	0.02442740	  -11.12890207	0.01987737	 4.7234e-02	   1.43266953	0.02176544	 0.86629176	0	 11.099566	  0.273496	  -18.319960	    3.356330	  2.07833258	  1.99741590	  2.15511143
Harvard_10          	5835511557576560512	0	0	 0.536396145951692493	242.8693611	-56.3402759	   -2.64570806	0.02111111	  -10.80543826	0.01620386	 2.1409e-01	   1.46226819	0.01759182	 0.89350045	0	 13.638598	  0.902421	  -10.593743	    4.223703	  1.19126918	  1.16870407	  1.21579788
Harvard_10          	5835517776694472448	0	0	 0.432163186379596664	243.0163277	-56.2948023	   -2.18699170	0.12165322	  -10.95996381	0.09786756	 1.9771e-01	   1.42100586	0.10380714	 1.07134460	0	 17.731985	  2.419312	            	            	  0.60649895	  0.58120850	  0.61531628
Harvard_10          	5835532276498757760	0	0	 0.449309951346926195	242.7396643	-56.1024408	   -2.30199337	0.20005876	  -10.96202838	0.16414854	-1.0167e-02	   1.41305687	0.17714432	 0.99134636	0	 18.814781	  2.605782	            	            	  0.49736515	  0.48883787	  0.50947269
Harvard_10          	5835538122058025984	0	0	 0.353921880840572245	242.6040274	-56.0030044	   -2.76511900	0.03319496	  -11.48883734	0.02645389	-2.6635e-04	   1.49970139	0.02891387	 1.04708930	0	 15.297316	  1.303383	            	            	  0.88468522	  0.86753266	  0.90219292
Harvard_10          	5835711329493716864	0	0	 0.389299777378355971	240.3984824	-57.6092920	   -2.99993627	0.02840354	  -11.19486024	0.02985065	-1.9986e-01	   1.48102730	0.02563591	 1.34121630	0	 14.275143	  1.198674	  -12.539414	    3.919213	  1.06124702	  1.04244642	  1.08273319
Harvard_10          	5835745414359170176	0	0	 0.392697048258937198	240.8984485	-57.1806354	   -2.95508992	0.02011852	  -11.09719356	0.01748422	 1.6610e-02	   1.47095861	0.01815707	 0.95028317	0	 13.586324	  0.950079	  -21.347826	    4.221590	  1.20272476	  1.17960852	  1.22684867
Harvard_10          	5835793311840295680	0	0	 0.357318722411526624	240.1534580	-57.1187641	   -3.17836988	0.06444123	  -10.56791595	0.06260762	-1.3797e-01	   1.38729184	0.06140223	 1.61462680	0	 15.959471	  1.374902	            	            	  0.78626412	  0.77178424	  0.80454110
Harvard_10          	5835805303390702976	0	0	 0.350044861458506440	240.0842943	-57.1035408	   -3.04783101	0.03959991	  -10.98346647	0.03561295	-7.6697e-02	   1.51921991	0.03461456	 1.15151760	0	 15.506036	  1.373156	            	            	  0.85323408	  0.83573889	  0.86944859
Harvard_10          	5835863302624764416	0	0	 0.348084425215760329	238.8784674	-57.5130197	   -3.16177034	0.18388200	  -10.54069457	0.17969503	-1.5023e-01	   1.37198004	0.18631308	 1.19405350	0	 18.351593	  2.248364	            	            	  0.54461311	  0.52934624	  0.55282126
Harvard_10          	5835882887678500864	0	0	 0.389998806172124513	238.8274076	-57.3373371	   -3.40096305	0.04590084	  -10.78290256	0.04142002	 5.0866e-02	   1.40924252	0.04477598	 0.98700273	0	 16.203234	  1.567508	            	            	  0.75276994	  0.73522021	  0.77009413
