#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:53 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:53	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Herschel_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Herschel_1          	3056723865176781824	0	0	 0.358824435584108370	117.3735161	-4.21522856	    0.48056086	0.01855087	   -3.92872917	0.01526543	-1.6961e-01	   2.99322648	0.01973729	 0.96686010	0	 14.391945	  1.332491	  -12.106921	    5.114121	  0.73468001	  0.73113308	  0.74623040
Herschel_1          	3080847287727856896	0	0	 0.364678604644011140	117.0671031	-3.39778107	    0.53707090	0.15667099	   -3.54900611	0.11843507	-2.3014e-01	   2.95472423	0.16890171	 1.02894330	0	 18.253054	  2.605072	            	            	  0.35151879	  0.33641978	  0.37354273
Herschel_1          	3080947167188742272	0	0	 0.384353441052344091	118.4516657	-2.91509005	   -0.16445043	0.28444576	   -3.43081947	0.22008835	-1.7127e-01	   3.01770855	0.30844393	 1.02652750	0	 19.081705	  3.175959	            	            	  0.26660175	  0.24592567	  0.28893268
Herschel_1          	3081604301484466688	0	0	 0.447392439850972046	116.9262527	-3.21792232	    0.10505336	0.11365319	   -4.25563762	0.08087560	-2.4257e-01	   3.27939054	0.10819800	 1.08106150	0	 17.802507	  2.587944	            	            	  0.39578417	  0.38540268	  0.41436939
Herschel_1          	3081676731812298752	0	0	 0.450333731118177594	116.2647503	-3.05812065	    0.49233056	0.03389303	   -4.38084529	0.02544465	-3.2656e-01	   3.27137473	0.03531678	 1.01276270	0	 15.505581	  1.896586	            	            	  0.62726529	  0.61941547	  0.63836354
Herschel_1          	3081703807282861696	0	0	 0.370486623575687846	116.8303006	-2.76010810	   -0.57112719	0.48007333	   -3.31481566	0.35187918	-2.1784e-01	   3.25758637	0.47295430	 1.01855340	0	 19.902338	  3.010872	            	            	  0.19888999	  0.17621924	  0.21902027
Herschel_1          	3081820252439317376	0	1	 0.520433640732283265	116.9494932	-2.37934049	    0.81376350	0.01638996	   -4.34258762	0.01285096	-2.9475e-01	   3.37558112	0.01711540	 0.96252230	0	 11.647701	  0.734451	  -10.206073	    1.139690	  1.17908949	  1.16288339	  1.18893751
Herschel_1          	3081935112747821568	0	0	 0.441838586235301922	116.4905374	-2.19912174	    0.39307409	0.19488627	   -3.27086841	0.15860057	-2.7838e-01	   3.02604358	0.22904561	 1.03615070	0	 18.899874	  2.921997	            	            	  0.28405952	  0.26486170	  0.30828463
Herschel_1          	3081935696861735040	0	1	 0.507225516678132649	116.2916875	-2.27989328	    0.97191845	0.28551355	   -3.77455972	0.27890298	-4.4748e-01	   3.25670906	0.30837470	 0.94548930	0	 19.058887	  2.835590	            	            	  0.26870775	  0.24784089	  0.29120797
Herschel_1          	3082022150262352128	0	1	 0.600250806007706750	116.9945917	-2.09593901	    0.39167996	0.02980035	   -4.22116461	0.02286086	-1.9174e-01	   3.26231300	0.02918540	 0.93484014	0	 15.215434	  1.727667	  -18.490417	   10.090420	  0.65525487	  0.65231420	  0.66943815
Herschel_1          	3082024138829120256	0	1	 0.643662277178621123	116.8792013	-2.10154410	    0.57852902	0.14430054	   -3.91092235	0.10407121	-1.8454e-01	   3.32169973	0.14797804	 0.97760826	0	 18.168750	  2.878328	            	            	  0.35967288	  0.34695349	  0.38211685
Herschel_1          	3082144294833847168	1	1	 0.779968488344474964	116.7388521	-1.36172572	    0.47201343	0.15932111	   -4.10383372	0.11980618	-2.7649e-01	   3.33988630	0.16647102	 0.96959436	0	 18.333555	  2.907947	            	            	  0.34304665	  0.32636488	  0.36578519
Herschel_1          	3082169484820454272	0	1	 0.535416427818999896	117.9613522	-2.16823522	    0.37296472	0.12593660	   -3.75804615	0.08773153	-2.0535e-01	   3.24450052	0.13077341	 1.06458620	0	 17.688578	  2.588880	            	            	  0.40795190	  0.39900237	  0.42632693
Herschel_1          	3082178349629742208	0	0	 0.412347901242165082	118.1661701	-1.99904386	   -0.15719421	0.22471330	   -3.95634837	0.17004743	 2.4256e-02	   3.13768843	0.22555707	 1.00485160	0	 18.770275	  2.458992	            	            	  0.29637453	  0.27827862	  0.32271711
