#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:22:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:22:55	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=IC_348	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
IC_348              	 168859220521154560	0	0	 0.569664390069989146	59.27724406	+32.3368110	    4.14431391	0.04627559	   -5.53395539	0.03543169	 2.1275e-01	   3.01524446	0.04152892	 1.09201160	0	 15.807371	  2.483583	            	            	  0.78969481	  0.70409601	  0.87026788
IC_348              	 170021949769207808	0	0	 0.560457749352426648	60.72252432	+31.6745049	    4.09862566	0.24514978	   -5.41201191	0.17166710	 9.3678e-02	   3.04804414	0.22516479	 1.09037410	0	 18.655329	  3.702879	            	            	  0.29023636	  0.23162521	  0.32852879
IC_348              	 170035006471102592	0	0	 0.559549261241046203	60.19198871	+31.8057834	    3.65832731	0.17465493	   -5.08812850	0.13465957	 9.4930e-02	   3.01374950	0.17005005	 0.99984260	0	 18.369580	  3.120773	            	            	  0.32622462	  0.26314316	  0.36933936
IC_348              	 170089432296746624	0	0	 0.557111580246042570	60.05799606	+32.0262752	    3.71525205	0.23758073	   -5.75154738	0.16030045	 1.0749e-01	   3.00967569	0.21367034	 1.10548630	0	 18.651337	  3.430939	            	            	  0.29028334	  0.23162521	  0.32852879
IC_348              	 170097511132561536	0	0	 0.569664390069989146	60.32948185	+32.1767925	    3.93471050	0.01890058	   -5.45528767	0.01243376	 3.5951e-03	   3.07286429	0.01712188	 1.12053530	0	 10.873142	  0.737663	   22.307331	    1.958469	  2.99552996	  2.05019011	 37.48211919
IC_348              	 170106169786672128	0	0	 0.569664390069989146	60.01501307	+32.1853801	    3.77666649	0.20402752	   -5.76594664	0.14954452	 1.8563e-01	   3.02553489	0.19081792	 1.03159520	0	 18.376510	  3.536203	            	            	  0.32622462	  0.26314316	  0.36856916
IC_348              	 170111701704949504	0	0	 0.569664390069989146	60.22317682	+32.3127391	    3.91444631	0.04067920	   -5.48155596	0.02815058	 8.7073e-02	   3.08917135	0.03960706	 0.99776380	0	 15.414077	  2.315241	   38.843450	    8.573536	  0.93213549	  0.72330527	  0.97514403
IC_348              	 170111839143444224	0	0	 0.569664390069989146	60.16559657	+32.3139614	    3.64499026	0.10316340	   -5.59751547	0.06535788	-7.9830e-02	   3.12751849	0.09132041	 0.99136627	0	 17.198923	  3.066732	            	            	  0.53869054	  0.42670384	  0.59662714
IC_348              	 170369502821287936	0	0	 0.568520571943053943	59.44855067	+32.6603478	    3.99964902	0.02932794	   -5.53503670	0.02032939	 1.6542e-01	   3.07415238	0.02642970	 1.00848230	0	 14.795740	  2.001231	   -9.044761	    7.558352	  1.13376481	  0.98794835	  1.23292086
IC_348              	 170389190951344384	0	0	 0.569664390069989146	59.39626791	+32.8152372	    3.74266173	0.08488736	   -5.53500983	0.05057164	-5.3378e-02	   3.08963328	0.07311595	 0.98192215	0	 16.785480	  3.104042	            	            	  0.63360136	  0.57168106	  0.72724738
IC_348              	 216297507964119936	1	1	 0.605056936123496314	56.02091931	+30.9789945	    4.39142183	0.08474857	   -6.63360610	0.05469870	 8.3990e-03	   3.19038875	0.07462336	 1.07636370	0	 16.243734	  2.879657	            	            	  0.72295326	  0.65396577	  0.76900690
IC_348              	 216418321101566464	1	1	 0.848197854858982581	56.52173951	+31.6477142	    4.50238571	0.06346532	   -5.91467158	0.04590371	 2.4160e-01	   3.12528519	0.05768887	 1.03377350	0	 16.168518	  3.090519	            	            	  0.72750959	  0.67833320	  0.79949444
IC_348              	 216524454036147072	1	1	 0.677027826976453806	55.88079401	+31.7011312	    4.75379775	0.44523156	   -7.34602237	0.38776710	 3.9412e-01	   3.04119000	0.40045565	 1.07645240	0	 19.433702	  3.983528	            	            	  0.19987715	  0.14967853	  0.22012503
IC_348              	 216570775259098752	1	1	 0.775459729465553749	55.72785438	+31.7291946	    4.48405063	0.03260909	   -6.02188855	0.02367237	 6.4714e-02	   3.19385937	0.02880670	 0.93846476	0	 14.260805	  2.333751	   21.041046	    6.430571	  1.31428228	  1.16216624	  1.41877671
IC_348              	 216572252727848320	1	1	 0.648538844577510876	55.73310408	+31.7461655	    4.99769943	0.13096741	   -6.93443931	0.10156003	 2.8259e-01	   3.05488098	0.11772347	 0.93762076	0	 16.961718	  3.693407	            	            	  0.59745768	  0.52789396	  0.71049889
