#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:05	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=King_6	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
King_6              	 448106964631645184	0	0	 0.344090839663265813	49.15517084	+57.3340324	    3.73369779	0.07335333	   -1.66626285	0.08742293	 1.4326e-01	   1.40020883	0.07627350	 0.96843390	0	 17.050772	  1.934223	            	            	  0.83501520	  0.81730380	  0.86064186
King_6              	 448244163067995136	1	0	 0.415312307987290630	52.92602449	+55.7303523	    4.17700264	0.04347394	   -1.89143099	0.05031434	 1.2506e-01	   1.38365540	0.04507127	 0.96176964	0	 16.312521	  1.647892	            	            	  0.95461378	  0.93005659	  0.98108852
King_6              	 448271131164700032	0	0	 0.336147695314907569	53.37190352	+55.4584391	    3.80284395	0.11248200	   -2.23540272	0.11651467	 1.6477e-01	   1.26226817	0.12611747	 1.11929180	0	 17.992437	  2.160809	            	            	  0.71194580	  0.69913299	  0.73349327
King_6              	 448326695155882112	1	0	 0.379419240863929530	53.32424330	+55.7690244	    4.11320741	0.72421450	   -2.31994770	0.70244980	 4.2006e-01	   1.39202784	0.70127255	 0.92366236	0	 20.377253	  1.795921	            	            	  0.45905849	  0.44513760	  0.47775717
King_6              	 448328859821599744	1	0	 0.412647792846995154	53.62724381	+55.7875225	    3.92330687	0.02122517	   -1.98449338	0.02021098	 1.7684e-01	   1.36533394	0.02256724	 1.06358730	0	 14.652658	  1.337061	  -13.431494	    5.499980	  1.30931058	  1.27326797	  1.34944904
King_6              	 448339992376591232	1	0	 0.326700971168046417	53.23172991	+55.8798719	    3.02860670	0.02433490	   -2.67302451	0.02728054	 3.1455e-01	   1.11450444	0.02338236	 1.00953390	0	 14.782136	  1.547420	  -53.536980	    4.550720	  1.27626649	  1.24048627	  1.31473598
King_6              	 448341091888211072	1	0	 0.331718528383475542	53.18386483	+55.9339105	    3.13616874	0.34009162	   -1.85732384	0.30315122	 2.2684e-01	   1.28251216	0.32950008	 1.02436280	0	 19.563082	  2.536610	            	            	  0.54567223	  0.53621143	  0.56451945
King_6              	 448344321703610624	1	0	 0.344920442537035410	53.13973507	+55.9724854	    4.31303248	0.03930382	   -1.75653293	0.04034691	 1.7295e-01	   1.38121118	0.03756957	 0.98138344	0	 15.979660	  1.626322	            	            	  1.01576585	  0.98895177	  1.04312976
King_6              	 448375378611094400	1	0	 0.346918050530944266	53.72794324	+56.2312417	    3.90485437	0.68044853	   -2.12955688	0.68177440	 2.0325e-01	   1.26561067	0.61628950	 0.97044630	0	 20.332848	  2.049530	            	            	  0.46448967	  0.45138680	  0.48295203
King_6              	 448377719369251712	1	0	 0.340438739123440248	53.51503637	+56.2607179	    3.40846519	0.08115918	   -2.99402787	0.07667843	 8.1594e-02	   1.11889483	0.08083717	 1.03186070	0	 17.277796	  2.051708	            	            	  0.80146618	  0.78496373	  0.82672931
King_6              	 448379501779054080	1	0	 0.341761674897683221	53.73160931	+56.3532201	    3.54037737	0.37063550	   -2.70999512	0.44037554	 1.1365e-01	   1.14031741	0.39891055	 1.04067100	0	 19.652979	  2.808071	            	            	  0.53583529	  0.52018112	  0.54902170
King_6              	 448406753349603072	1	0	 0.389263000022011973	52.03207634	+55.6176420	    3.78302119	0.03640632	   -1.68568084	0.03346897	 2.7031e-01	   1.33859010	0.03602495	 1.02597370	0	 15.564581	  1.509672	            	            	  1.09848632	  1.06848543	  1.12888764
King_6              	 448417469288624128	1	0	 0.351946563310348626	51.68077261	+55.5823222	    3.63336049	0.21222460	   -2.00622942	0.19944283	 1.7554e-01	   1.30745114	0.20387776	 1.04625540	0	 18.634218	  2.641239	            	            	  0.64120916	  0.62630995	  0.66200369
King_6              	 448432729311992832	1	0	 0.386269379924671308	52.26910299	+55.7683993	    4.25572193	0.02105581	   -2.26538378	0.02409700	 2.5165e-01	   1.34374008	0.02250810	 1.01399020	0	 14.570333	  1.406466	  -22.077173	   12.436532	  1.33135095	  1.29421183	  1.37290381
King_6              	 448436680681857664	1	0	 0.474748310389982608	52.74242033	+55.8769470	    3.66338069	0.08900338	   -1.99454993	0.08680736	 7.6866e-02	   1.32360883	0.08834056	 0.97889227	0	 17.418152	  1.908306	            	            	  0.78221239	  0.76457421	  0.80566780
