#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:07	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=LDN_988e	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
LDN_988e            	2166050241869536128	0	1	 0.546493990158457010	317.1748664	+49.9116015	    1.74726854	0.01299926	   -3.37857484	0.01382410	-1.9446e-01	   1.59058629	0.01176869	 0.95020103	0	 12.888788	  1.413941	  -30.264175	    1.667632	  2.73429598	  2.50431349	  2.99866000
LDN_988e            	2168619628745183744	0	1	 0.542776695312254476	314.8880408	+49.4374593	    1.48511729	0.28648663	   -4.11679671	0.29163280	 1.5652e-01	   1.60526887	0.23443303	 1.05237800	0	 19.295860	  3.727791	            	            	  0.48744270	  0.41138560	  0.56622896
LDN_988e            	2168658390823432320	1	1	 0.554476933931036364	315.7352337	+49.6091724	    1.01595491	0.46621647	   -3.04805571	0.44693023	 2.3503e-01	   1.76834463	0.39367142	 0.98896540	0	 20.215397	  2.377869	            	            	  0.32578799	  0.25813476	  0.35991545
LDN_988e            	2168671305788130560	1	1	 0.622095919993758573	316.4921198	+49.6750142	    1.85519666	0.08910452	   -3.26042985	0.08803190	 2.0309e-02	   1.60667030	0.07613394	 1.00358260	0	 17.788977	  2.670088	            	            	  0.76331821	  0.69787753	  0.83886706
LDN_988e            	2168686595876576512	1	1	 0.561353317527409246	316.3011206	+49.8349343	    1.61397997	0.24268751	   -2.75234927	0.26120582	 2.6710e-02	   1.48744776	0.21154115	 0.97499810	0	 19.391108	  3.024492	            	            	  0.46928760	  0.37508762	  0.51852209
LDN_988e            	2168691788497733120	1	1	 0.546258778822942714	316.1571752	+49.9451902	    1.16145152	0.02189903	   -2.82315198	0.01998864	-9.6960e-03	   1.61622910	0.01997808	 1.78276480	1	 13.751375	  1.988258	  -20.691330	    5.514382	  1.98799676	  1.89292706	  2.16597142
LDN_988e            	2168709548179698176	1	1	 0.706574897215975106	315.4950225	+49.7561315	    1.41095103	0.15335721	   -3.19286451	0.17666600	 2.2251e-02	   1.65976563	0.14806308	 0.95214210	0	 18.855688	  3.333298	            	            	  0.59417556	  0.53179884	  0.71024920
LDN_988e            	2168711850284256128	1	1	 0.710615480591864634	315.6215600	+49.8765579	    1.10319910	0.15998031	   -3.54291045	0.15629052	-5.3332e-02	   1.64116733	0.14673075	 1.01653530	0	 18.474497	  3.430292	            	            	  0.68015863	  0.61800890	  0.73997462
LDN_988e            	2168713190311082112	0	1	 0.571230633250834452	315.1876248	+49.6045072	    1.03369683	0.22595775	   -3.31336074	0.25729040	-1.3805e-01	   1.76529674	0.20377208	 1.13345000	0	 18.916489	  4.171509	            	            	  0.57802657	  0.47627063	  0.66226961
LDN_988e            	2168715668511677312	1	1	 0.588518545090824463	315.2740045	+49.7189806	    0.90751718	0.21772726	   -3.43537066	0.25182202	-1.9162e-01	   1.74167875	0.21335454	 1.13975390	0	 19.132700	  4.153046	            	            	  0.52346205	  0.41719065	  0.58686655
LDN_988e            	2168715767294060800	1	1	 0.564798950420297374	315.3128655	+49.7131803	    1.00206938	0.24497922	   -3.88136299	0.27279845	-1.9396e-01	   1.74712148	0.24321859	 1.10662580	0	 19.168629	  3.822403	            	            	  0.51492219	  0.41251254	  0.57635202
LDN_988e            	2168720204002251136	1	1	 0.696008388917026433	315.2291678	+49.8208640	    1.28242954	0.03201267	   -3.30079846	0.03463591	-1.6270e-01	   1.64477014	0.03158710	 1.20287440	0	 15.706072	  2.666357	            	            	  1.46865604	  1.37268412	  1.58263976
LDN_988e            	2168721539728556288	1	1	 0.688878614679311219	315.4360203	+49.7855953	    1.38271722	0.11400641	   -3.79891460	0.12678148	-9.4992e-03	   1.55362573	0.10503083	 0.98391040	0	 18.137651	  3.516981	            	            	  0.72224888	  0.64616603	  0.75821458
LDN_988e            	2168721612751699200	1	1	 0.951266146884668817	315.4392375	+49.8003349	    1.37642925	0.06875982	   -3.43281566	0.07697667	-5.9955e-02	   1.57946637	0.06448234	 0.99536010	0	 17.157420	  3.201403	            	            	  0.98667842	  0.91926726	  1.10713564
LDN_988e            	2168721883325899648	1	1	 0.826961728432140442	315.3483254	+49.7789535	    0.99436780	0.19943923	   -3.88933015	0.23259975	-4.0753e-02	   1.57896728	0.18986554	 1.04530170	0	 18.903978	  4.049105	            	            	  0.58086009	  0.52361968	  0.70712021
