#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:08	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=LISC_3534	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
LISC_3534           	 390591610163431040	0	1	 0.602304476726640337	11.30907971	+48.7872873	    7.33639741	0.05116379	   -2.95080708	0.04422827	-2.8271e-01	   2.19968742	0.06659963	 1.00694140	0	 16.795647	  2.038997	            	            	  0.60581647	  0.58824375	  0.62107916
LISC_3534           	 390653599429712256	0	1	 0.673201859693263516	10.48892207	+49.0324925	    7.47631556	0.01178897	   -2.95417302	0.00947669	-5.6165e-01	   2.22363150	0.01558973	 1.16589390	0	 13.080730	  0.914410	    2.765160	    3.778164	  1.10630574	  1.07285346	  1.12298958
LISC_3534           	 390656618789674368	0	0	 0.488641006161942781	10.44242893	+49.0558216	    6.92885156	0.26201570	   -3.20726502	0.20934620	-5.4921e-01	   2.04043194	0.31022370	 1.03295560	0	 19.566118	  2.662031	            	            	  0.31327222	  0.28869997	  0.34259170
LISC_3534           	 390950188394035968	0	1	 0.541445559505202789	 8.60960179	+48.6264821	    6.00558603	0.22951700	   -2.47137152	0.17911410	-4.3607e-01	   2.08793626	0.27332380	 0.98225594	0	 19.217258	  2.921173	            	            	  0.35298601	  0.33505161	  0.38258150
LISC_3534           	 391035641061904384	0	0	 0.482937219845600785	 7.38517248	+48.3501420	    6.73914506	0.30335936	   -2.13173214	0.22437662	-4.3038e-01	   2.06740002	0.29926717	 0.98998576	0	 19.501692	  2.858366	            	            	  0.32051441	  0.29940471	  0.35381349
LISC_3534           	 391131921344667648	0	1	 0.532570524766982745	 7.42455278	+48.5176871	    6.62246636	0.43789250	   -2.23850729	0.40261844	-2.8629e-01	   2.07959124	0.50227785	 1.02264460	0	 20.178380	  2.306372	            	            	  0.25255494	  0.22722736	  0.27761376
LISC_3534           	 391313581283048832	0	1	 0.513547466736153146	 9.31181375	+49.0566711	    6.27961626	0.61842835	   -2.39529656	0.54628770	-5.5956e-01	   2.07635664	0.64414847	 1.03440250	0	 20.210978	  2.499687	            	            	  0.24941413	  0.22402415	  0.27437678
LISC_3534           	 391333853530242816	0	0	 0.482671295474764728	 8.75026673	+48.8417610	    6.10869808	0.02518398	   -2.40668337	0.01927563	-4.8507e-01	   1.93003225	0.03344735	 1.27626000	0	 11.428055	  0.519054	   -8.912183	    5.735053	  1.51712961	  1.46297132	  1.54334361
LISC_3534           	 391342026848742912	0	1	 0.517914912595026422	 8.48885679	+48.9259342	    6.84234292	0.01271657	   -2.74154434	0.01126267	-5.2116e-01	   2.12122855	0.01797733	 1.07164000	0	 12.265343	  0.724978	   -8.060986	    2.169004	  1.28554891	  1.24071380	  1.30070469
LISC_3534           	 391358317663892992	0	1	 0.548898246955129676	 8.94613467	+49.0711385	    6.89225906	0.07009455	   -2.80951503	0.05464854	-4.2671e-01	   2.07952274	0.08134501	 1.04192250	0	 17.222162	  2.179007	            	            	  0.56211762	  0.54389266	  0.57445285
LISC_3534           	 391366907598675840	0	1	 0.653363906721642906	 9.04503424	+49.2570468	    7.44639631	0.01667585	   -2.83300886	0.01276706	-5.4692e-01	   2.18426772	0.01795895	 1.08356330	0	 13.918208	  1.034709	   -8.165844	    2.663966	  0.95128041	  0.92547560	  0.96713578
LISC_3534           	 391403741238153728	0	1	 0.686308677632846642	 9.79127429	+49.3545754	    7.16853795	0.05322315	   -2.90826890	0.04401286	-4.5692e-01	   2.11291030	0.07012065	 1.11589850	0	  4.815407	  1.826888	   -6.650415	    0.119320	  4.44625666	  3.23980069	  5.27720527
LISC_3534           	 391412051996419840	0	1	 0.655583785842146050	 9.34834580	+49.3141275	    7.11375147	0.33146320	   -2.72947280	0.26735607	-4.3200e-01	   2.15421894	0.34834442	 1.07003060	0	 19.685917	  2.631102	            	            	  0.30017615	  0.27602819	  0.32928372
LISC_3534           	 391416381323530752	0	1	 0.627239213132164242	 9.18078656	+49.3986088	    7.60764865	0.10685501	   -3.04884821	0.09379040	-5.0263e-01	   2.13672903	0.11020970	 0.98986420	0	 17.975275	  2.521759	            	            	  0.48495430	  0.47291265	  0.50116837
