#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:06	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=L_1641S	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
L_1641S             	3012315999275817856	1	0	 0.757707305547215437	85.63786606	-8.81717121	    0.17860623	0.10688325	   -0.54576653	0.08975752	-3.1518e-02	   2.31752479	0.10955466	 1.21138100	0	 17.301380	  4.173584	            	            	  0.71923902	  0.66721292	  0.81605387
L_1641S             	3012331358078862720	1	1	 0.792322015492799903	85.67005640	-8.66907094	    0.17581050	0.04668442	   -0.61567875	0.04089205	 3.5539e-02	   2.33272279	0.05202186	 1.03564350	0	 16.334337	  2.395172	            	            	  0.88713143	  0.78365757	  1.02006101
L_1641S             	3012338298746008320	1	1	 0.763714029941995887	85.79479515	-8.56539707	    0.39250349	0.07120343	   -0.46070230	0.06477403	 7.6884e-02	   2.45431927	0.08576887	 1.09530990	0	 17.111074	  2.160366	            	            	  0.73646665	  0.69151032	  0.84972844
L_1641S             	3012343693224929152	1	1	 0.760023080373136817	85.84658373	-8.46876425	    0.26961325	0.15342408	    0.01154284	0.13826117	 6.1628e-02	   2.40669115	0.16497959	 1.03292930	0	 18.219893	  4.191177	            	            	  0.55661069	  0.46462334	  0.69787451
L_1641S             	3012704676635505792	1	0	 0.760023080373136817	86.16384344	-8.44442344	    0.57234773	0.12855762	   -0.22402515	0.11545528	 1.0116e-01	   2.44379514	0.14325474	 1.00636230	0	 18.061780	  3.538452	            	            	  0.59738195	  0.51719440	  0.72974350
L_1641S             	3012720340381332480	1	1	 0.791535598023762166	85.83667140	-8.38433594	    0.35251612	0.12971869	   -0.24428635	0.11671211	 6.8573e-02	   2.31899395	0.15298100	 0.95727550	0	 18.045502	  4.090710	            	            	  0.60028390	  0.52126117	  0.73072430
L_1641S             	3012727972539303936	1	1	 0.899689405410844412	86.07030765	-8.28363438	    0.08196784	0.04117477	   -0.22264758	0.03550713	 6.0081e-02	   2.33888599	0.04602393	 1.02287600	0	 16.240232	  2.656980	            	            	  0.90457822	  0.82753841	  1.06474733
L_1641S             	3012728414919950080	1	1	 0.771691643392990900	86.09074401	-8.25414684	    0.30324982	0.07151400	   -0.12699307	0.06282423	 1.1791e-02	   2.45347551	0.07869090	 0.99652460	0	 17.328420	  3.183302	            	            	  0.72056513	  0.65331186	  0.80078148
L_1641S             	3012751715118495360	1	0	 0.760023080373136817	86.32479956	-8.11589113	    0.70953795	0.04071635	    0.04797761	0.03620199	 3.8648e-02	   2.40740028	0.04446021	 0.97347903	0	 16.244963	  2.617728	            	            	  0.90210902	  0.82669838	  1.06474733
L_1641S             	3015345669206779776	1	1	 0.905216678585777812	85.66397662	-8.44119559	    0.06398505	0.02750583	   -0.54803968	0.02591691	-2.6612e-02	   2.36133652	0.03479931	 1.03802720	0	 15.360201	  2.402226	   16.698439	    7.758760	  1.12935418	  0.99977656	  1.22503795
L_1641S             	3015346803078146176	1	1	 0.792100853560357976	85.59448189	-8.39883076	    0.02643944	0.05314589	   -0.84518074	0.04841576	 1.0037e-01	   2.33638901	0.06315193	 1.07058630	0	 16.438026	  2.725363	            	            	  0.86526260	  0.72230653	  0.94651913
L_1641S             	3015347833870294528	1	1	 0.988138575553488940	85.73726844	-8.38064350	    0.10415845	0.03756523	   -0.46162871	0.03684619	-1.0713e-01	   2.35656207	0.04664623	 1.01181280	0	 16.248905	  2.792408	            	            	  0.90210902	  0.82669838	  1.06326705
L_1641S             	3015348727223491840	1	1	 0.771691643392990900	85.70472883	-8.34363272	    0.22165780	0.05317573	   -0.39134911	0.04848301	 1.5363e-01	   2.42964357	0.05981073	 1.01576510	0	 16.485596	  3.331144	            	            	  0.85656995	  0.73140207	  0.94409133
L_1641S             	3015348761583229568	1	1	 1.000000000000000000	85.72334786	-8.33962671	    0.09861491	0.04524214	   -0.19609305	0.04308777	 1.3760e-01	   2.35911954	0.05150380	 1.03072520	0	 16.250450	  2.960833	            	            	  0.90169167	  0.82669838	  1.06326705
L_1641S             	3015349998533774336	1	1	 0.766069708823122753	85.53585404	-8.37049824	    0.30356849	0.01978376	   -0.04576229	0.01882658	-7.0333e-02	   2.35487809	0.02229953	 1.03534560	0	 14.715100	  2.242888	   65.951850	    6.574153	  1.28716039	  1.14556450	  1.41900437
