#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:11 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:11	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Loden_1194	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Loden_1194          	5866912269638869120	1	1	 1.000000000000000000	212.4053609	-60.0170610	   -7.72700593	0.03590788	   -5.04278939	0.04499057	 1.1028e-01	   1.34809098	0.04050778	 1.05510280	0	 16.032457	  1.640728	            	            	  0.84258443	  0.80820198	  0.86147037
Loden_1194          	5866917462283239040	1	1	 1.000000000000000000	212.9501907	-59.9029381	   -7.60653023	0.03064022	   -4.74060656	0.03974034	 6.5732e-02	   1.30271762	0.03439936	 0.94094400	0	 15.689600	  1.292668	            	            	  0.89728767	  0.86986593	  0.92802303
Loden_1194          	5866918076446389248	1	1	 1.000000000000000000	213.0893507	-59.8399074	   -7.08300047	0.28731468	   -4.81351865	0.48566090	 2.1412e-01	   1.31213013	0.36909837	 0.99964140	0	 19.525116	  2.804808	            	            	  0.45783612	  0.43663053	  0.48050704
Loden_1194          	5866919111550689920	1	1	 1.000000000000000000	212.9742670	-59.8108289	   -7.50552211	0.01334367	   -5.09586815	0.01829077	-1.3295e-02	   1.35719668	0.01543289	 0.92998270	0	 13.620190	  0.885431	  -27.881783	   10.280886	  1.31626459	  1.28653129	  1.36854722
Loden_1194          	5866919558227067648	1	1	 1.000000000000000000	212.6442766	-59.9235382	   -7.80243440	0.01270288	   -4.60940537	0.01558659	 3.2813e-02	   1.34594635	0.01345057	 0.94541967	0	 13.143322	  0.910728	  -28.281414	    4.306136	  1.44773328	  1.41041251	  1.50781638
Loden_1194          	5866919867464717184	1	1	 1.000000000000000000	212.7847555	-59.8997078	   -7.81129304	0.01217873	   -4.61783771	0.01649040	-4.1245e-02	   1.37731748	0.01314748	 0.87699470	0	 12.803725	  0.754458	            	            	  1.55458104	  1.51682881	  1.62741742
Loden_1194          	5866921413652979712	1	1	 1.000000000000000000	212.7177308	-59.7950096	   -7.53081041	0.01753201	   -4.68348636	0.02399127	-6.4533e-02	   1.35026365	0.01985617	 0.91178490	0	 14.635323	  1.058463	    3.069735	   11.229980	  1.08750763	  1.06731606	  1.14220488
Loden_1194          	5866921482372536192	1	1	 1.000000000000000000	212.8471659	-59.8607910	   -7.54940555	0.07577784	   -4.90323519	0.09369248	 1.5214e-01	   1.37439225	0.08374386	 1.07114860	0	 17.295221	  1.830839	            	            	  0.68721295	  0.66230578	  0.70548889
Loden_1194          	5867014592939506560	0	1	 1.000000000000000000	213.4211376	-59.6858217	   -7.81656995	0.09771713	   -4.93784867	0.14347814	-6.1450e-03	   1.34901139	0.12422017	 1.03882270	0	 17.929113	  2.224272	            	            	  0.63034572	  0.59897932	  0.65019834
Loden_1194          	5867018857862653184	0	1	 1.000000000000000000	213.2679930	-59.6038778	   -7.43915024	0.01674966	   -4.77841140	0.02205894	-1.5644e-02	   1.31230968	0.01953077	 1.00088360	0	 14.113589	  0.975156	  -13.876594	    5.450828	  1.19797180	  1.17496001	  1.24270754
Loden_1194          	5867035861618028160	0	1	 0.992736765980479441	214.1183029	-59.4662767	   -7.28629226	0.06710886	   -4.95416541	0.07297332	 2.9423e-02	   1.27106739	0.07474259	 0.97927350	0	 17.319479	  1.941494	            	            	  0.68558465	  0.65936635	  0.70475944
Loden_1194          	5867270611670584448	0	1	 1.000000000000000000	211.1969393	-60.2178924	   -7.99176016	0.02007375	   -4.62122994	0.02864815	 1.2313e-01	   1.39055615	0.02443721	 1.07297290	0	 14.933884	  1.141103	            	            	  1.02964208	  1.00237471	  1.06904862
Loden_1194          	5867322013842845824	0	1	 1.000000000000000000	210.9401216	-60.0967511	   -7.97663002	0.01338646	   -4.57064718	0.01520042	 2.0777e-02	   1.34458661	0.01585674	 1.16771660	0	 13.468008	  0.867726	  -26.495474	    5.276994	  1.35579231	  1.31854227	  1.40772683
Loden_1194          	5867322426159851392	1	1	 1.000000000000000000	211.0823038	-60.0535136	   -7.92578331	0.03053451	   -4.48012714	0.04100929	-3.8470e-03	   1.35697400	0.03907423	 0.98853440	0	 15.885077	  1.375913	            	            	  0.86618573	  0.83138437	  0.88694278
