#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:12	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Lynga_2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Lynga_2             	5854361314377770368	1	1	 0.867812328388927967	216.2789115	-61.6651577	   -6.81367200	0.01163987	   -4.70943513	0.01429202	 1.2244e-01	   1.04299105	0.01333181	 0.90526100	0	 13.239516	  0.710784	            	            	  1.61268833	  1.55720792	  1.66797217
Lynga_2             	5854369251478131840	1	1	 0.629082144987870406	216.5661787	-61.7095448	   -6.77902017	0.09078911	   -4.92580759	0.10622045	 1.5537e-01	   1.04354466	0.09832518	 0.95691466	0	 17.852982	  1.900202	            	            	  0.69159667	  0.67492330	  0.71074232
Lynga_2             	5854379765558882432	1	1	 0.576847911666500845	217.0639041	-61.4549438	   -6.49905608	0.02727892	   -4.79493619	0.03194441	 1.0590e-01	   0.99774813	0.03283315	 1.07791300	0	 15.489334	  1.171863	            	            	  1.03879544	  1.00995430	  1.06747657
Lynga_2             	5854381174308598144	1	1	 0.677595517085913368	216.6204207	-61.6576300	   -6.77172694	0.02192094	   -4.83882987	0.02452975	 1.3733e-01	   1.02587272	0.02509425	 0.96862674	0	 14.937904	  1.103265	            	            	  1.15158193	  1.11734357	  1.18106082
Lynga_2             	5854382445619250048	1	1	 0.585337841912627055	216.4526034	-61.6140312	   -7.08137667	0.02796837	   -4.92301855	0.03110007	 8.0751e-02	   1.10843911	0.03019538	 0.95646113	0	 15.488525	  1.204557	            	            	  1.03879544	  1.01231047	  1.06981649
Lynga_2             	5854382720496838016	1	1	 0.622945870109549493	216.6342613	-61.6436155	   -6.83720269	0.13379206	   -4.97862719	0.14993532	 1.3218e-01	   1.01764215	0.14530672	 0.99688560	0	 18.309082	  2.337446	            	            	  0.64468550	  0.63104597	  0.67003042
Lynga_2             	5854386293909783168	1	1	 0.725565554429222659	216.2512081	-61.5650264	   -6.97984666	0.02576699	   -4.79548595	0.02949282	 8.0676e-02	   0.98192079	0.02860437	 1.03135610	0	 15.341142	  1.182632	            	            	  1.07001857	  1.03411299	  1.09505153
Lynga_2             	5854386637507191552	1	1	 0.786945567490780817	216.4396943	-61.5275237	   -6.56645097	0.03655653	   -4.76968084	0.04235462	 3.0353e-02	   0.99943480	0.04229240	 2.72246200	0	 13.735373	  0.875992	  -11.601980	    5.745683	  1.45082965	  1.40414465	  1.49774613
Lynga_2             	5854388286760018048	1	1	 0.641578884607163835	216.5100884	-61.4884360	   -6.65254757	0.30473012	   -5.00209530	0.37997425	 2.1558e-01	   1.09521546	0.36904660	 0.97058517	0	 19.584652	  1.905188	            	            	  0.52071584	  0.51268097	  0.54533303
Lynga_2             	5854391379136845568	1	1	 0.577652679339570096	216.8473678	-61.3955889	   -6.46228683	0.32347253	   -4.49991514	0.36264533	 1.7956e-01	   0.98953122	0.38497236	 0.94813900	0	 19.759304	  2.510076	            	            	  0.50283737	  0.49050230	  0.51890562
Lynga_2             	5854393058442881920	1	1	 0.738278925488344839	216.9431757	-61.3425357	   -6.69536424	0.01076706	   -4.70441644	0.01213171	 6.8610e-02	   1.04181240	0.01297635	 0.87460950	0	 12.391495	  0.501335	            	            	  1.99237044	  1.89898548	  2.09697486
Lynga_2             	5854393505119480320	1	1	 0.602082264047387961	217.0375169	-61.3190886	   -6.75159011	0.01015997	   -4.53146062	0.01132119	 6.5816e-02	   1.05211143	0.01178338	 0.89983510	0	 12.449338	  0.546823	            	            	  1.95873629	  1.86659147	  2.05973059
Lynga_2             	5854393853052798080	1	1	 0.832241931055590412	216.7238147	-61.4229053	   -6.57024895	0.03211963	   -4.80968847	0.03561735	 8.0725e-02	   1.05439449	0.03702967	 0.98667467	0	 16.008688	  1.289055	            	            	  0.94529167	  0.91348508	  0.96360218
Lynga_2             	5854397048508588160	1	1	 0.782516529062297850	216.8287914	-61.2962714	   -6.75150918	0.01245435	   -4.83873317	0.01379526	 1.4573e-01	   1.08813202	0.01461651	 0.95700520	0	 13.447858	  0.768713	  -15.636344	    9.407470	  1.54232305	  1.49116007	  1.59172375
