#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:13	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Mamajek_2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Mamajek_2           	4136830899462577024	0	1	 0.542025472539919617	262.2541330	-15.2883321	  -13.16278892	0.02416207	  -21.79038496	0.01477334	 4.0081e-01	   5.50119805	0.02136671	 0.98878220	0	 14.163981	  1.855470	  -36.606373	    5.019957	  0.73429893	  0.70183298	  0.74552164
Mamajek_2           	4137780529586246400	0	1	 0.554074914428279719	259.7659669	-14.9866606	  -14.61400536	0.09036965	  -23.58234134	0.06049515	-1.1740e-01	   5.55534891	0.08390833	 1.08287170	0	 16.646795	  3.064033	            	            	  0.47898531	  0.45857006	  0.50242024
Mamajek_2           	4137926253538202880	0	1	 0.571990655242463064	260.5004473	-14.3142335	  -14.14101363	0.02030444	  -22.81070846	0.01633898	-2.9454e-01	   5.51164233	0.02103716	 0.84637170	0	  9.363928	  0.580560	  -11.243851	    1.510895	  1.83993780	  1.70835252	  1.92621715
Mamajek_2           	4141265058024629632	0	1	 0.627087893930367901	259.9539243	-13.0993396	  -13.70122841	0.02633929	  -22.73979709	0.02060045	-6.3724e-02	   5.53376040	0.02972657	 1.03272260	0	 14.516145	  1.918575	  -22.021120	    3.710334	  0.69864560	  0.67845330	  0.72221428
Mamajek_2           	4141656140571308416	0	1	 0.546686350001972632	260.1213142	-12.7537382	  -13.96087689	0.06524333	  -23.91168050	0.04214356	 2.7271e-02	   5.64675651	0.05335846	 1.02834830	0	 16.064495	  2.588292	            	            	  0.54576182	  0.52835940	  0.57060306
Mamajek_2           	4141663317459153792	0	1	 0.627087893930367901	260.4453574	-12.7786245	  -14.17768152	0.24918742	  -22.53154317	0.19030630	-1.3802e-01	   5.56033295	0.24216655	 1.03964280	0	 18.563140	  3.307209	            	            	  0.25319562	  0.21490042	  0.28094494
Mamajek_2           	4141700288533664512	0	1	 0.583673084866414338	259.8017951	-12.7179589	  -13.71026544	0.12914442	  -22.31864276	0.09486084	 2.3359e-01	   5.51002990	0.08931184	 1.07530590	0	 17.213255	  3.024164	            	            	  0.41397909	  0.38361815	  0.43840271
Mamajek_2           	4141954481880476544	0	1	 0.563624091629248536	259.9280533	-11.9894541	  -12.44224578	0.31117916	  -21.01763284	0.23060708	-9.9509e-02	   5.26919325	0.32376614	 1.01136270	0	 18.977652	  3.403370	            	            	  0.21499115	  0.17980935	  0.24278639
Mamajek_2           	4162870255349954304	0	1	 0.675029311116897457	262.1631078	-11.5830027	  -12.31923440	0.26168963	  -21.26427667	0.17806944	 4.0807e-01	   5.27607356	0.24667978	 1.08551810	0	 18.671782	  3.262157	            	            	  0.24280919	  0.20478943	  0.27021323
Mamajek_2           	4163006934095125120	0	1	 0.564988333167323664	262.9931100	-11.0508034	  -11.70766418	0.11953894	  -19.34494396	0.08202759	 9.0920e-02	   5.08383866	0.14241220	 3.66893400	0	 11.609632	  1.087584	            	            	  1.15542071	  1.11222616	  1.19933597
Mamajek_2           	4163113006917563136	0	1	 0.573518380502453518	264.0027651	-11.3285192	  -13.21123240	0.02221823	  -22.86017541	0.01521539	 4.4035e-01	   5.47205170	0.01898159	 0.97677530	0	 14.096566	  1.762905	  -19.319847	    3.454859	  0.74084380	  0.70580302	  0.75276178
Mamajek_2           	4163189972727046784	0	1	 0.570012875309046763	265.0575987	-10.8782628	  -11.32607803	0.08417612	  -19.87186377	0.05642265	 3.8660e-01	   4.91543476	0.07165135	 0.94575584	0	 16.969280	  2.968250	            	            	  0.44312989	  0.41399058	  0.46279473
Mamajek_2           	4165042714231316992	0	1	 0.558500512657936432	265.1453924	-9.63187014	  -10.30367915	0.07127369	  -18.25509796	0.05073229	 1.1690e-01	   4.89896523	0.06154733	 1.65323730	0	 15.645532	  2.427707	            	            	  0.58674232	  0.56604319	  0.61376715
Mamajek_2           	4165046596884587136	1	1	 0.569485171066597240	265.2180120	-9.48714631	  -12.03372578	0.19528547	  -20.82944092	0.13521957	 3.9082e-01	   5.44497760	0.16221100	 0.99122566	0	 18.277765	  3.363512	            	            	  0.28262348	  0.24509803	  0.31351064
