#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:23:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:23:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Mon_OB1-D	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Mon_OB1-D           	3326644177268274432	1	1	 1.000000000000000000	100.3930784	+9.43150245	   -2.38966077	0.07412346	   -3.76530224	0.05932284	-2.4196e-01	   1.41477834	0.06334649	 1.10736260	0	 16.363516	  2.463296	            	            	  0.73038209	  0.70309271	  0.74740433
Mon_OB1-D           	3326683141210961792	1	1	 1.000000000000000000	100.2471679	+9.37272439	   -2.12183462	0.10846505	   -3.80006887	0.08522402	-1.7894e-01	   1.34413942	0.11181340	 1.01741050	0	 17.299353	  2.983337	            	            	  0.59698531	  0.52746810	  0.64301682
Mon_OB1-D           	3326683278649925888	1	1	 0.944490990333511471	100.2024309	+9.36670120	   -1.97018111	0.03512427	   -3.85343542	0.03056371	-1.7854e-01	   1.40380354	0.03442069	 1.22026350	0	 10.729810	 -0.028757	            	            	  2.69866436	  2.54579348	  2.84761525
Mon_OB1-D           	3326684996635365504	1	1	 1.000000000000000000	100.2903130	+9.41519498	   -2.30740724	0.07680217	   -3.83928391	0.06105934	-2.1203e-01	   1.32503203	0.09038428	 0.96354880	0	 16.716312	  2.191991	            	            	  0.70374776	  0.66980941	  0.74697647
Mon_OB1-D           	3326685645176473856	1	1	 1.000000000000000000	100.3229474	+9.46843937	   -2.28879875	0.16355819	   -3.75068181	0.11618945	 1.3382e-01	   1.42384048	0.13528427	 0.97632474	0	 18.017363	  1.673584	            	            	  0.44985997	  0.40742388	  0.48673717
Mon_OB1-D           	3326685821270542976	1	1	 1.000000000000000000	100.2632710	+9.43415270	   -2.33156275	0.08430678	   -3.67606430	0.06524142	-1.8339e-01	   1.40528928	0.08711412	 1.06578220	0	 16.839594	  2.191532	            	            	  0.68769114	  0.64091121	  0.73272302
Mon_OB1-D           	3326686298011332608	1	1	 0.986012915918504929	100.2722109	+9.47012885	   -2.60748217	0.21203469	   -3.59641951	0.17424442	-9.1443e-02	   1.42564325	0.19958837	 0.94418420	0	 18.674020	  2.529806	            	            	  0.34618731	  0.30972070	  0.37732289
Mon_OB1-D           	3326686298011502464	1	1	 0.953650007972801195	100.2798190	+9.46332279	   -2.48279451	0.05351468	   -4.08138174	0.04381735	-1.8331e-01	   1.38331761	0.04980034	 2.52211710	0	 14.350466	  1.719178	   58.037327	    6.446286	  1.32361160	  1.26500285	  1.37337248
Mon_OB1-D           	3326686469810195456	1	1	 1.000000000000000000	100.3047776	+9.48313906	   -2.68655164	0.17027295	   -3.92826042	0.13373548	-2.0220e-01	   1.38395337	0.15281108	 1.06139040	0	 17.987871	  2.817970	            	            	  0.45593654	  0.41038502	  0.49455458
Mon_OB1-D           	3326686504169764608	1	1	 1.000000000000000000	100.2666456	+9.47342384	   -2.42541691	0.16497715	   -3.52659898	0.15513855	-4.4478e-01	   1.38640126	0.14961033	 1.13177110	0	 17.670536	  2.910221	            	            	  0.51235605	  0.45855447	  0.56014426
Mon_OB1-D           	3326686542825040256	1	1	 0.984132486078788005	100.2767775	+9.47743795	   -2.26907027	0.07478765	   -4.03832528	0.05444584	-1.1452e-01	   1.34760145	0.08485518	 0.98133147	0	 16.450266	  2.184305	            	            	  0.72339755	  0.69809090	  0.74229711
Mon_OB1-D           	3326686572888877184	1	1	 1.000000000000000000	100.2499756	+9.48055104	   -2.40283978	0.03878841	   -4.03043624	0.03114887	-6.1195e-02	   1.34210530	0.03384903	 0.99927366	0	 15.393225	  1.774543	            	            	  0.98526565	  0.93073169	  1.07569154
Mon_OB1-D           	3326686572888877312	1	1	 1.000000000000000000	100.2486524	+9.47880805	   -2.45403409	0.03725415	   -3.64745001	0.03067887	-1.5513e-01	   1.40271396	0.03474417	 1.03386370	0	 15.281573	  1.732451	            	            	  1.02324884	  0.94213732	  1.07467715
Mon_OB1-D           	3326686572888883072	1	1	 0.972148678109480802	100.2521136	+9.48774833	   -2.61918466	0.02529153	   -3.86808638	0.02056547	-1.4244e-01	   1.39994280	0.02149829	 1.03363760	0	 14.410869	  1.508315	            	            	  1.30231608	  1.25574377	  1.35406098
