#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:24:48 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:24:48	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=NGC_2451A	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
NGC_2451A           	5532468530719251072	0	0	 0.356628656866418925	116.4668744	-43.5026653	  -22.50776762	0.01705007	   17.93506127	0.01757915	 1.0695e-01	   5.49669884	0.01466795	 0.99423470	0	 14.267929	  1.986482	   29.543314	    5.758516	  0.70259896	  0.67275651	  0.71524991
NGC_2451A           	5532525774042045440	0	0	 0.361934098517271763	117.2099350	-42.7899878	  -23.28247544	0.03277610	   16.86617371	0.03495875	 5.8426e-02	   5.41477304	0.03020378	 1.14879160	0	 15.820499	  2.619569	            	            	  0.46123007	  0.41897190	  0.51495782
NGC_2451A           	5532561954847883648	0	0	 0.359673919885466431	117.8921095	-42.7575158	  -22.39085953	0.06488635	   16.28719922	0.08173052	 1.2451e-01	   5.29521730	0.05544570	 1.01074620	0	 17.188633	  3.131696	            	            	  0.26183055	  0.22465191	  0.30493616
NGC_2451A           	5532655752634374528	0	0	 0.379271651175419999	117.7364527	-42.3255804	  -22.27313286	0.09688339	   16.60293216	0.09333488	 4.6771e-02	   5.30122587	0.08445449	 0.94817173	0	 17.614609	  3.263388	            	            	  0.21748954	  0.17760295	  0.24584625
NGC_2451A           	5534089451377264640	0	0	 0.376967423304842897	118.7978094	-42.3348954	  -23.08147786	0.01084382	   16.53682034	0.01060941	 4.0099e-02	   5.32384802	0.00997745	 0.88271060	0	 11.963229	  1.023181	   19.435461	    1.001201	  0.96374485	  0.90460166	  1.01652054
NGC_2451A           	5534187582792107008	0	0	 0.420726997613702747	118.9102263	-41.6591152	  -23.78103264	0.03415310	   16.48171890	0.03568463	 8.5005e-02	   5.35541238	0.03017943	 1.07372500	0	 15.902255	  2.723466	            	            	  0.44754361	  0.40482258	  0.50276017
NGC_2451A           	5534775787153586048	0	0	 0.360768747353184482	120.1688446	-39.7506988	  -23.34185069	0.05913812	   15.09704681	0.06251891	-1.2200e-02	   5.25755328	0.05614006	 1.03209250	0	 17.013056	  3.164608	            	            	  0.28173403	  0.22936833	  0.31482738
NGC_2451A           	5535484005778805760	0	0	 0.384477471849681451	115.1129273	-41.9879505	  -21.58289172	0.14733885	   17.28190220	0.14726147	 1.3256e-01	   5.40982371	0.12522191	 1.01348580	0	 18.385136	  3.542440	            	            	  0.15578505	  0.13114684	  0.17580414
NGC_2451A           	5535669518305523584	0	0	 0.418232007408301132	117.7207107	-41.9630254	  -23.17379151	0.06236869	   16.48217764	0.06648226	-7.0755e-02	   5.29088433	0.05831615	 0.97381717	0	 17.171190	  2.974786	            	            	  0.26407442	  0.21476784	  0.29524015
NGC_2451A           	5535749576497065472	0	0	 0.465848127898563502	117.6483134	-41.2807095	  -22.47460066	0.02789018	   16.46228515	0.02834788	 6.4746e-03	   5.28146880	0.02412404	 0.94960940	0	 15.413433	  2.524697	            	            	  0.53650562	  0.50423895	  0.58454286
NGC_2451A           	5535836128675188608	0	0	 0.465494430104437640	116.3016739	-41.5756806	  -22.29220321	0.05173411	   16.99514881	0.05617217	 7.2579e-02	   5.42303894	0.04543689	 1.00763570	0	 16.682278	  3.102133	            	            	  0.32197124	  0.27940143	  0.37722124
NGC_2451A           	5535843958398439680	0	0	 0.378463673818672297	115.5227692	-42.0246253	  -21.29978465	0.11349452	   17.34161697	0.10917215	-2.1889e-02	   5.33744173	0.09455759	 1.00536000	0	 17.994566	  3.279247	            	            	  0.18403024	  0.15238392	  0.20794628
NGC_2451A           	5535941230816590592	0	0	 0.441731470627561684	116.6159527	-41.1980664	  -22.43723105	0.14161716	   16.96996743	0.15385684	-3.1911e-02	   5.25482740	0.13694741	 0.98413620	0	 18.639854	  3.318152	            	            	  0.13973555	  0.11863313	  0.15611139
NGC_2451A           	5535986452532465280	0	0	 0.434585969580942033	116.3470438	-41.1412179	  -20.60597844	0.02368871	   15.55303666	0.02538945	 1.0899e-02	   5.03096688	0.02180822	 1.03009490	0	 15.314554	  2.457107	   12.037850	    7.539435	  0.55432895	  0.52181919	  0.59632899
