#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:24:50 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:24:50	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=NGC_2451B	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
NGC_2451B           	5532596108428883072	0	0	 0.497523146759205503	118.4055624	-42.3987970	   -9.03873449	0.03693516	    4.64619287	0.04122509	 1.3770e-01	   2.56397940	0.03314916	 1.01305780	0	 15.999188	  2.534292	            	            	  0.68202473	  0.66030258	  0.70518749
NGC_2451B           	5533841545865579008	0	0	 0.509487428942577592	119.6098516	-42.6917746	   -9.38289142	0.01173840	    4.52476140	0.01278784	-4.3032e-02	   2.58956272	0.00994191	 0.98474610	0	 12.691754	  0.810994	   16.659023	    1.893242	  1.10392625	  1.06133961	  1.15648673
NGC_2451B           	5533923803080960896	0	0	 0.508849293845399897	119.3103480	-42.2473348	   -9.33518453	0.15082926	    4.38817297	0.18168923	 1.3017e-01	   2.61261183	0.13826026	 0.94699097	0	 18.436926	  3.141510	            	            	  0.28739425	  0.25542174	  0.34104856
NGC_2451B           	5534121577733219584	0	0	 0.499938217375977378	119.1046972	-41.9733723	   -9.37973388	0.02057483	    4.60917350	0.02184958	-4.9476e-02	   2.59924710	0.01918723	 0.98503170	0	  9.005274	 -0.025932	    5.111284	    2.489540	  2.65017912	  2.50153004	  2.75258414
NGC_2451B           	5534181806058474880	0	1	 0.527077960123575218	118.3595860	-41.6393313	   -8.88982886	0.13889095	    4.33448475	0.16790454	 1.2249e-01	   2.58726168	0.13137922	 0.95590300	0	 18.727490	  3.042999	            	            	  0.25414460	  0.22471739	  0.29975935
NGC_2451B           	5535603989984488320	0	0	 0.493352516244496830	116.8746705	-42.2423486	  -10.25878671	0.07297002	    4.75035570	0.08598334	-5.3740e-02	   2.80954945	0.06259599	 0.98064440	0	 17.389723	  2.978605	            	            	  0.44654731	  0.39992083	  0.50044877
NGC_2451B           	5535721569007972352	0	0	 0.493352516244496830	116.7539624	-41.7798958	   -9.71854938	0.19523178	    4.76677784	0.20902443	 1.9398e-01	   2.80693436	0.17235103	 1.05094230	0	 18.978064	  3.364384	            	            	  0.22863377	  0.20139075	  0.27204645
NGC_2451B           	5535799226316855936	0	0	 0.493352516244496830	115.8104243	-42.0816988	   -9.76423813	0.08388858	    4.89741310	0.13193989	 5.3398e-01	   2.83426592	0.06783204	 1.26353940	0	 16.295248	  2.459436	            	            	  0.63771991	  0.61918113	  0.67106641
NGC_2451B           	5535926662287471104	0	0	 0.485475245548272538	116.8954133	-41.2147929	   -8.09841601	0.12208617	    4.46740445	0.16057712	 1.3141e-01	   2.39390468	0.12117978	 0.99201650	0	 18.313470	  3.137114	            	            	  0.30111481	  0.27007473	  0.36055284
NGC_2451B           	5535948515081279360	0	1	 0.508362216562416092	117.1423070	-41.1488060	   -8.70524405	0.16698992	    4.35389423	0.20498729	 1.4343e-01	   2.51637553	0.15337521	 0.95805454	0	 18.722988	  3.162371	            	            	  0.25505570	  0.22516264	  0.30050835
NGC_2451B           	5535960648368341376	0	1	 0.527077960123575218	117.2825948	-40.9030614	   -8.90081637	0.02089852	    4.88566044	0.02353720	 3.3842e-02	   2.55630807	0.02088773	 0.97492810	0	  9.561174	  0.056019	    7.601367	    4.839946	  2.17894662	  2.08473760	  2.28931641
NGC_2451B           	5535965767969273344	0	1	 0.527912211880007143	116.9954336	-40.9949163	   -8.40254668	0.02020267	    4.78040013	0.02347283	 3.9503e-02	   2.65633300	0.01958261	 0.97063756	0	 14.840652	  1.609095	   14.066809	    4.724287	  0.77536111	  0.73942075	  0.80682367
NGC_2451B           	5535996073259099648	0	0	 0.487963429356264411	116.4995845	-40.9202527	   -8.51836413	0.14664610	    4.70547781	0.16211490	 4.4933e-02	   2.49826055	0.13944304	 1.00932220	0	 18.496712	  3.214312	            	            	  0.28101654	  0.24933994	  0.33194656
NGC_2451B           	5536026992719176192	0	1	 0.508301909429213494	116.9623301	-40.6083259	   -8.43410608	0.01181268	    4.72160902	0.01484223	 1.2792e-02	   2.49258088	0.01163965	 1.12008820	0	 12.632124	  0.946563	   15.381482	    2.995652	  1.11332323	  1.07499133	  1.16407116
