#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:24:16 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:24:16	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=NGC_5460	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
NGC_5460            	6090254898360222848	0	0	 0.521681002744633582	210.7110638	-50.7969063	   -7.24312159	0.74136347	   -3.82396364	0.63441610	-1.5833e-02	   1.17905477	0.77306074	 0.96557120	0	 20.242342	  1.369856	            	            	  0.34799113	  0.33113844	  0.36802508
NGC_5460            	6090652857152663808	0	0	 0.525414657631353421	211.0569769	-50.4190938	   -6.77122811	0.58889900	   -3.46892500	0.52746004	-5.3089e-02	   1.16339469	0.62990020	 0.96569544	0	 19.846968	  1.362248	            	            	  0.38915841	  0.37614372	  0.40659986
NGC_5460            	6090675324119215616	0	0	 0.525414657631353421	211.6952851	-50.0671245	   -6.97815036	0.37918636	   -3.91561790	0.29344150	 2.6751e-01	   1.16896926	0.35018030	 0.99816126	0	 19.610012	  1.256935	            	            	  0.41331906	  0.40413618	  0.43111264
NGC_5460            	6090737107219420544	0	0	 0.525428615431112189	212.7193342	-49.9062561	   -6.57692377	0.62583110	   -3.38744098	0.58100355	-1.3793e-01	   1.17297186	0.57780755	 0.99854380	0	 19.864620	  1.229584	            	            	  0.38743765	  0.37378885	  0.40452106
NGC_5460            	6090818707306803328	0	1	 0.563759045368588896	212.7714270	-49.2091462	   -6.52272776	0.16590714	   -3.54682901	0.20834264	-1.6606e-01	   1.20216622	0.15396106	 1.01057660	0	 18.249239	  2.172035	            	            	  0.55297812	  0.54423783	  0.56708722
NGC_5460            	6090861038501340928	0	0	 0.521681002744633582	210.3825590	-50.0316193	   -6.94841725	0.55329960	   -3.55195374	0.56164230	 1.1041e-02	   1.17469600	0.69854970	 0.95255536	0	 19.864069	  1.686899	            	            	  0.38743765	  0.37574441	  0.40636975
NGC_5460            	6090888942910457088	0	0	 0.539192926682704687	211.4646576	-49.5897187	   -6.70485986	0.05387603	   -3.39593830	0.04908541	 1.2216e-01	   1.17607902	0.04935669	 1.38689450	0	 15.925177	  1.491925	            	            	  0.79517606	  0.78077862	  0.80211207
NGC_5460            	6090971784239943424	0	1	 0.571864806239423484	211.1660899	-49.1424934	   -6.56951968	0.02508708	   -3.52157744	0.02814774	 3.4060e-02	   1.32633550	0.02627063	 0.98246855	0	 14.799110	  1.026393	            	            	  0.96476970	  0.94519045	  0.97388401
NGC_5460            	6090973807166388352	0	1	 0.552496810349749845	210.9328203	-49.1368170	   -6.22026541	0.46993765	   -2.96582507	0.37208380	 2.3673e-01	   1.16655699	0.50731100	 1.02026180	0	 19.776756	  1.406977	            	            	  0.39590078	  0.38523880	  0.41408356
NGC_5460            	6090975254573560192	0	1	 0.635750208819733986	210.9675396	-49.0637612	   -6.84636542	0.02279648	   -3.23370328	0.02307387	 1.4267e-01	   1.35168943	0.02335848	 1.35280350	0	 10.979498	  0.308196	  -19.227928	    4.569007	  2.13154156	  2.06162934	  2.20355046
NGC_5460            	6090980163713401984	0	0	 0.525414657631353421	211.8251434	-49.5639729	   -6.96734446	0.32193032	   -3.72843430	0.37994766	-1.9634e-01	   1.16256278	0.31385565	 0.99050430	0	 19.047740	  1.543617	            	            	  0.47432199	  0.46520840	  0.48497970
NGC_5460            	6091008308641393920	1	1	 0.585313705909223492	211.9567149	-49.0729769	   -6.49766980	0.02710497	   -3.15615392	0.03075316	-1.6506e-01	   1.41250613	0.02823895	 1.07566690	0	 14.772540	  1.055649	  -12.018645	    7.230593	  0.96922085	  0.94958750	  0.97872034
NGC_5460            	6091011710255445504	1	1	 0.550115138425837369	211.9423203	-49.0031973	   -6.43131694	0.02727020	   -3.03441797	0.03304522	-1.7170e-01	   1.33381236	0.02763520	 0.92983973	0	 14.886588	  1.113155	            	            	  0.95043163	  0.93095755	  0.95917306
NGC_5460            	6091026583722584704	1	1	 0.598949057783148997	212.4202010	-48.9489019	   -6.19325583	0.28996852	   -3.42834924	0.26568124	-7.6576e-02	   1.34203887	0.25904667	 1.03269920	0	 18.935990	  0.997618	            	            	  0.48629015	  0.47852261	  0.49690862
