#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:06	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=OCSN_27	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
OCSN_27             	1972271904582128768	0	1	 0.991944749210451948	322.3686017	+46.9800245	    3.25250526	0.90277207	   -2.42323090	0.81252474	 5.6514e-02	   2.35887772	0.75845414	 1.03004030	0	 20.651764	  2.160944	            	            	  0.11344405	  0.10026154	  0.12662209
OCSN_27             	1972276298318945920	1	1	 0.815028890828331076	322.2738313	+47.0772876	    3.29734322	0.10256362	   -2.44400993	0.09578551	 1.0698e-01	   2.32635427	0.08649807	 1.03084200	0	 17.697200	  2.902660	            	            	  0.38075375	  0.33150966	  0.42969142
OCSN_27             	1972291794561327616	1	1	 1.000000000000000000	322.0185112	+47.1981356	    3.29642643	0.14094087	   -2.48138406	0.14038812	-1.3996e-01	   2.38538875	0.12625743	 0.98346055	0	 18.364376	  3.198208	            	            	  0.28871537	  0.25100644	  0.32124012
OCSN_27             	1972360827579488000	0	1	 0.988600375767202166	320.9760109	+46.8389845	    2.89990397	0.14826971	   -2.71151379	0.14965247	 4.4148e-02	   2.39100976	0.13318889	 0.99131674	0	 18.385193	  2.857445	            	            	  0.28623817	  0.24777454	  0.31752390
OCSN_27             	1972364259250208128	0	1	 0.996934824844438738	320.8862321	+46.8726583	    3.34739613	0.11518126	   -2.52825718	0.10075175	-1.2649e-01	   2.49562333	0.10578148	 1.07483520	0	 18.038538	  2.999107	            	            	  0.32919676	  0.29017017	  0.36848623
OCSN_27             	1972378351046863872	0	1	 0.975681467365013821	320.3812005	+46.6265531	    3.18893547	0.01492568	   -2.68989362	0.01552710	-1.3052e-01	   2.38268304	0.01478699	 0.88964030	0	 11.424052	  0.600059	  -10.798065	    1.665075	  1.48033039	  1.40690113	  1.53032354
OCSN_27             	1972400272554011392	0	1	 0.744276389456537735	320.0715487	+46.9055499	    3.04308021	0.42218545	   -3.16335468	0.39839885	-1.2085e-01	   2.35860331	0.35240075	 1.06774210	0	 19.839506	  2.705177	            	            	  0.15431738	  0.13699667	  0.16983780
OCSN_27             	1972415833217782912	0	1	 0.895368891146585688	320.5590164	+47.0121133	    3.20982998	0.10734191	   -2.77472170	0.11301166	-6.3577e-02	   2.49472125	0.10128123	 1.04670910	0	 18.017136	  3.049145	            	            	  0.33224104	  0.29234593	  0.37278133
OCSN_27             	1972417555510503680	0	1	 1.000000000000000000	320.5949785	+47.0611986	    3.24319432	0.06082436	   -2.60776994	0.06333950	-8.2252e-03	   2.41706801	0.05846356	 1.01344660	0	 17.021984	  2.615353	            	            	  0.50103187	  0.44349807	  0.56264748
OCSN_27             	1972420815379660160	0	1	 0.954950258544525754	320.3600576	+46.9172295	    3.16386459	0.16662379	   -2.53539828	0.16390592	-6.8128e-02	   2.48033207	0.15761046	 1.04645530	0	 18.441969	  3.228336	            	            	  0.28010102	  0.24230339	  0.31075938
OCSN_27             	1972429821931193472	0	1	 1.000000000000000000	320.6035488	+47.1545589	    3.18920387	0.03833390	   -2.54021223	0.04143334	 4.9189e-02	   2.49459528	0.03646642	 1.36374700	0	 15.708741	  1.951146	            	            	  0.72003640	  0.70568251	  0.73170790
OCSN_27             	1972429821935467264	0	1	 0.755495926350275959	320.6042733	+47.1539665	    2.51316621	0.01218355	   -2.70147473	0.01323613	 1.2359e-02	   2.41694274	0.01200201	 0.92750514	0	 13.442840	  1.171308	   -2.418220	    5.804078	  1.10190462	  0.98934637	  1.16386549
OCSN_27             	1972446310305969792	1	1	 0.759230946108571669	321.3901420	+46.9035320	    3.18205312	0.12281640	   -2.75083156	0.11722645	 3.5159e-02	   2.54530432	0.11112732	 0.98393303	0	 18.071852	  3.034338	            	            	  0.32492187	  0.28581864	  0.36311735
OCSN_27             	1972461879574695552	1	1	 1.000000000000000000	321.1179882	+47.1014094	    3.23426632	0.01109509	   -2.38596305	0.01073426	-7.3768e-03	   2.38279718	0.01108386	 0.92875576	0	 13.368957	  0.980380	  -11.251493	    5.826548	  1.11176226	  0.99719824	  1.17726852
