#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:12	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=PTB_9	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
PTB_9               	 528607566721323904	1	0	 0.218174727833845200	 0.08738999	+67.7882195	    1.94045547	0.08521585	    3.75882426	0.08835441	-2.8542e-01	   1.09668641	0.07589916	 1.02373410	0	 17.566233	  2.135885	            	            	  0.93049412	  0.89918324	  0.94689883
PTB_9               	 528608120776377472	1	0	 0.227492385632677790	 0.25097370	+67.7948081	    1.80681046	0.01780803	    3.79482993	0.01815716	-2.0298e-01	   1.02550499	0.01633185	 1.02272180	0	 14.369656	  1.650473	  -51.006970	    4.152713	  1.71266880	  1.65406570	  1.78445517
PTB_9               	 528989269055859712	1	0	 0.226229151072305956	 0.59652532	+68.0437168	    1.94429517	0.16125968	    4.06886430	0.15092003	-2.8002e-01	   1.11984153	0.12668529	 1.05284060	0	 18.347788	  2.251038	            	            	  0.80866972	  0.79812445	  0.83751682
PTB_9               	 528989685671218432	1	0	 0.215508612837217783	 0.38508840	+68.0374619	    1.85985098	0.07675324	    4.22090410	0.08854562	-2.7091e-01	   1.09681998	0.07239203	 1.20663180	0	 17.223080	  2.074682	            	            	  0.99027394	  0.95560065	  1.00864675
PTB_9               	 528990544664688640	1	0	 0.229280481037134498	 0.70458267	+68.0571465	    2.02584714	0.01325526	    3.78946471	0.01411245	-1.8885e-01	   0.96569798	0.01246413	 0.94968910	0	 13.716438	  1.427558	  -47.516533	    4.149525	  1.92926511	  1.81711540	  1.98891925
PTB_9               	 529015386755438848	1	0	 0.250461607519267160	 0.66848858	+68.2204261	    1.90752894	0.02555253	    3.95568294	0.02771507	-2.6669e-01	   1.01930742	0.02402914	 0.97397965	0	 15.331420	  1.604705	            	            	  1.41301082	  1.36436149	  1.45425304
PTB_9               	 529021601569390976	1	0	 0.216370447302476426	 0.21067674	+68.3678682	    1.81566214	0.13816151	    3.78882881	0.13678102	-1.9911e-01	   1.03588451	0.13081726	 0.96136403	0	 18.216066	  2.248320	            	            	  0.82830311	  0.81678160	  0.85692767
PTB_9               	2210035865236397952	1	0	 0.208217326816439702	358.5317256	+67.1708093	    1.32446788	0.02079142	    3.76414280	0.02276914	-1.4207e-01	   1.08713701	0.02062401	 1.03402510	0	 15.008396	  1.574443	    5.945214	    4.946543	  1.50901209	  1.44680410	  1.55018178
PTB_9               	2210117156080613120	1	0	 0.223415870354951362	359.4959184	+67.5237957	    1.36796644	0.14000346	    3.92844815	0.13919596	-1.5248e-01	   1.08466225	0.13374591	 1.00916710	0	 18.502050	  2.446302	            	            	  0.78673419	  0.77720891	  0.81450396
PTB_9               	2210697943034794368	0	0	 0.222193718795176548	353.7016194	+67.6719725	    0.85081477	0.03650051	    3.99418087	0.03151388	-2.2266e-01	   1.04413832	0.02988682	 1.03582170	0	 15.840702	  1.683209	            	            	  1.28203383	  1.22642965	  1.30329496
PTB_9               	2210764871507172224	1	0	 0.233467970144268483	356.2696301	+67.2991852	    1.06240287	0.16254073	    3.81645760	0.17028134	-2.0483e-01	   0.92597559	0.15189860	 1.07148970	0	 18.584183	  2.410147	            	            	  0.77546235	  0.76620072	  0.80249724
PTB_9               	2210768960316093952	1	0	 0.239629715120447478	357.0356855	+67.3714948	    1.25322984	0.16248094	    4.14101667	0.14365688	-8.3246e-02	   1.18313710	0.14248894	 1.03930600	0	 18.569973	  2.581827	            	            	  0.77734099	  0.76796203	  0.80449836
PTB_9               	2210774084215925376	1	0	 0.323481743227231999	356.7009394	+67.4666969	    1.37243939	0.07577619	    3.97494335	0.07923444	-1.6255e-01	   0.94390380	0.07360817	 1.01046160	0	 17.641554	  2.197182	            	            	  0.91762689	  0.88746217	  0.93414853
PTB_9               	2210787965549816832	1	0	 0.231465348781692393	355.5581938	+67.2531333	    1.22236911	0.04002842	    3.93845074	0.03966940	-1.3222e-01	   1.05573311	0.03874378	 0.99067650	0	 16.407747	  1.945950	            	            	  1.15144833	  1.11354018	  1.17668384
PTB_9               	2210813799774714112	1	0	 0.277854679170416785	356.1059108	+67.3998899	    1.20492402	0.03775084	    4.12238899	0.03815632	-2.6265e-01	   1.00820939	0.03392366	 0.95960700	0	 16.099108	  1.787625	            	            	  1.22110352	  1.17832184	  1.24724970
