#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:14	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Pismis_5	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Pismis_5            	5528412535399517952	1	1	 0.887158613859546752	129.6477059	-39.9557353	   -5.39938982	0.06129242	    4.08593565	0.07275201	 1.2801e-02	   1.07458678	0.06142663	 0.93563310	0	 17.199398	  2.215519	            	            	  0.79932746	  0.72694802	  0.85998407
Pismis_5            	5528414764484464896	1	1	 0.917058384039937891	129.7159662	-39.8659818	   -5.37899536	0.09953429	    4.31261638	0.12765240	 3.0253e-02	   1.07904895	0.10884675	 0.95065970	0	 18.181976	  2.809673	            	            	  0.63987245	  0.59672097	  0.70602131
Pismis_5            	5528433907156760448	1	1	 0.952540935324578286	129.8331803	-39.9201050	   -5.25627297	0.01103059	    4.11098568	0.01219864	 1.6466e-01	   1.06213355	0.01100192	 0.95748740	0	 13.090532	  0.753443	            	            	  2.20607690	  2.05707486	  2.41524564
Pismis_5            	5528434212096348160	1	1	 0.921812051084107353	129.9292289	-39.8960045	   -5.31233040	0.10085031	    4.16662235	0.12418503	 6.3255e-02	   1.01646237	0.10990450	 0.99648330	0	 18.090206	  2.818758	            	            	  0.66151649	  0.61560525	  0.71373167
Pismis_5            	5528437132674113664	1	1	 0.838733205745956889	129.7993542	-39.8892432	   -5.16257580	0.07281565	    4.15072646	0.08201155	 1.0135e-01	   1.02924157	0.07484934	 1.03714170	0	 17.632616	  2.412096	            	            	  0.72357333	  0.69647594	  0.74166584
Pismis_5            	5528599177499924736	1	1	 0.876494354052979707	129.4046874	-39.8896297	   -5.15314757	0.18664914	    4.27597850	0.22247620	-6.1231e-02	   1.02963766	0.20486245	 1.01372350	0	 18.787600	  3.173138	            	            	  0.51525307	  0.45724735	  0.55438425
Pismis_5            	5528599207558494336	1	1	 0.823685070677913411	129.3799530	-39.8834475	   -5.35384763	0.09477358	    4.26114876	0.11692117	-5.6428e-02	   1.22165534	0.10366128	 0.98750234	0	 17.900790	  3.063057	            	            	  0.70023880	  0.66193646	  0.73762761
Pismis_5            	5528599413718638336	1	1	 0.824295152178850410	129.3708813	-39.8769827	   -5.67423583	0.34891102	    4.27138795	0.47817892	-1.0300e-01	   1.15319119	0.42048308	 1.00358220	0	 19.903790	  2.669916	            	            	  0.32739205	  0.29356463	  0.35375223
Pismis_5            	5528599418017070720	1	1	 0.936735085720139526	129.3783265	-39.8810647	   -5.36507791	0.05155759	    4.09895740	0.06433052	-5.4201e-03	   1.06002878	0.05526344	 1.05941410	0	 16.797142	  2.355464	            	            	  0.94411216	  0.84756768	  1.02879970
Pismis_5            	5528600478868545280	1	1	 0.822456471232922315	129.5768360	-39.9299333	   -5.57959611	0.08614469	    4.23538049	0.09966764	-4.8469e-02	   1.03942689	0.08926105	 0.98311627	0	 17.853971	  2.459696	            	            	  0.70581008	  0.67225806	  0.74031613
Pismis_5            	5528600620607880576	1	1	 0.869190992220235215	129.6026413	-39.8961418	   -5.03110866	0.04071265	    4.05034148	0.04953088	 4.0345e-02	   1.07005249	0.04302122	 1.03590230	0	 16.550781	  2.045200	            	            	  1.04916058	  0.97902617	  1.16076694
Pismis_5            	5528603639966914560	1	1	 0.889704296146230145	129.6657898	-39.7729346	   -5.47409728	0.34798518	    4.46749998	0.49208850	 7.7122e-02	   1.04029146	0.40786883	 1.02184960	0	 20.014729	  2.788866	            	            	  0.31487954	  0.28097365	  0.33956604
Pismis_5            	5528603850423269632	1	1	 0.975259489299260429	129.6513733	-39.7654779	   -5.26309977	0.01201223	    4.24119651	0.01555579	 1.4887e-01	   1.04866836	0.01268478	 1.02823360	0	 13.923100	  1.241098	   23.105425	    4.441103	  1.94605088	  1.86246485	  2.05153375
Pismis_5            	5528604052281593088	1	1	 0.938175533832582786	129.4605149	-39.9058056	   -5.30222542	0.11141701	    4.28095373	0.13992365	-3.6347e-02	   1.07191833	0.12020775	 1.01625470	0	 18.167690	  2.720068	            	            	  0.64443822	  0.59672097	  0.70386173
Pismis_5            	5528604292801894016	1	1	 0.935602446373314356	129.4283813	-39.8922509	   -5.34847703	0.13648538	    4.07436363	0.28893784	 1.2498e-01	   1.03709148	0.15352732	 0.99889356	0	 18.284160	  2.231199	            	            	  0.61776646	  0.55797517	  0.66267721
