#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Pozzo_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Pozzo_1             	5514632592391843584	0	1	 0.789802188238753033	122.1800997	-48.6381835	   -5.84137323	0.11528887	    8.33695294	0.10597902	 5.7289e-02	   2.60572128	0.09690528	 1.04222330	0	 17.921034	  3.239122	            	            	  0.27327407	  0.23265089	  0.30423279
Pozzo_1             	5514634894489518208	1	1	 0.839206405236694430	122.3121925	-48.5084301	   -6.21027645	0.10406854	    9.36568282	0.09319863	 3.1519e-02	   2.90838301	0.08902525	 1.03563950	0	 17.677404	  3.570015	            	            	  0.30443279	  0.26360310	  0.33631019
Pozzo_1             	5514648981982263424	1	1	 0.804593632288518323	122.0585785	-48.5081260	   -6.19568170	0.05261699	    9.35715775	0.04699287	-1.0269e-02	   2.89898466	0.04641446	 0.97053695	0	 16.620329	  2.763126	            	            	  0.46438637	  0.40675708	  0.52290882
Pozzo_1             	5514651219671194752	1	1	 0.838815315872925349	122.1504951	-48.4027363	   -6.33223426	0.04879164	    9.84459777	0.04619638	 1.4313e-02	   2.83923836	0.04495179	 0.93103300	0	 16.669370	  2.867046	            	            	  0.45584404	  0.39901903	  0.51096651
Pozzo_1             	5514652898992898816	1	1	 0.933362387524259152	122.2055206	-48.2960996	   -6.28448851	0.03950745	    9.75984904	0.03686407	 4.5224e-02	   2.85055991	0.03309606	 1.02121080	0	 16.270945	  2.610500	            	            	  0.53076673	  0.46073774	  0.60799779
Pozzo_1             	5514653934090413056	1	1	 0.798518585636469602	122.0442673	-48.3626437	   -6.51588880	0.06753470	    9.56760648	0.06957615	-1.6200e-02	   2.93752851	0.06343928	 0.99825096	0	 17.230831	  3.112328	            	            	  0.36358228	  0.31772447	  0.40945685
Pozzo_1             	5514655789516307328	1	1	 0.789802188238753033	122.1345830	-48.2791880	   -5.60483939	0.01949685	    8.35893941	0.02003717	 4.7850e-02	   2.59504161	0.01746825	 1.01287150	0	 14.711362	  1.782408	   39.257675	    5.492917	  0.77623803	  0.71834327	  0.81647556
Pozzo_1             	5514657438784110720	1	1	 0.844401419788832208	122.1547396	-48.1841727	   -6.37300548	0.07547929	    9.72850501	0.08525617	 1.5481e-01	   2.94134321	0.06934793	 0.98085470	0	 17.496952	  3.146986	            	            	  0.32552766	  0.28294823	  0.36318039
Pozzo_1             	5514657576223063040	1	1	 0.904863830029461691	122.1088960	-48.1767700	   -6.31769272	0.03417752	    9.71065814	0.03617495	 1.2266e-01	   2.88819045	0.03242435	 1.01031520	0	 15.969595	  2.556443	            	            	  0.60389261	  0.57019739	  0.71328127
Pozzo_1             	5516087456733135872	0	1	 0.782552342976021942	122.4801827	-48.5867255	   -6.27188064	0.04061560	    9.70168504	0.04378023	 1.1204e-01	   2.86726753	0.03376069	 1.02641940	0	 16.199043	  2.922267	            	            	  0.54834621	  0.46866150	  0.62157664
Pozzo_1             	5516136659880176256	1	1	 0.789802188238753033	122.3902455	-48.4579515	   -5.60677197	0.04009856	    8.05244655	0.03885229	 3.4832e-02	   2.59165777	0.03417551	 1.08719160	0	 16.130613	  2.490619	            	            	  0.56360297	  0.48552224	  0.64382473
Pozzo_1             	5516139786616449664	1	1	 0.786869495978380518	122.6229869	-48.2693985	   -6.81496481	0.10952213	    9.73608667	0.12026858	-8.5576e-03	   2.95517273	0.09442126	 1.00658510	0	 18.047903	  3.420011	            	            	  0.25885607	  0.22104381	  0.29003373
Pozzo_1             	5516140194630765568	1	1	 0.789802188238753033	122.3592365	-48.3842211	   -5.62893751	0.01191339	    8.32709754	0.01189619	 1.4703e-01	   2.58747944	0.01017322	 0.79109780	0	 11.729866	  0.954250	   15.199764	    4.231639	  1.46733848	  1.27211372	  1.58573992
Pozzo_1             	5516140233292943872	1	1	 0.789802188238753033	122.3311416	-48.3907525	   -5.65654080	0.02185182	    7.94417887	0.02063143	 2.8765e-02	   2.56227892	0.01817073	 1.11598430	0	 14.873431	  2.355846	    3.426798	    6.566623	  0.74423230	  0.70566305	  0.77473138
