#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=RSG_8	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
RSG_8               	2007193012355437312	0	1	 0.797611870571204307	343.1913242	+57.9877734	    5.05977864	0.06291050	   -1.38195145	0.05773654	-1.2818e-01	   2.03355105	0.06057994	 0.99739220	0	 17.112331	  2.497858	            	            	  0.57679597	  0.52882721	  0.67892777
RSG_8               	2007389958067926528	0	1	 0.819589454347534052	343.1319646	+58.2274207	    5.01512418	0.15121040	   -1.42872467	0.13974223	-1.1600e-01	   1.95874033	0.13804673	 1.01517590	0	 18.636438	  2.870234	            	            	  0.30648183	  0.24609491	  0.34519898
RSG_8               	2007395386906472960	0	1	 0.794910762779933000	342.5738963	+58.1929568	    5.13427228	0.02505925	   -1.35692811	0.02298677	-6.8014e-02	   1.92480445	0.02345473	 0.98874160	0	 15.258671	  1.627965	            	            	  0.84535105	  0.80895566	  0.89865411
RSG_8               	2007398827185015296	0	1	 0.819589454347534052	342.6172583	+58.2424809	    5.29943579	0.10605502	   -1.38449870	0.09968627	-1.3592e-01	   1.95165595	0.09684692	 1.09232090	0	 17.800980	  3.257134	            	            	  0.43601741	  0.37614416	  0.51714526
RSG_8               	2007446651636448128	0	1	 0.775671842069767914	342.4533426	+58.2967826	    5.36721030	0.07405128	   -1.55859637	0.05896931	-1.3865e-01	   1.91624240	0.06388109	 1.19078040	0	 17.100079	  2.535941	            	            	  0.57941406	  0.49240622	  0.64155472
RSG_8               	2010009716315454976	0	1	 0.807064841039232483	347.0801095	+57.9767220	    5.69396561	0.42269477	   -1.85199601	0.33358118	-2.2124e-01	   2.07706005	0.37228840	 1.08893910	0	 19.707438	  3.247633	            	            	  0.19309057	  0.16971970	  0.23428326
RSG_8               	2010203196003512064	0	1	 0.823733299507793837	347.0431127	+58.1681267	    5.34213026	0.15474862	   -1.82156091	0.14079091	-1.4828e-01	   2.07669571	0.15985714	 1.04993700	0	 18.556707	  2.586735	            	            	  0.31663176	  0.25627501	  0.35714178
RSG_8               	2010235189223285632	0	1	 0.797808708013713508	346.1848012	+58.1042757	    5.84753456	0.02020433	   -1.63572529	0.01672558	-1.3964e-01	   2.10348935	0.01938870	 1.02896200	0	 14.518374	  1.458868	   -0.159563	    5.405905	  1.00922869	  0.95861759	  1.07925977
RSG_8               	2010370291704384640	0	1	 0.782965545648122374	347.6016532	+57.9622907	    5.91744798	0.18278497	   -1.68574658	0.16045694	-5.1443e-02	   2.07522992	0.16066217	 1.03395780	0	 18.588734	  1.571526	            	            	  0.31260769	  0.25288165	  0.35171323
RSG_8               	2010395507461236864	0	1	 0.766358141292874384	347.9481531	+58.2784598	    5.73312588	0.07476152	   -1.68199729	0.07047135	-1.4285e-01	   2.06082308	0.07662494	 1.05048570	0	 17.347517	  2.726025	            	            	  0.52082840	  0.45305040	  0.61180416
RSG_8               	2010758797274238336	0	1	 0.805708795244936771	350.5472719	+59.5768792	    6.38832422	0.05250454	   -2.06737878	0.04717346	-1.9892e-01	   2.10433968	0.04928117	 0.98149127	0	 16.638840	  2.457520	            	            	  0.67600884	  0.63815362	  0.71800249
RSG_8               	2010812192308139136	0	1	 0.749980295689130827	349.3276713	+59.7541380	    6.22740683	0.07572470	   -2.01873592	0.07349228	-4.1305e-01	   2.08646061	0.06374681	 0.98100716	0	 17.280338	  2.618399	            	            	  0.53544229	  0.46156119	  0.61744125
RSG_8               	2013171430722203136	0	1	 0.749446369346068564	344.9253175	+58.2342559	    5.31915106	0.25316920	   -1.87337089	0.23190634	-8.4854e-02	   2.07349779	0.24197611	 1.00168440	0	 19.337055	  3.455402	            	            	  0.22642975	  0.18422916	  0.26281557
RSG_8               	2013184418701845888	0	1	 0.812525690561515912	343.5261420	+57.9463196	    5.09857909	0.13324810	   -1.31093496	0.11260060	-1.3570e-02	   1.94230512	0.11392593	 1.04205660	0	 18.222466	  2.913162	            	            	  0.36217461	  0.29699542	  0.41685577
RSG_8               	2013189950619488512	0	1	 0.768671182133761732	343.9891213	+58.1030873	    5.31522189	0.01065304	   -1.50792409	0.00977312	-1.5970e-01	   1.98648605	0.01044003	 0.79828290	0	 11.898884	  0.741752	  -11.295786	    3.617745	  1.54602117	  1.47875787	  1.69420267
