#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Renou_23	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Renou_23            	 264828336307807488	0	0	 0.420854117197099031	85.27055608	+54.6263934	   -3.29446339	0.26300415	   -4.58772577	0.22970608	 2.0654e-01	   2.15881723	0.24997110	 1.06877180	0	 19.042248	  2.780417	            	            	  0.45065558	  0.43245332	  0.46334633
Renou_23            	 265051129147130624	0	0	 0.419084841961311017	85.63910715	+55.0009382	   -3.68915077	0.03854214	   -3.92345338	0.03470634	 1.1352e-01	   1.97542745	0.03967147	 1.06867430	0	 15.549287	  1.524835	            	            	  0.82862017	  0.80260414	  0.84993142
Renou_23            	 265073669135405952	0	0	 0.458346924716499404	85.95568431	+55.2881265	   -3.61965813	0.06462294	   -3.46332504	0.06023639	 1.7855e-01	   1.94171160	0.06305759	 0.98268276	0	 16.873285	  2.048130	            	            	  0.67239678	  0.65248705	  0.68505624
Renou_23            	 265115519296837376	0	0	 0.465774060978546123	85.30890495	+55.1996821	   -3.30233619	0.01681475	   -4.30459540	0.01383922	 5.0951e-02	   1.98158175	0.01611514	 0.94616675	0	 13.748693	  1.088296	   -4.680169	    3.377752	  1.14489587	  1.10582979	  1.17763692
Renou_23            	 265139772974958208	0	1	 0.506880919952374720	85.50468684	+55.6074725	   -3.19927541	0.01825142	   -3.73466784	0.01707899	 2.2808e-01	   1.89856740	0.02061208	 1.22337420	0	 12.822484	  0.921665	  -12.106739	    2.102595	  1.36932276	  1.31605496	  1.41194545
Renou_23            	 265204781601124864	0	0	 0.430388615899734706	87.40132704	+55.0665970	   -3.01505074	0.09278004	   -4.12961299	0.08061680	-1.1636e-02	   2.12388646	0.09406029	 1.03070630	0	 17.520817	  2.322138	            	            	  0.60792158	  0.58904349	  0.62024642
Renou_23            	 265216502568077056	0	0	 0.432757495267929060	87.61676817	+55.2718791	   -3.26440057	0.07492635	   -4.17502494	0.06032354	-7.5045e-02	   2.07104625	0.07462313	 0.99587440	0	 16.939070	  2.032721	            	            	  0.66584294	  0.64563916	  0.67846194
Renou_23            	 265280617839514752	0	0	 0.426429604377191074	87.34496624	+55.5911455	   -3.37711620	0.13265158	   -4.12743569	0.12198939	 1.0252e-01	   1.92683150	0.14172116	 1.01100370	0	 18.098478	  2.634157	            	            	  0.55050885	  0.53185394	  0.56424797
Renou_23            	 265485122708820480	0	0	 0.417813496398037554	87.08041583	+55.7760569	   -3.38916922	0.23503645	   -3.20522869	0.19544384	-6.0511e-02	   1.95675264	0.22509354	 1.03136090	0	 18.969860	  2.852964	            	            	  0.45844608	  0.43990680	  0.47210231
Renou_23            	 265524606342294400	0	0	 0.478096589406866501	86.19756676	+55.8849032	   -2.96628316	0.01778580	   -4.41799047	0.01562492	 3.2874e-02	   2.16029400	0.01878778	 0.89426700	0	  9.855727	  0.246203	   -9.324104	    2.227770	  2.82405415	  2.68618558	  3.13323308
Renou_23            	 267939614913015936	0	0	 0.423932298721397482	81.65516222	+56.9724066	   -3.55164338	0.02421072	   -4.53251499	0.02241785	 7.4276e-02	   2.05236255	0.02796629	 1.86407590	0	 12.835801	  1.323354	   -3.245892	    4.396377	  1.36563128	  1.31230599	  1.40780284
Renou_23            	 267963254412965888	0	1	 0.556941526375712037	81.68434873	+57.2986779	   -3.02289935	0.01519950	   -4.12475267	0.01471473	-3.1968e-01	   2.07365429	0.01856331	 1.00609410	0	 14.277983	  1.577669	   -5.452887	    2.427639	  1.03974642	  1.00416618	  1.06753073
Renou_23            	 268032278831212544	0	0	 0.438434539202159024	83.91440980	+55.3660079	   -3.12131104	0.14623731	   -4.46362297	0.13430470	 2.8397e-01	   1.90290117	0.15609935	 0.95506110	0	 18.333284	  2.644049	            	            	  0.52630818	  0.51176131	  0.54188107
Renou_23            	 268091171423533184	0	0	 0.442448222282525672	83.60883850	+55.5063471	   -3.72645955	0.10295193	   -4.26320117	0.09039663	 7.0563e-02	   2.12147321	0.11816778	 0.96470660	0	 17.745010	  2.630260	            	            	  0.58575767	  0.56855098	  0.60196850
