#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:27	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Roslund_6	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Roslund_6           	2057857610497554688	0	0	 0.464303827829455895	307.4014405	+37.7139471	    5.90525432	0.19547038	    2.12416467	0.27715690	 3.7273e-03	   2.77631239	0.20396360	 1.01228690	0	 19.005466	  3.046730	            	            	  0.30893110	  0.29465693	  0.32826897
Roslund_6           	2057962785657013120	0	0	 0.416247363901282919	305.5664898	+37.2945681	    4.99633141	0.21312624	    1.36676284	0.24615212	-2.1258e-01	   2.71304512	0.22408220	 1.03063340	0	 19.125170	  3.023775	            	            	  0.29545820	  0.28249018	  0.31485612
Roslund_6           	2057994022960729472	0	0	 0.471108715384535803	305.7588167	+37.6396991	    5.97039027	0.02800867	    1.86538564	0.02912182	-1.4150e-01	   2.90395637	0.02777342	 1.00396840	0	 15.785502	  1.865008	            	            	  0.63828751	  0.63345941	  0.65310787
Roslund_6           	2057996874819013504	0	1	 0.523936913121669234	305.7939194	+37.6350352	    5.75432497	0.02030316	    1.87384862	0.01975778	-1.1325e-01	   2.81620991	0.01859734	 0.99812794	0	 14.926188	  1.502763	  -13.904418	    8.232642	  0.72172188	  0.71710950	  0.72762489
Roslund_6           	2058045665645377024	0	1	 0.510809460895860656	306.8484692	+37.7594430	    5.35870922	0.08138207	    1.55331922	0.09663573	 1.2015e-01	   2.75175085	0.08172606	 1.07138660	0	 17.672611	  2.528317	            	            	  0.45027156	  0.44299764	  0.45845147
Roslund_6           	2058059856217356672	0	0	 0.437318937061357438	306.8813455	+37.8868128	    5.39038652	0.02259117	    1.65272509	0.02441638	-6.4509e-02	   2.69773172	0.02266736	 0.97009210	0	 15.284894	  1.585467	            	            	  0.68672559	  0.68262327	  0.69387511
Roslund_6           	2058063738869761408	0	1	 0.617660922353763242	306.7199606	+37.9433756	    5.77844252	0.01767111	    1.81752197	0.02246521	-3.6954e-02	   2.77412689	0.01936391	 0.88233006	0	 10.539308	  0.423018	   -7.840149	    0.596071	  1.57909177	  1.55897574	  1.60261299
Roslund_6           	2058082391906510208	0	1	 0.560139544972335424	306.1803779	+37.8055282	    5.89585791	0.20076911	    1.87559816	0.26903665	 1.3543e-02	   2.74765817	0.20490459	 1.12594130	0	 18.985313	  3.009361	            	            	  0.31137954	  0.29670457	  0.33053776
Roslund_6           	2058089061995360000	0	0	 0.414523150482060010	306.2583443	+37.9153832	    6.38295714	0.01377688	    1.78951572	0.01705592	-2.3915e-02	   2.83787089	0.01415948	 1.03236530	0	 11.067988	  0.590128	  -11.415370	    2.432368	  1.41829918	  1.39432168	  1.43009592
Roslund_6           	2058091806474200576	0	1	 0.604930735517450802	306.3870140	+38.0535191	    5.68229627	0.06951328	    1.78954999	0.08362048	 3.7508e-02	   2.82634043	0.07138519	 1.02649100	0	 17.376060	  2.543541	            	            	  0.48302769	  0.47401710	  0.48789613
Roslund_6           	2058091909553447808	0	0	 0.489323647381460836	306.3929360	+38.0684458	    6.11098459	0.19407925	    2.18531256	0.20853590	 4.3607e-02	   2.72734897	0.19584468	 1.03780750	0	 18.989540	  3.018271	            	            	  0.31072688	  0.29624095	  0.32996866
Roslund_6           	2058093734919897344	0	0	 0.407052093332442244	305.9730437	+37.8345972	    5.20177871	0.01429769	    1.53525284	0.01683684	-1.6820e-01	   2.64602135	0.01436769	 0.97359850	0	 14.318029	  1.235372	    2.892889	    3.994053	  0.79214810	  0.78484095	  0.79827870
Roslund_6           	2058093906718547456	0	1	 0.527532422833575487	306.0417318	+37.8371568	    5.62181499	0.04887730	    1.85492322	0.05773692	-6.6686e-02	   2.71488975	0.04844803	 0.98408250	0	 16.878027	  2.283280	            	            	  0.53264553	  0.52063448	  0.53728030
Roslund_6           	2058095448606234880	0	1	 0.554444013100546473	306.1771691	+37.9458978	    5.58097570	0.02253996	    1.92558951	0.02459164	-5.3386e-02	   2.81450100	0.02160984	 1.00779120	0	 15.305377	  1.733728	            	            	  0.68477595	  0.68034716	  0.69197757
Roslund_6           	2058106860340035456	0	1	 0.658346352231438003	306.0676696	+38.1041076	    5.55284357	0.05629234	    1.87303447	0.06825182	 7.5874e-02	   2.75469326	0.05686635	 0.90191840	0	 17.088780	  2.430796	            	            	  0.51196721	  0.50327379	  0.51678123
