#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:30	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Ruprecht_108	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Ruprecht_108        	5870229534945589888	1	1	 1.000000000000000000	203.3483291	-58.6403718	   -8.96554686	0.01549668	   -2.35807140	0.01688280	 6.2826e-01	   1.02226294	0.02377738	 0.94470410	0	 15.042975	  1.000230	            	            	  1.08289044	  1.04611268	  1.10762248
Ruprecht_108        	5870264994199724032	1	1	 1.000000000000000000	202.2652281	-58.6104188	   -9.08369177	0.06495502	   -2.21621592	0.07294729	 6.6698e-01	   1.05807263	0.08321072	 0.98215530	0	 17.646822	  1.742838	            	            	  0.70112924	  0.68610154	  0.71473206
Ruprecht_108        	5870268086576487808	1	1	 1.000000000000000000	202.6499307	-58.7624360	   -9.11366958	0.02302341	   -2.33928198	0.02767814	 5.8280e-01	   0.98994495	0.03265345	 0.99146880	0	 15.905360	  1.205225	            	            	  0.92872893	  0.89953971	  0.94854719
Ruprecht_108        	5870269598405146880	1	1	 0.856054605494113385	202.6873819	-58.7407411	   -9.09100013	0.02212567	   -2.24904332	0.02639828	 6.3180e-01	   1.07556557	0.03242298	 1.04401540	0	 15.684692	  1.142364	            	            	  0.96520375	  0.93379984	  0.98602711
Ruprecht_108        	5870274924165241472	1	1	 0.848074469630975103	202.7386966	-58.5633002	   -9.06923811	0.02346533	   -1.97808368	0.02591398	 6.7771e-01	   1.03754831	0.03209378	 0.97099970	0	 15.714614	  1.296746	            	            	  0.96034383	  0.92903570	  0.98081467
Ruprecht_108        	5870275886238271616	1	1	 0.927974181903456263	202.9930237	-58.6319533	   -8.83628257	0.14799766	   -2.17155959	0.16303430	 5.8392e-01	   0.90237884	0.22880308	 0.96680450	0	 19.085250	  1.521774	            	            	  0.55661863	  0.54498958	  0.57267462
Ruprecht_108        	5870276470353669376	1	1	 1.000000000000000000	202.8770098	-58.6159536	   -8.97546825	0.02236012	   -2.24511811	0.02508927	 6.4704e-01	   0.99680942	0.03152673	 0.98045310	0	 15.711837	  1.146706	            	            	  0.96071682	  0.92946880	  0.98131110
Ruprecht_108        	5870277050094335872	1	1	 1.000000000000000000	203.0157294	-58.5768161	   -8.95248811	0.00947556	   -2.15427133	0.01068207	 6.6100e-01	   0.99459062	0.01477143	 0.98015755	0	 12.745914	  0.484813	            	            	  1.69505157	  1.62923100	  1.77032886
Ruprecht_108        	5870277157548703616	1	1	 1.000000000000000000	203.0286436	-58.5427234	   -8.92408486	0.01281265	   -2.35699363	0.01390058	 6.7770e-01	   0.98538446	0.02015608	 0.97076240	0	 14.267028	  0.862120	  -33.679090	    4.854162	  1.24872200	  1.19777630	  1.27519339
Ruprecht_108        	5870278183975035776	1	1	 1.000000000000000000	203.2726735	-58.5127700	   -8.72220584	0.11517766	   -2.40758835	0.11877759	 6.6482e-01	   1.02283060	0.17424338	 1.04509390	0	 18.695724	  2.156399	            	            	  0.59767254	  0.57644976	  0.60890315
Ruprecht_108        	5870278497578560128	1	1	 1.000000000000000000	203.1198508	-58.5364034	   -9.04460762	0.01874080	   -2.15142236	0.02032480	 6.2364e-01	   0.98155933	0.03042287	 1.98525360	1	 12.707804	  0.568901	            	            	  1.70912432	  1.64735658	  1.79140771
Ruprecht_108        	5870278531938310784	1	1	 1.000000000000000000	203.1226732	-58.5274681	   -9.10225954	0.04382601	   -2.32438966	0.04813742	 6.4713e-01	   1.04031959	0.06916366	 1.03188240	0	 17.106226	  1.495342	            	            	  0.75722422	  0.73967006	  0.77405458
Ruprecht_108        	5870278566297992448	1	1	 1.000000000000000000	203.0627519	-58.5455232	   -9.00276104	0.01209305	   -2.32754816	0.01318421	 6.2245e-01	   1.03939034	0.01914214	 1.14634360	0	 13.006112	  0.751069	            	            	  1.60486196	  1.54516402	  1.66952006
Ruprecht_108        	5870278600657741952	1	1	 0.982957079580014770	203.0690251	-58.5387258	   -9.37016191	0.01238638	   -2.43572339	0.01392316	 6.5564e-01	   1.04494700	0.01954684	 0.91021997	0	 14.322216	  0.907891	  -40.484665	    8.537286	  1.23519107	  1.18608251	  1.26203818
