#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:35	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Sigma_Orionis	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Sigma_Orionis       	3215836151333543552	1	0	 0.924089829368715088	84.89398185	-3.29636471	    1.29064816	0.04109289	   -1.08583252	0.03505463	-3.4322e-02	   2.46197702	0.04426725	 1.03859960	0	 16.066004	  2.674177	            	            	  0.57885426	  0.52159037	  0.63159898
Sigma_Orionis       	3215836838528293120	1	0	 0.935041435034745461	85.03246777	-3.30307401	    1.39003229	0.01373788	   -0.64670698	0.01199585	-2.1226e-01	   2.48303445	0.01419659	 1.19694890	0	 12.572212	  1.351026	   26.164328	    7.100631	  1.66888027	  1.59140900	  1.80121923
Sigma_Orionis       	3216018842063210368	1	0	 0.800790607999377957	84.37406981	-3.25721938	    1.20381677	0.08541008	   -1.28525815	0.07322514	-1.6462e-01	   2.55838002	0.09401304	 1.07509220	0	 16.960493	  3.305026	            	            	  0.41604856	  0.36400061	  0.44381093
Sigma_Orionis       	3216022926575988864	1	0	 0.798587048208443173	84.42185213	-3.09597444	    1.60239064	0.30653343	   -1.12026261	0.27922764	-1.8630e-01	   2.42286883	0.33025795	 0.92996216	0	 19.482449	  3.580736	            	            	  0.13076776	  0.10555340	  0.14823324
Sigma_Orionis       	3216039591049708672	1	0	 0.773730411040458033	85.02831999	-2.96081089	    1.28478886	0.14563020	    0.08347121	0.12516953	-5.7472e-01	   2.43567229	0.11474246	 1.06105320	0	 17.504251	  3.511047	            	            	  0.33311516	  0.29466111	  0.35928813
Sigma_Orionis       	3216042722080823040	1	0	 0.894849316055939203	84.78724867	-2.95138009	    1.19170309	0.04964473	   -0.12494945	0.04030677	-2.4057e-01	   2.48804765	0.04901076	 1.01855870	0	 16.202785	  2.743216	            	            	  0.55310832	  0.50173759	  0.61025435
Sigma_Orionis       	3216042756440559744	1	0	 0.771831408579600087	84.78839703	-2.94297848	    1.11142350	0.02466243	   -0.15451886	0.02064720	-2.1479e-01	   2.41156246	0.02452072	 1.00200570	0	  9.288084	  0.002314	   28.241611	    4.002121	 52.95519623	  3.69089526	 63.12254715
Sigma_Orionis       	3216046364213157376	1	0	 1.000000000000000000	84.52787859	-3.07071607	    1.67150340	0.10991488	   -1.19785458	0.09127572	-4.1277e-02	   2.45855983	0.11137824	 1.04432990	0	 17.423244	  3.498964	            	            	  0.34477086	  0.30096470	  0.37089402
Sigma_Orionis       	3216047459429736832	1	0	 0.823435450095269195	84.66080602	-3.03892230	    1.29838351	0.08439825	   -1.44438472	0.07031263	-8.2779e-02	   2.45737594	0.08364160	 1.00440070	0	 17.331131	  3.162294	            	            	  0.35830319	  0.31357189	  0.38732300
Sigma_Orionis       	3216049177416721920	1	0	 0.889252803259052316	84.65343734	-2.94958117	    1.47490153	0.03195261	   -1.29853725	0.02866195	-7.8510e-02	   2.51868272	0.03352337	 1.10350950	0	 15.405018	  2.458503	            	            	  0.70514161	  0.67918013	  0.74644867
Sigma_Orionis       	3216053609823043968	1	1	 0.991219806095692157	84.57858420	-2.86082419	    1.31920479	0.03685454	   -1.25710165	0.03220502	-1.6534e-01	   2.44402719	0.03592435	 1.01317040	0	 15.634259	  2.604964	            	            	  0.66320002	  0.62875141	  0.72810140
Sigma_Orionis       	3216056672134574720	1	1	 0.974584609804676094	84.86040808	-2.87091442	    1.64625177	0.06051878	   -1.37793180	0.04702846	-5.1266e-01	   2.45369864	0.04648038	 1.03360100	0	 16.005568	  2.827846	            	            	  0.59104199	  0.54050114	  0.64775016
Sigma_Orionis       	3216059141740932608	1	1	 1.000000000000000000	84.66700603	-2.84364610	    1.51212195	0.07253890	   -1.05820117	0.06094505	-2.0204e-01	   2.42585623	0.07383727	 0.95308715	0	 17.005144	  3.208797	            	            	  0.40881813	  0.35769702	  0.43728715
Sigma_Orionis       	3216059214755240320	1	1	 1.000000000000000000	84.65604657	-2.83991239	    1.41852761	0.04894448	   -0.61588578	0.04134790	-1.6772e-01	   2.52775662	0.05049427	 1.05885340	0	 16.149841	  3.243143	            	            	  0.56223276	  0.50402865	  0.61443629
